fullname,orcid,doi,date
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293119,10.1145/3461778.3462076,2021
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293120,10.1109/VRW52623.2021.00146,2021
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293121,10.1109/TVCG.2019.2901881,2020
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293122,10.1145/3313831.3376394,2020
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293123,10.1016/j.jbusres.2019.11.084,2020
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293124,10.1093/deafed/enz036,2020
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293125,10.16910/jemr/13.5.2,2020
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293126,10.1145/3317958.3319809,2019
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293127,10.1145/3314111.3319848,2019
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293128,10.1145/3317960.3321618,2019
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293129,10.1145/3238302,2018
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293130,10.1371/journal.pone.0203629,2018
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293131,10.1145/3204493.3204533,2018
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293132,10.1145/3204493.3204543,2018
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293133,10.1145/3173574.3173856,2018
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293134,10.1080/1750399X.2018.1465679,2018
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293135,10.1007/978-3-319-59424-8_23,2018
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293136,10.1002/cav.1745,2018
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293137,10.16910/jemr.10.3.4,2017
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293138,10.16910/jemr.10.2.3,2017
Krzysztof Krejtz,https://www.webofscience.com/wos/author/record/2293139,10.1007/978-3-319-47024-5_13,2017
Magdalena Ewa Król,https://www.webofscience.com/wos/author/record/916632,10.1007/s00426-019-01163-9,2020
Magdalena Ewa Król,https://www.webofscience.com/wos/author/record/916633,10.1007/s00426-018-0996-5,2020
Magdalena Ewa Król,https://www.webofscience.com/wos/author/record/916634,10.1007/s00182-019-00673-5,2020
Magdalena Ewa Król,https://www.webofscience.com/wos/author/record/916635,10.1037/xlm0000711,2019
Magdalena Ewa Król,https://www.webofscience.com/wos/author/record/916636,10.1007/s12144-017-9626-4,2019
Magdalena Ewa Król,https://www.webofscience.com/wos/author/record/916637,10.1111/cogs.12716,2019
Magdalena Ewa Król,https://www.webofscience.com/wos/author/record/916638,10.1080/17405629.2018.1447460,2019
Magdalena Ewa Król,https://www.webofscience.com/wos/author/record/916639,10.1016/j.neuropsychologia.2019.04.022,2019
Magdalena Ewa Król,https://www.webofscience.com/wos/author/record/916640,10.1037/npe0000104,2019
Magdalena Ewa Król,https://www.webofscience.com/wos/author/record/916641,10.1111/cogs.12566,2018
Magdalena Ewa Król,https://www.webofscience.com/wos/author/record/916642,10.1371/journal.pone.0194491,2018
Magdalena Ewa Król,https://www.webofscience.com/wos/author/record/916643,10.1371/journal.pone.0180573,2017
Magdalena Ewa Król,https://www.webofscience.com/wos/author/record/916644,10.1007/s10339-017-0806-9,2017
MIKOŁAJ MAGNUSKI,https://www.webofscience.com/wos/author/record/2074446,,
Jakub Niewiarowski,https://www.webofscience.com/wos/author/record/26440351,10.1080/20445911.2021.1916508,2021
Jakub Niewiarowski,https://www.webofscience.com/wos/author/record/26440352,10.1016/j.ijoa.2019.12.005,2020
Jakub Niewiarowski,https://www.webofscience.com/wos/author/record/26440353,10.1016/j.ijoa.2018.12.006,2019
Jakub Niewiarowski,https://www.webofscience.com/wos/author/record/26440354,10.1016/j.ijoa.2018.12.005,2019
Marta Porębiak,https://www.webofscience.com/wos/author/record/13609503,,
Ewa Jadwiga Trzebińska,https://www.webofscience.com/wos/author/record/33931748,,
Małgorzata Wawrzyniak,https://www.webofscience.com/wos/author/record/4858624,10.1177/08258597211034642,2021
Małgorzata Wawrzyniak,https://www.webofscience.com/wos/author/record/4858625,10.1016/j.pjnns.2017.05.004,2017
Katarzyna Natalia Zawadzka,https://www.webofscience.com/wos/author/record/15853744,10.1037/xlm0001013,2021
Katarzyna Natalia Zawadzka,https://www.webofscience.com/wos/author/record/15853745,10.1016/j.jml.2020.104189,2021
Katarzyna Natalia Zawadzka,https://www.webofscience.com/wos/author/record/15853746,10.1002/acp.3718,2020
Katarzyna Natalia Zawadzka,https://www.webofscience.com/wos/author/record/15853747,10.1037/xge0000695,2020
Katarzyna Natalia Zawadzka,https://www.webofscience.com/wos/author/record/15853748,10.1037/xlm0000676,2019
