name,orcid,link,date
Sylwia Bedyńska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.1002/pits.22413,2020-09-05
Sylwia Bedyńska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.1007/s11218-020-09557-z,2020-04-25
Sylwia Bedyńska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.1007/s11218-019-09478-6,2019-04-19
Sylwia Bedyńska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.1097/jom.0000000000001226,2018
Sylwia Bedyńska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.3389/fpsyg.2018.00428,2018
Sylwia Bedyńska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.2478/v1067-010-0159-2,2017
Sylwia Bedyńska,https://orcid.org/0000-0001-8255-1946,https://doi.org/10.1177/1359105317727842,2017
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1186/s12905-021-01174-y,2021-12
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1186/s12992-021-00782-5,2021-12
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.3389/fpsyg.2021.656960,2021-06-29
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.3389/fpsyg.2021.647975,2021-05-17
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1007/s12144-018-0092-4,2021-04-13
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1371/journal.pone.0233337,2020-05-22
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1038/s41598-019-45376-9,2019-12
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1007/s40732-019-00340-x,2019-09-22
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1080/13548506.2018.1459750,2018-04-03
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1007/s40732-017-0244-1,2017
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1515/ppb-2017-0060,2017
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1515/ppb-2017-0051,2017
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1515/ppb-2017-0052,2017
Wojciech Zygmunt Białaszek,https://orcid.org/0000-0002-4672-4376,https://doi.org/10.1371/journal.pone.0182353,2017
Olga Aleksandra Białobrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.32872/spb.4683,2020-12-23
Olga Aleksandra Białobrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.1016/j.paid.2019.02.025,2019-07
Olga Aleksandra Białobrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.1371/journal.pone.0213183,2019-02-28
Olga Aleksandra Białobrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.1016/j.lindif.2018.04.011,2019-01
Olga Aleksandra Białobrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.1177/2515245918810225,2018-12-24
Olga Aleksandra Białobrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.1016/j.paid.2018.01.018,2018-05
Olga Aleksandra Białobrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.1177/1745691618755704,2018-02
Olga Aleksandra Białobrzeska,https://orcid.org/0000-0002-0387-3187,https://doi.org/10.1515/ppb-2017-0048,2017-09
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.3390/brainsci11020178,2021-02
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.1080/09540121.2019.1699641,2020
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.26444/aaem/131119,2020
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.1038/s41598-020-63296-x,2020
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.12740/pp/onlinefirst/121980,2020-11
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.5114/aic.2019.81438,2019
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.5114/wiitm.2019.84678,2019
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.5114/ceh.2019.89148,2019
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.3389/fpsyg.2019.01757,2019
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.5603/cj.a2017.0059,2018
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.1111/anec.12564,2018
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.1002/hbm.24208,2018
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,RELATIONSHIP OF EMOTIONAL DISTRESS AND PHYSICAL CONCERNS WITH FATIGUE SEVERITY IN SARCOIDOSIS,2018
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.3389/fpsyg.2017.01614,2017
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.3389/fnhum.2017.00285,2017
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.3389/fpsyg.2017.01365,2017
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.18388/abp.2016_1436,2017
Maksymilian Adam Bielecki,https://orcid.org/0000-0002-2881-4976,https://doi.org/10.5603/fc.2019.0008,unrecovered
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.3390/nu12072149,2020-07-19
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.3389/fpsyg.2020.00161,2020-02-07
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1007/s10865-020-00138-1,2020-01-31
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1037/hea0000799,2019-12
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1111/bjhp.12385,2019-11
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1007/s12529-019-09780-9,2019-06
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1111/bjhp.12354,2019-05
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1016/j.mhpa.2019.03.002,2019-03
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1080/17437199.2017.1396191,2018
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1016/j.psychsport.2017.09.007,2018
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1080/08870446.2018.1489049,2018-10-03
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1515/hukin-2017-0149,2017
Monika Joanna Boberska,https://orcid.org/0000-0002-3685-3721,https://doi.org/10.1186/s12955-017-0645-5,2017
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1177/01461672211013272,2021-05-28
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1016/j.jesp.2020.104098,2020-12-30
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1371/journal.pone.0244429,2020-12-30
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1111/desc.13038,2020-10
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1111/spc3.12572,2020-10-24
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1111/sode.12480,2020-09
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1002/ejsp.2694,2020-06-04
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1177/2515245918810225,2018
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1016/j.jesp.2018.06.007,2018-11
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.5964/spb.v13i2.26062,2018-05
Konrad Maksymilian Bocian,https://orcid.org/0000-0002-8652-0167,https://doi.org/10.1515/ppb-2017-0048,2017-09
Edyta Ewa Bonk,https://orcid.org/0000-0001-7663-5262,https://doi.org/10.1080/03601277.2017.1283931,2017
Anna Braniecka,https://orcid.org/0000-0003-1862-3284,https://doi.org/10.1002/brb3.1213,2019-02-21
Elwira Brygoła,https://orcid.org/0000-0002-6326-7760,https://doi.org/10.4467/20843879pr.19.004.10595,2019
Elwira Brygoła,https://orcid.org/0000-0002-6326-7760,Personality traits and subjective well-being with regard to problem of infertility: The mediating role of implicit self-theories and life-engagement,2018-04-07
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,https://doi.org/10.3390/nu13082504,2021-07-22
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,https://doi.org/10.7554/elife.60595,2021-05-26
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,https://doi.org/10.1016/j.heliyon.2021.e06724,2021-04
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Ambiguous at the second sight: Mixed facial expressions trigger late electrophysiological responses linked to lower social impressions,2020
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Combined phase-rate coding by persistently active neurons as a mechanism for maintaining multiple items in working memory in humans,2020
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Gry wideo a zmiany strukturalne mózgu,2020
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Lenticular nucleus volume predicts performance in real-time strategy game-cross-sectional and training approach using voxel-based morphometry,2020
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Lenticular nucleus volume predicts performance in real-time strategy game: cross-sectional and training approach using voxel-based morphometry,2020
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Three times NO: no relationship between frontal alpha asymmetry and depressive disorders in a multiverse analysis of three studies.,2020
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Working Memory Training for Older Participants: A Control Group Training Regimen and Initial Intellectual Functioning Assessment.,2020
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Wpływ marihuany na aktywnósć elektryczną mózgu,2020
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Wpływ mikrobiomu jelitowego na mózg i psychikę,2020
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Coupling between brain structures during visual and auditory working memory tasks,2019
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,P27-T Common pattern of information transfer in the brain for different modalities during a reasoning task,2019
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Working memory capacity as a predictor of cognitive training efficacy in the elderly population,2019
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Working memory load-related theta power decreases in dorsolateral prefrontal cortex predict individual differences in performance,2019
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Real-time strategy video game experience and structural connectivity--A diffusion tensor imaging study,2018
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Frontal EEG alpha band asymmetry as a predictor of reasoning deficiency in depressed people,2017
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Insomnia in pregnancy is associated with depressive symptoms and eating at night,2017
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Neural signatures of rational and heuristic choice strategies: a single trial ERP analysis,2017
Aneta Brzezicka,https://orcid.org/0000-0003-1950-4180,Skutecznósć treningów poznawczych w grupie osób starszych--przegląd badań,2017
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,https://doi.org/10.1177/1948550619887702,2021
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,Osobowość i pracoholizm,2021
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,"Samokontrola, uzależnienie od jedzenia i nadwaga",2021
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,https://doi.org/10.3389/fpsyg.2021.651759,2021-05-21
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,https://doi.org/10.3390/su12020748,2020
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,Wykluczenie społeczne i hazard: Mechanizmy psychologiczne,2020-02
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,Kwestionariusz Uzależnienia od Pracy (WCS): analiza trafności i rzetelności,2019
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,The Work Craving Scale (WCS): A Validity and Reliability Analysis,2019
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,Work Craving Scale (WCS): Validity and Reliability Analysis,2019
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,Zwiększanie samokontroli w terapii uzależnienia od hazardu,2019
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,https://doi.org/10.1007/s11199-018-0906-8,2018
Jacek Marcin Buczny,https://orcid.org/0000-0002-4932-196X,https://doi.org/10.1080/09589236.2016.1234369,2018
Ewa Butowska,https://orcid.org/0000-0002-8156-8225,https://doi.org/10.1016/j.jml.2020.104189,2021
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.1007/s00404-020-05748-3,2021
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.1038/s41598-021-02036-1,2021-12
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.1037/mot0000245,2021-10-25
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.1016/j.rasd.2021.101826,2021-09
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.1016/j.appet.2021.105217,2021-08
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.1016/j.rasd.2021.101806,2021-08
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.3390/su13105716,2021-05-19
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.3390/en13184737,2020
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.3390/ijerph17239086,2020
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.3390/en12050907,2019
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.3389/fpsyg.2019.02701,2019
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,"Place, Collective Memory and Environment–An Introduction to a Festschrift in Honor of Maria Lewicka.",2019
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,Saying Good and Bad Things Behind Someone’s Back or to Their Face: Perceived Source Selflessness and Trust in Information Matter When the Information Is Positive.,2019
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.1002/ijop.12469,2019
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,Can regret prompt compensatory health behaviors? Findings from a clustered randomized trial with physically active adults,2018
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.1371/journal.pone.0209620,2018
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.1016/j.jenvp.2018.06.002,2018
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.1016/j.appet.2018.04.012,2018
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.3389/fpsyg.2017.01705,2017
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,https://doi.org/10.1177/0013916516653638,2017
Katarzyna Byrka,https://orcid.org/0000-0003-4220-4063,"Editorial: Methodological, Theoretical and Applied Advances in Behavioral Spillover",unrecovered
Katarzyna Cantarero,https://orcid.org/0000-0003-2720-484X,https://doi.org/10.1016/j.paid.2018.05.013,2018
Katarzyna Cantarero,https://orcid.org/0000-0003-2720-484X,https://doi.org/10.1093/chemse/bjy038,2018
Katarzyna Cantarero,https://orcid.org/0000-0003-2720-484X,https://doi.org/10.1177/1745691618755704,2018
Katarzyna Cantarero,https://orcid.org/0000-0003-2720-484X,https://doi.org/10.1007/s12144-018-9945-0,2018
Katarzyna Cantarero,https://orcid.org/0000-0003-2720-484X,https://doi.org/10.1016/j.appet.2018.04.012,2018
Katarzyna Cantarero,https://orcid.org/0000-0003-2720-484X,https://doi.org/10.1080/00224545.2017.1327404,2018
Katarzyna Cantarero,https://orcid.org/0000-0003-2720-484X,https://doi.org/10.1016/j.paid.2016.07.005,2017
Katarzyna Cantarero,https://orcid.org/0000-0003-2720-484X,https://doi.org/10.3389/fpsyg.2017.01728,2017
Katarzyna Cantarero,https://orcid.org/0000-0003-2720-484X,https://doi.org/10.1007/s12144-017-9651-3,2017
Katarzyna Cantarero,https://orcid.org/0000-0003-2720-484X,https://doi.org/10.3389/fpsyg.2017.01199,2017
Katarzyna Cantarero,https://orcid.org/0000-0003-2720-484X,https://doi.org/10.1177/0022022117698039,2017
Katarzyna Cantarero,https://orcid.org/0000-0003-2720-484X,https://doi.org/10.1515/ppb-2017-0036,2017
Katarzyna Cantarero,https://orcid.org/0000-0003-2720-484X,https://doi.org/10.3389/fpsyg.2017.00814,2017
Agnieszka Chrzczonowicz-Stępień,https://orcid.org/0000-0001-5236-6387,https://doi.org/10.1002/brb3.1213,2019
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.1038/s41598-021-85943-7,2021
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.1080/07481187.2019.1616855,2021
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.1371/journal.pone.0253145,2021-07-01
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.1186/s12955-020-01348-6,2020
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.1371/journal.pone.0243056,2020
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.3389/fpsyt.2020.569981,2020-09-09
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.13075/ijomeh.1896.01406,2019
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.13075/mp.5893.00800,2019
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.1111/ijsa.12241,2019-06
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.13075/mp.5893.00664,2018
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,Dbałość o pracownika jako istotny element społecznej odpowiedzialności biznesu. Wybrane obszary działania,2018
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.14691/cppj.24.3.539,2018
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,Occupational Burnout as a Consequence of Workaholism - An Outline of the Problem Based on Studies of Polish Women Running Their Own Business Activity,2018
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.14691/cppj.24.1.201,2018
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.14691/cppj.24.3.573,2018
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.2478/ejes-2018-0053,2018-08-01
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.26417/ejes.v4i2.p35-40,2018-07
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,"Kto bywa cyniczny w pracy? Zaangażowanie w pracę, przywiązanie do organizacji i etyka pracy a cynizm organizacyjny",2017
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.1515/pjap-2015-0073,2017
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.14656/pfp20170304,2017
Agata Chudzicka-Czupała,https://orcid.org/0000-0002-6517-5018,https://doi.org/10.13075/mp.5893.00640,2017-11-24
Roman Sławomir Cieślak,https://orcid.org/0000-0002-2413-5343,https://doi.org/10.2196/32007,2021-12-06
Roman Sławomir Cieślak,https://orcid.org/0000-0002-2413-5343,https://doi.org/10.2196/21445,2021-01-11
