name,orcid,link,date,is_a_link,id
Katarzyna Anna Grunt-Mejer,https://orcid.org/0000-0001-5679-5322,"Commentary to the ""Resolution on appropriate affirmative responses to sexual orientation distress and change efforts"" by the American Psychological Association,Komentarz do stanowiska Amerykańskiego Towarzystwa Psychologicznego pt. ""Właściwe afirmatywne postȩpowanie wobec osób odczuwajacych stres z powodu swojej orientacji seksualnej oraz prób jej zmiany""",2018,0,Katarzyna_Anna_Grunt-Mejer_3
Katarzyna Anna Grunt-Mejer,https://orcid.org/0000-0001-5679-5322,"Resolution on appropriate affirmative responses to sexual orientation distress and change efforts by the American Psychological Association,Właściwe afirmatywne postȩpowanie wobec osób odczuwajacych stres z powodu swojej orientacji seksualnej oraz prób jej zmiany: Tłumaczenie rezolucji Amerykańskiego Towarzystwa Psychologicznego",2018,0,Katarzyna_Anna_Grunt-Mejer_4
Katarzyna Anna Grunt-Mejer,https://orcid.org/0000-0001-5679-5322,"Worldview and confirmation bias: The problem of social sciences, Swiatopogląd a Błąd Konfirmacji-Problem Nauk Społecznych",2017,0,Katarzyna_Anna_Grunt-Mejer_5
Marta Jackowska,https://orcid.org/0000-0002-2930-0483,The association of depressive and sleep symptoms for predicting incident disease onset after 6 year follow-up: findings from the English Longitudinal Study of Ageing,2018-05-29,0,Marta_Jackowska_5
Joanna Kabzińska,https://orcid.org/0000-0002-2135-8699,An evaluation of witness testimony in criminal proceedings: preliminary results of empirical research,2018,0,Joanna_Kabzińska_2
Joanna Kabzińska,https://orcid.org/0000-0002-2135-8699,"Psychological diagnosis of demoralisation in juvenile forensic assessments: fields, models and new directions",2018,0,Joanna_Kabzińska_3
Romana Stefania Kadzikowska-Wrzosek,https://orcid.org/0000-0003-0658-9656,"Wolna wola w świetle badań współczesnej psychologii nad procesami samoregulacji oraz samokontroli,",unrecovered,0,Romana_Stefania_Kadzikowska-Wrzosek_3
Bartosz Paweł Karcz,https://orcid.org/0000-0002-0409-4230,Prevalence of select mental disorders among graduation class adolescents: data from a screening study. ,2018-10-02,0,Bartosz_Paweł_Karcz_1
Monika Kornacka,https://orcid.org/0000-0003-2737-9236,Sprawozdanie z 48. Kongresu europejskiego stowarzyszenia terapii behawioralnych i poznawczych (EABCT) w sofii (Bułgaria),2018,0,Monika_Kornacka_5
Agata Kozłowska,https://orcid.org/0000-0002-4813-5233,"Psychologiczne interwencje internetowe – pojęcia, zastosowania i wyzwania",2018,0,Agata_Kozłowska_3
Izabela Krejtz,https://orcid.org/0000-0002-9827-8371,UNCONTROLLABILITY IN THE CLASSROOM The intellectual helplessness perspective,2017,0,Izabela_Krejtz_16
Aleksandra Karolina Kroemeke,https://orcid.org/0000-0001-8707-742X,A growth mixture modelling study of learning trajectories in an extended computerised working memory training programme developed for young children diagnosed with attention-deficit/hyperactivity disorder,2019-02-02,0,Aleksandra_Karolina_Kroemeke_8
Jakub Michał Kuś,https://orcid.org/0000-0001-6305-8080,Numerate decision makers don’t use more effortful strategies unless it pays: A process tracing investigation of skilled and adaptive strategy selection in risky decision making,2018,0,Jakub_Michał_Kuś_2
Jakub Michał Kuś,https://orcid.org/0000-0001-6305-8080,Publiczna samoświadomość a samoocena po dokonanej autoprezentacji,2017,0,Jakub_Michał_Kuś_4
Zuzanna Kwissa-Gajewska,https://orcid.org/0000-0002-4033-1870,The effect of protective buffering on daily stress and relationship quality in dyads following hematopoietic stem cell transplantation: Results from daily process methodology,2019,0,Zuzanna_Kwissa-Gajewska_1
Zuzanna Kwissa-Gajewska,https://orcid.org/0000-0002-4033-1870,"Everyday life after HSCT: fluctuation of patients and their partners mood, support exchange and relationship satisfaction",2018,0,Zuzanna_Kwissa-Gajewska_2
Maria Lis-Turlejska,https://orcid.org/0000-0002-7418-8566,Knowledge about traumatic World War II experiences among ancestors and subjective wellbeing of young adults: A person-centred perspective,2020,0,Maria_Lis-Turlejska_1
Maria Lis-Turlejska,https://orcid.org/0000-0002-7418-8566,Long –Term Psychological Consequeces of World War II Trauma Among Polish Survivors: A Mixed –Methods Study on the  Role of Social Acknowlegment,2020,0,Maria_Lis-Turlejska_2
Konrad Piotr Maj,http://orcid.org/0000-0002-9605-4251,"UCZELNIA XXI WIEKU.  SIEĆ SPOŁECZNA STUDENTÓW,  ABSOLWENTÓW I KADRY NAUKOWO-DYDAKTYCZNEJ W INNOWACYJNYM MODELU KSZTAŁCENIA IDEAGORA",2017,0,Konrad_Piotr_Maj_4
Magdalena Maria Marszał-Wiśniewska,https://orcid.org/0000-0002-1423-3660,Wpływ nastroju i perspektyw postrzegania czasu na rozwiązywanie zadań dywergencyjnych,2019,0,Magdalena_Maria_Marszał-Wiśniewska_2
Magdalena Maria Marszał-Wiśniewska,https://orcid.org/0000-0002-1423-3660,What happens during the process of goal-oriented self-regulation? Systematic measure of the objective and self-reported effects of the self-regulation enhancing intervention,2017,0,Magdalena_Maria_Marszał-Wiśniewska_5
Agnieszka Ewa Popiel,https://orcid.org/0000-0001-9990-4971 ,Cechy Pięcioczynnikowego Modelu Osobowości (PMO) a objawy PTSD: wyniki badań prospektywnych i poprzecznych,2018,0,Agnieszka_Ewa_Popiel_1
Agnieszka Ewa Popiel,https://orcid.org/0000-0001-9990-4971 ,"Komentarz do artykułu ""Zespół stresu pourazowego"". Wskazówki dla lekarzy",2018,0,Agnieszka_Ewa_Popiel_2
Danuta Rode,https://orcid.org/0000-0001-5729-8168 ,"Psychological Diagnosis of Demoralization in Juvenile Forensic Assessments: Fields, Models and New Directions.",2019-01-01,0,Danuta_Rode_3
Danuta Rode,https://orcid.org/0000-0001-5729-8168 ,Characteristics of children experiencing direct and indirect domestic violence and abuse,2017,0,Danuta_Rode_7
Katarzyna Maria Sanna,https://orcid.org/0000-0002-1903-1830,Development of the cancer-patient social support questionnaire: reliability and validity,2019-03-22,0,Katarzyna_Maria_Sanna_1
Maria Sidoruk-Grymuza,https://orcid.org/0000-0002-1919-3426,Siła cech negatywnych w kształtowaniu się podobieństwa: Implikacje dla budowania wizerunku marki miasta.,2017,0,Maria_Sidoruk-Grymuza_1
Anna Halina Siwy-Hudowska,https://orcid.org/0000-0002-3026-853X,Affective temperaments in non-depressed patients with alcohol and opiate addictions. Is the “dark side” associated with current depressive symptoms?,2018,0,Anna_Halina_Siwy-Hudowska_1
Anna Halina Siwy-Hudowska,https://orcid.org/0000-0002-3026-853X,"What do students know about the use of opioids in the treatment of chronic cancer-related pain,Wiedza studentów na temat stosowania opioidów w leczeniu przewlekego bólu wystêpujcego u chorych na nowotwory",2018,0,Anna_Halina_Siwy-Hudowska_2
Anna Halina Siwy-Hudowska,https://orcid.org/0000-0002-3026-853X,OCENA JAKÓSCI ŻYCIA W KONTEḰSCIE CECH OSOBOWÓSCI U MŁODYCH MĘŻCZYZN O RÓŻNYM STOPNIU ZAANGAŻOWANIA W UPRAWIANIE ĆWICZEŃ FIZYCZNYCH,unrecovered,0,Anna_Halina_Siwy-Hudowska_3
Krystyna Janina Skarżyńska,https://orcid.org/0000-0003-1327-6850,Parent - child relationships and adults worldviews ,2020-12,0,Krystyna_Janina_Skarżyńska_1
Krystyna Janina Skarżyńska,https://orcid.org/0000-0003-1327-6850,Trudne czasy i co potem? Czy potrzeba bepieczeństwa zniszczy demokrację?,2020-08,0,Krystyna_Janina_Skarżyńska_2
Krystyna Janina Skarżyńska,https://orcid.org/0000-0003-1327-6850,"Freedom, freedom...But what kind of freedom? Intrinsic an extrinsic sense of freedom as predictors of preferences for political communit and attitydes toward democracy  ",2019,0,Krystyna_Janina_Skarżyńska_3
Krystyna Janina Skarżyńska,https://orcid.org/0000-0003-1327-6850,Psychologiczne i społeczne asekty poparcia dla autorytarnej polityki,2018,0,Krystyna_Janina_Skarżyńska_4
Krystyna Janina Skarżyńska,https://orcid.org/0000-0003-1327-6850,Akceptacja agresji w życiu politycznym. Rola dostępności poznawczej proagresywnych przekonań o świecie oraz specyfiki obserwowanego aktu agresji  ,2017,0,Krystyna_Janina_Skarżyńska_5
Agata Anna Sobków,https://orcid.org/0000-0002-5357-744X,Numerate decision makers don?t use more effortful strategies unless it pays: A process tracing investigation of skilled and adaptive strategy selection in risky decision making,2018,0,Agata_Anna_Sobków_9
Joanna Marta Sweklej,https://orcid.org/0000-0002-6069-3051,Rola procesów asocjacyjnych i formułowania sądów w nabywaniu i ekspresji postaw,2017,0,Joanna_Marta_Sweklej_1
Marta Szastok,https://orcid.org/0000-0001-7674-7651,Men and Women od the STEM track. Similar or Diverse? ,2019,0,Marta_Szastok_2
Marta Szastok,https://orcid.org/0000-0001-7674-7651,Women Can’t Have It All: Benevolent Sexism PredictsAttitudes Toward Working (vs. Stay-at-Home) Mothers,2019-05-15,0,Marta_Szastok_4
Agata Magdalena Wytykowska-Kaczorek,https://orcid.org/0000-0003-1541-8699,Relationship between morningness-eveningness and testosterone levels assessed from hair,2020,0,Agata_Magdalena_Wytykowska-Kaczorek_2
Agata Magdalena Wytykowska-Kaczorek,https://orcid.org/0000-0003-1541-8699,Poziom lęku w reakcji na indukcję pozytywnego afektu u osób wysoko- i niskolękowych,2017,0,Agata_Magdalena_Wytykowska-Kaczorek_7
Anna Maria Zalewska,https://orcid.org/0000-0002-7285-4748,Aktywność obywatelska młodzieży i jej relacje z cechami osobowości – perspektywa międzynarodowa,2020,0,Anna_Maria_Zalewska_1
Anna Maria Zalewska,https://orcid.org/0000-0002-7285-4748,Citizenship Behaviour Questionnaire-30 —general version: Psychometric properties and theoretical and criterion validity among young adults10,2020,0,Anna_Maria_Zalewska_2
Anna Maria Zalewska,https://orcid.org/0000-0002-7285-4748,Family relations and citizenship activity among adolescents —the moderating role of hope for success4,2020,0,Anna_Maria_Zalewska_3
Anna Maria Zalewska,https://orcid.org/0000-0002-7285-4748,"Kwestionariusz Zachowań Obywatelskich-30 – wersja ogólna: właściwości psychometryczne, trafność teoretyczna i kryterialna wśród młodych dorosłych9",2020,0,Anna_Maria_Zalewska_4
Anna Maria Zalewska,https://orcid.org/0000-0002-7285-4748,Relacje rodzinne a aktywność obywatelska wśród adolescentów – pośrednicząca rola nadziei na sukces,2020,0,Anna_Maria_Zalewska_5
Anna Maria Zalewska,https://orcid.org/0000-0002-7285-4748,Relationship between young people’s citizenship behaviors and personality traits –An international perspective,2020,0,Anna_Maria_Zalewska_6
Karolina Zarychta-Zajączkowska,https://orcid.org/0000-0003-2072-0841,Depression in elite athletes: Findings from a systematic review,2018,0,Karolina_Zarychta-Zajączkowska_6
Mateusz Piotr Zatorski,https://orcid.org/0000-0002-0043-0815,Niewspółpracujący biorca – rola psychologa w opiece potransplantacyjnej,2020,0,Mateusz_Piotr_Zatorski_1
Mateusz Piotr Zatorski,https://orcid.org/0000-0002-0043-0815,Frailty syndrome in hemodialyzed patients: a pilot study,2018,0,Mateusz_Piotr_Zatorski_2
Mateusz Piotr Zatorski,https://orcid.org/0000-0002-0043-0815,Psychological effects of organ transplantation: Symptoms and predictors of change. ,2018,0,Mateusz_Piotr_Zatorski_4
Mateusz Piotr Zatorski,https://orcid.org/0000-0002-0043-0815,Pogłębienie relacji dawca – biorca jako rezultat żywego dawstwa,2017,0,Mateusz_Piotr_Zatorski_6
Elżbieta Zdankiewicz-Ścigała,https://orcid.org/0000-0002-8275-2585,The role of alexithymia and dissociation in relation between parental attitudes and attachment styles in adulthood,2020,0,Elżbieta_Zdankiewicz-Ścigała_3
Elżbieta Zdankiewicz-Ścigała,https://orcid.org/0000-0002-8275-2585,"Early Childhood Trauma, Alexithymia and Dissociation with the Internal Dialogue Activity in Adulthood",2019,0,Elżbieta_Zdankiewicz-Ścigała_4
Elżbieta Zdankiewicz-Ścigała,https://orcid.org/0000-0002-8275-2585,Parental Attitudes and Attachment Styles in Adulthood: Mediatory Role of Dissociation and Alexithymia,2019,0,Elżbieta_Zdankiewicz-Ścigała_5
Elżbieta Zdankiewicz-Ścigała,https://orcid.org/0000-0002-8275-2585,"Parental Bonding, Temperament and Tendency to Impulsive Aggression: Mediating Role of Alexithymia and Temperament",2019,0,Elżbieta_Zdankiewicz-Ścigała_7
Aleksandra Łuszczyńska,https://orcid.org/0000-0002-4704-9544,FACETS OF SOCIAL SUPPORT AND SEDENTARY BEHAVIORS: PROSPECTIVE FINDINGS IN MOTHER-CHILD DYADS,2020,0,Aleksandra_Łuszczyńska_6
Aleksandra Łuszczyńska,https://orcid.org/0000-0002-4704-9544,PARENTAL AND CHILD EXERCISE AVERSION ASSOCIATED WITH CHILD PHYSICAL ACTIVITY,2020,0,Aleksandra_Łuszczyńska_8
