,Article_ID,Unnamed: 0.1,Unnamed: 0,name,orcid,doi,title,date,journal,filename,correct_doi,length,contains_doi,path
2447,-254401124629255981,164,164,Martyna Maria Płudowska,https://orcid.org/0000-0001-6246-9152,empty,Existential anxiety and self-esteem as mediators of the relationship between materialismand life satisfaction,2020,The Review of Psychology. Official Journal of the Polish Psychological Association,Martyna_Maria_Płudowska_3,False,201.0,False,D:\data\ranking\pdfs\v1-1\-254401124629255981.pdf
2448,-2562101668545641753,15,15,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,empty,Structural analysis of resources  in those at risk of social marginalization – Hobfoll’s Conservation of Resources Evaluation,2019,Przegląd Psychologiczny,Rafał_Piotr_Bartczuk_16,False,18.0,False,D:\data\ranking\pdfs\v1-1\-2562101668545641753.pdf
2451,-2683168882078495596,12,12,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,empty,Analiza strukturalna zasobów u osób zagrożonych marginalizacją społeczną – Kwestionariusz Zachowania Zasobów Hobfolla,2019,Przegląd Psychologiczny,Rafał_Piotr_Bartczuk_13,False,18.0,False,D:\data\ranking\pdfs\v1-1\-2683168882078495596.pdf
2453,-2838177989204739589,281,281,Anna Maria Oleszkowicz ,https://orcid.org/0000-0002-8982-2953,empty,"Doświadczenie parentyfikacji a poczucie tożsamości w okresie wczesnej dorosłości, ",2020,Psychologia Rozwojowa DOI 10.4467/20843879PR.20.005.12002,Anna_Maria_Oleszkowicz__1,False,16.0,True,D:\data\ranking\pdfs\v1-1\-2838177989204739589.pdf
2454,-2916242466820150254,103,103,Waldemar Henryk Klinkosz,https://orcid.org/0000-0002-7446-1868,empty,Symulacje mentalne u osób o prawidłowej masie ciała i z nadwagą,2017-11-01,Scientific Bulletin of Chełm – Section of Pedagogy,Waldemar_Henryk_Klinkosz_12,False,11.0,False,D:\data\ranking\pdfs\v1-1\-2916242466820150254.pdf
2457,-3006592405860505935,60,60,Małgorzata Korko,https://orcid.org/0000-0001-5648-687X,empty,Pause behavior within reformulations and the proficiency level of second language learners of English,2019-05,Applied Psycholinguistics,Małgorzata_Korko_2,False,31.0,True,D:\data\ranking\pdfs\v1-1\-3006592405860505935.pdf
2463,-3160611371906171728,34,34,Joanna Dymecka,https://orcid.org/0000-0002-7092-3017,empty,Niepełnosprawność a jakość życia pacjentów ze stwardnieniem rozsianym. Mediacyjna rola zapotrzebowania na wsparcie społeczne [Disability and the quality of life of patients with multiple sclerosis. Mediating role of the need for social support],2019-12-01,Człowiek-Niepełnosprawność-Społeczeństwo,Joanna_Dymecka_5,False,16.0,True,D:\data\ranking\pdfs\v1-1\-3160611371906171728.pdf
2464,-3161436862814947027,16,16,Rafał Piotr Bartczuk,https://orcid.org/0000-0002-0433-7327,empty,Walidacja psychometryczna Skali Dekonwersji Młodzieży,2019,Przegląd Psychologiczny,Rafał_Piotr_Bartczuk_17,False,18.0,False,D:\data\ranking\pdfs\v1-1\-3161436862814947027.pdf
2466,-3263582683455161372,101,101,Waldemar Henryk Klinkosz,https://orcid.org/0000-0002-7446-1868,empty,Motywacja osiągnięć a osobowość. Badania polskich i niemieckich studentów,2018-09-01,Przegląd Psychologiczny/REVIEWERS FOR THE REVIEW OF PSYCHOLOGY,Waldemar_Henryk_Klinkosz_10,False,18.0,False,D:\data\ranking\pdfs\v1-1\-3263582683455161372.pdf
2471,-3505118686805638167,82,82,Agnieszka Marta Lipińska-Grobelny,https://orcid.org/0000-0003-2770-1723,empty,Personnel selection methods and the employee's labour market.,2020,Organization & Management Scientific Quarterly,Agnieszka_Marta_Lipińska-Grobelny_4,False,15.0,True,D:\data\ranking\pdfs\v1-1\-3505118686805638167.pdf
2472,-3559023771321993708,544,547,Rafał Piotr Styła,https://orcid.org/0000-0002-3792-8473,empty,"Who and how conducts psychotherapy in Poland. Part I. Research review,Kto i w jaki sposób prowadzi psychoterapie w Polsce. Czesc I. Przeglad dotychczasowych badan",2017,Psychiatria,Rafał_Piotr_Styła_5,False,5.0,True,D:\data\ranking\pdfs\v1-1\-3559023771321993708.pdf
2473,-3559191119653340653,377,377,Włodzimierz Andrzej Strus,https://orcid.org/0000-0002-5044-5660,empty,Osobowość psychopatyczna – nowe ujęcia starej problematyki. ,2018,BIULETYN POLSKIEGO TOWARZYSTWA KRYMINOLOGICZNEGO,Włodzimierz_Andrzej_Strus_26,False,20.0,True,D:\data\ranking\pdfs\v1-1\-3559191119653340653.pdf
2476,-3641310785555570906,100,100,Waldemar Henryk Klinkosz,https://orcid.org/0000-0002-7446-1868,empty,Assessment of achievement motivation and personality of Polish and German students,2018,Przegląd Psychologiczny,Waldemar_Henryk_Klinkosz_9,False,18.0,False,D:\data\ranking\pdfs\v1-1\-3641310785555570906.pdf
2482,-3821181126503323707,368,368,Małgorzata Gamian-Wilk,https://orcid.org/0000-0002-6095-5269,empty,Różnice pomiędzy oceną zachowania dziecka wychowującego się w placówce opiekuńczo-wychowawczej jako instytucji pieczy zastępczej a dziecka wychowywanego w rodzinie. ,2018,"Teraźniejszość – Człowiek - Edukacja, 21, 4(84), 99-112.",Małgorzata_Gamian-Wilk_9,False,15.0,False,D:\data\ranking\pdfs\v1-1\-3821181126503323707.pdf
2484,-3913296011444595406,405,405,Beata Pastwa - Wojciechowska,https://orcid.org/0000-0002-0561-6125,empty,Wyobrażeniowy styl myślenia a mechanizmy kontroli emocjonalnej u funkcjonariuszy Samodzielnego Pododdziału Antyterrorystycznego Policji i Biura Ochrony Rządu,2018,Przegląd Naukowo -Metodyczny. Edukacja dla Bezpieczeństwa,Beata_Pastwa_-_Wojciechowska_9,False,472.0,False,D:\data\ranking\pdfs\v1-1\-3913296011444595406.pdf
2486,-4079052459946743141,211,211,Olga Jauer-Niworowska,https://orcid.org/0000-0001-8488-2933,empty,""" Podstawy teoretyczne diagnozy  i terapii logopedycznej pacjentów z uszkodzeniami / dysfunkcjami układu  pozapiramidowego""",2017,Poradnik Językowy,Olga_Jauer-Niworowska_2,False,116.0,False,D:\data\ranking\pdfs\v1-1\-4079052459946743141.pdf
2487,-4114498847888386635,130,130,Grzegorz Pajestka,https://orcid.org/0000-0002-5520-0347,empty,Związek indukowanych emocji z ruminacjami i orientacją pozytywną.,2018,Czasopismo psychologiczne. Psychological Journal.,Grzegorz_Pajestka_5,False,11.0,True,D:\data\ranking\pdfs\v1-1\-4114498847888386635.pdf
2489,-4213180354137445220,19,19,Mateusz Adam Hauk,https://orcid.org/0000-0003-1202-9022,empty,Cechy pracy a zadowolenie z pracy.,2018-12-21,Acta Universitatis Lodziensis. Folia Psychologica,Mateusz_Adam_Hauk_4,False,16.0,True,D:\data\ranking\pdfs\v1-1\-4213180354137445220.pdf
2497,-4493547156457419491,282,282,Anna Maria Oleszkowicz ,https://orcid.org/0000-0002-8982-2953,empty,Formowanie się tożsamości osobistej w okresie stającej się dorosłości w kontekście poczucia bezpieczeństwa i gotowości do zmian,2019,Polskie Forum Psychologiczne,Anna_Maria_Oleszkowicz__2,False,21.0,True,D:\data\ranking\pdfs\v1-1\-4493547156457419491.pdf
2500,-4539451380195578344,60,60,Rafał Janusz Gerymski,https://orcid.org/0000-0003-4847-1429,empty,"Związek agresji, wybranych czynników osobowościowych oraz preferencji kategorii filmów pornograficznych",2018,,Rafał_Janusz_Gerymski_17,False,13.0,False,D:\data\ranking\pdfs\v1-1\-4539451380195578344.pdf
2501,-4548324811119222415,308,308,Aleksandra Monika Słowińska,https://orcid.org/0000-0002-9498-501X,empty,Skala Samooceny Ciała dla Adolescentów i Dorosłych (BESAA) – polska adaptacja metody.,2019,Polish Journal of Applied Psychology,Aleksandra_Monika_Słowińska_4,False,33.0,False,D:\data\ranking\pdfs\v1-1\-4548324811119222415.pdf
2503,-4587739568099348828,169,169,DAGMARA BUDNIK-PRZYBYLSKA,https://orcid.org/0000-0002-5943-4773,empty,"Imagery, personality and injury perception in sport - mediating the effect of injury perception and imagery",2020,Acta Neuropsychologica,DAGMARA_BUDNIK-PRZYBYLSKA_7,False,15.0,False,D:\data\ranking\pdfs\v1-1\-4587739568099348828.pdf
2508,-4706469367896604504,223,223,Aleksandra Parobkiewicz-Jasielska,https://orcid.org/0000-0001-7874-5086,empty,Poznawcza Reprezentacja choroby a funkcjonowanie osób z chorobą niedokrwienną serca,2018,"Acta Bio-Optica et Informatica Medica, Inżynieria Biomedyczna",Aleksandra_Parobkiewicz-Jasielska_18,False,12.0,False,D:\data\ranking\pdfs\v1-1\-4706469367896604504.pdf
2509,-4729806971663816860,430,430,Paweł Marcin Strojny,https://orcid.org/0000-0002-6016-044X,empty,Nie patrz mi na ręce. Wpływ obecnósci ́swiadków na realizację zadań ratowniczych.,2018,Safety & Fire Technology,Paweł_Marcin_Strojny_11,False,10.0,True,D:\data\ranking\pdfs\v1-1\-4729806971663816860.pdf
2513,-4911316649540314805,77,77,Małgorzata Janina Dragan,https://orcid.org/0000-0001-8221-2012,empty,Cognitive-attentional syndrome – The psychometric properties of the CAS-1 and multi-measure CAS-based clinical diagnosis.,2019,Comprehensive Psychiatry,Małgorzata_Janina_Dragan_8,False,9.0,True,D:\data\ranking\pdfs\v1-1\-4911316649540314805.pdf
2517,-4958570919203378306,27,27,Anna Małgorzata Czyżkowska,https://orcid.org/0000-0002-8695-2381,empty,Polish adaptation of the Parents as Social Context Questionnaire (PASCQ). Towards a synthesis of parental relationship models,2019,Educational Psychology,Anna_Małgorzata_Czyżkowska_1,False,17.0,True,D:\data\ranking\pdfs\v1-1\-4958570919203378306.pdf
2521,-5036634232672010368,29,29,Anna Małgorzata Czyżkowska,https://orcid.org/0000-0002-8695-2381,empty,"Komunikacja, relacje partnerskie oraz funkcjonowanie seksualne par leczących się z powodu niepłodnósci",2018,Studia Psychologica: Theoria et praxis,Anna_Małgorzata_Czyżkowska_3,False,8.0,False,D:\data\ranking\pdfs\v1-1\-5036634232672010368.pdf
2522,-5068444789421714807,49,49,Ryszard Kościelak,https://orcid.org/0000-0003-0977-2288,empty,Self-image and methods of coping with stress in women practising dentistry,2018-01-10,Polish Journal of Social Sciences,Ryszard_Kościelak_1,False,13.0,False,D:\data\ranking\pdfs\v1-1\-5068444789421714807.pdf
2523,-5106115032748922427,133,133,Dorota Agnieszka Kanafa-Chmielewska,https://orcid.org/0000-0002-6947-6539,empty,"The two faces of an employee: Exploring the relationships between organizational citizenship behaviour, counterproductive work behaviour and job satisfaction.",2019-01-01,Argumenta Oeconomica,Dorota_Agnieszka_Kanafa-Chmielewska_2,False,20.0,True,D:\data\ranking\pdfs\v1-1\-5106115032748922427.pdf
2525,-522230896684531079,129,129,Paweł Kleka,https://orcid.org/0000-0003-0841-0015,empty,Czy studenci uczą się przewidywania swoich ocen semestralnych? Rola błędu 'przeszacowanej pewnósci' w trafnósci szacowania własnych osiągnięć edukacyjnych,2019,Dyskursy Młodych Andragogów,Paweł_Kleka_14,False,10.0,True,D:\data\ranking\pdfs\v1-1\-522230896684531079.pdf
2528,-5330995046932597144,526,526,Anna Maria Zawadzka,https://orcid.org/0000-0003-1350-3881,empty,"The role of teenagers' materialism and self-esteem, parental materialism and family SES in achievement goals orientations of adolescents",2020,Przegląd Psychologiczny,Anna_Maria_Zawadzka_3,False,15.0,True,D:\data\ranking\pdfs\v1-1\-5330995046932597144.pdf
2532,-5414526566944446276,452,452,Piotr Krzysztof Walecki,https://orcid.org/0000-0002-5544-2514,empty,Increased intake of monosaccharides and disaccharides in opioid-addicts.,2017,Eur. Psychiatry,Piotr_Krzysztof_Walecki_10,False,1.0,True,D:\data\ranking\pdfs\v1-1\-5414526566944446276.pdf
2533,-546252852699886,467,467,Marta Jackowska,https://orcid.org/0000-0002-2930-0483,empty,The association of depressive and sleep symptoms for predicting incident disease onset after 6 year follow-up: findings from the English Longitudinal Study of Ageing,2018-05-29,Psychological Medicine,Marta_Jackowska_5,False,10.0,True,D:\data\ranking\pdfs\v1-1\-546252852699886.pdf
2535,-5574010460078687101,197,197,Konrad Seweryn Jankowski,https://orcid.org/0000-0003-0613-9532,empty,Sexual Self-Schema Scale for Women Validation and Psychometric Properties of the Polish Version,2018,Sexual medicine,Konrad_Seweryn_Jankowski_16,False,12.0,True,D:\data\ranking\pdfs\v1-1\-5574010460078687101.pdf
2536,-5759229281120671037,210,210,Kamila Madeja-Bień,https://orcid.org/0000-0003-1118-0871,empty,"Różnice pomiędzy oceną zachowania dziecka wychowującego się w placówce opiekuńczo-wychowawczej, jako instytucji pieczy zastępczej a wychowywanego w rodzinie",2018-12-31,Teraźniejszość Człowiek Edukacja,Kamila_Madeja-Bień_4,False,14.0,False,D:\data\ranking\pdfs\v1-1\-5759229281120671037.pdf
2537,-5889770656972543821,109,109,Hanna Liberska,https://orcid.org/0000-0003-4323-2090,empty,Wspomnienie - Prof. Dr Jari-Erik Nurmi,2017,Polskie Forum Psychologiczne,Hanna_Liberska_19,False,2.0,False,D:\data\ranking\pdfs\v1-1\-5889770656972543821.pdf
2542,-5990222982357526114,208,208,Konrad Seweryn Jankowski,https://orcid.org/0000-0003-0613-9532,empty,Standardy leczenia zaburzeń rytmu okołodobowego snu i czuwania Polskiego Towarzystwa Badań nad Snem i Sekcji Psychiatrii Biologicznej Polskiego Towarzystwa Psychiatrycznego. Czę́sć 2. Diagnoza i leczenie,2017,Psychiatr Pol,Konrad_Seweryn_Jankowski_27,False,19.0,True,D:\data\ranking\pdfs\v1-1\-5990222982357526114.pdf
2546,-6085771704401371060,32,32,Ewa Jaglarz,https://orcid.org/0000-0001-8754-8770,empty,Jakościowa charakterystyka stylu zarządzania miejscem pracy ze względu na warunki sprzyjające zatrudnianiu osób z niepełnosprawnością,2018,Niepełnosprawność. Dyskursy pedagogiki specjalnej,Ewa_Jaglarz_2,False,28.0,False,D:\data\ranking\pdfs\v1-1\-6085771704401371060.pdf
2547,-6143368831669047616,527,527,Anna Maria Zawadzka,https://orcid.org/0000-0003-1350-3881,empty,"Work Motives in the Context of Generational Differences, Gender Differences, and Preferred Values.",2020,Polish Psychological Bulletin.,Anna_Maria_Zawadzka_4,False,11.0,True,D:\data\ranking\pdfs\v1-1\-6143368831669047616.pdf
2549,-6170905449702836174,547,547,Izabela Krejtz,https://orcid.org/0000-0002-9827-8371,empty,UNCONTROLLABILITY IN THE CLASSROOM The intellectual helplessness perspective,2017,Coping with Lack of Control in a Social World,Izabela_Krejtz_21,False,20.0,True,D:\data\ranking\pdfs\v1-1\-6170905449702836174.pdf
2550,-6172622210482281615,412,412,Jan Felicjan Terelak,https://orcid.org/0000-0002-8884-9409,empty,Organizacja jako sieć transakcji interpersonalnych : wkład psychologii organizacji do nauk o zarządzaniu w okresie postmodernizmu,2017,Studia i Materiały Wydziału Zarządzania i Administracji Wyższej Szkoły Pedagogicznej im. Jana Kochanowskiego w Kielcach,Jan_Felicjan_Terelak_6,False,16.0,False,D:\data\ranking\pdfs\v1-1\-6172622210482281615.pdf
2553,-6289489012479058674,44,44,Jacek Janusz Gierus,https://orcid.org/0000-0003-2532-3327,empty,"Epidemiology of suicidal thoughts and behaviours in patients of the Clinic of Psychiatry at the Faculty of Health Sciences of Medical University of Warsaw (April 2016-March 2017),Epidemiologia zachowań samobójczych pacjentów Kliniki Psychiatrycznej Wydziału Nauki o Zdrowiu Warszawskiego Uniwersytetu Medycznego (kwiecień 2016-marzec 2017 roku)",2017,Psychiatria,Jacek_Janusz_Gierus_20,False,7.0,False,D:\data\ranking\pdfs\v1-1\-6289489012479058674.pdf
2557,-6424876537819330422,65,65,Tomasz Rafał Knopik,https://orcid.org/0000-0001-5253-7545,empty,Diagnoza kompetencji emocjonalno-społecznych uczniów zdolnych w środkowym wieku szkolnym z wykorzystaniem baterii TROS-KA - doniesienie z badań,2017,Ruch pedagogiczny,Tomasz_Rafał_Knopik_16,False,16.0,False,D:\data\ranking\pdfs\v1-1\-6424876537819330422.pdf
2558,-6428960746317031267,36,36,Kamil Jezierski,https://orcid.org/0000-0001-6935-4710,empty,"Sprawozdanie z VII Konferencji Psychologii Narracyjnej: „Narracja i Rozwój”, 27-29 września 2018 r., Kazimierz Dolny ",2019,Psychologia Rozwojowa,Kamil_Jezierski_3,False,4.0,False,D:\data\ranking\pdfs\v1-1\-6428960746317031267.pdf
2559,-6434319084815349215,92,92,Anna Lubrańska,https://orcid.org/0000-0002-3880-0711,empty,Klimat organizacyjny a konflikty ról w perspektywie równowagi praca-życie,2021,Zarządzanie Zasobami Ludzkimi,Anna_Lubrańska_1,False,17.0,True,D:\data\ranking\pdfs\v1-1\-6434319084815349215.pdf
2560,-6441488127636104459,55,55,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,empty,Depresja poporodowa matki i jej konsekwencje dla dziecka i rodziny = Maternal postpartum depression and its consequences for the child and family,2019,Kwartalnik Naukowy Fides et Ratio,Karolina_Kossakowska_8,False,18.0,True,D:\data\ranking\pdfs\v1-1\-6441488127636104459.pdf
2561,-649107185711738562,297,297,Michał Ziarko,https://orcid.org/0000-0002-7530-3167,empty,"Report from the 11th National Scientific Conference of the Health Psychology Section of the Polish Psychological Society “Health in a Changing World—Threats and Challenges” Institute of Psychology, Adam Mickiewicz University Poznan: 12–14 May, 2017",2018,Przegląd Psychologiczny,Michał_Ziarko_12,False,3.0,False,D:\data\ranking\pdfs\v1-1\-649107185711738562.pdf
2563,-6600697120074090569,22,22,Lucyna Bakiera,https://orcid.org/0000-0003-4559-0430,empty,Levinsonowskie Marzenie w odniesieniu do ojcostwa. Badanie mężczyzn w fazie nowicjatu,2019,"Psychologia Rozwojowa, 23(4), 71-90. DOI - 10.4467/20843879PR.18.023.9952",Lucyna_Bakiera_9,False,20.0,True,D:\data\ranking\pdfs\v1-1\-6600697120074090569.pdf
2564,-6610524027023497404,176,176,Michalina Sołtys,https://orcid.org/0000-0003-2530-3633,empty,Metodologia badań psychologicznych. Wydanie nowe / Jerzy Brzeziński. - Warszawa 2019,2019,Polskie Forum Psychologiczne,Michalina_Sołtys_5,False,3.0,False,D:\data\ranking\pdfs\v1-1\-6610524027023497404.pdf
2568,-6764393534205902320,71,71,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,empty,Orientacja seksualna kobiet a postawy wobec macierzyństwa = Women' sexual orientation and their attitudes towards motherhood,2017,Seksuologia Polska,Karolina_Kossakowska_24,False,8.0,False,D:\data\ranking\pdfs\v1-1\-6764393534205902320.pdf
2575,-6841829775221682449,67,67,Tomasz Rafał Knopik,https://orcid.org/0000-0001-5253-7545,empty,"Oszwa U., Domagała-Zyśk E., Knopik T. (2017). Zasoby odpornościowe uczniów w środkowym wieku szkolnym a ryzyko niedostosowania społecznego",2017,Ruch pedagogiczny,Tomasz_Rafał_Knopik_18,False,18.0,False,D:\data\ranking\pdfs\v1-1\-6841829775221682449.pdf
2577,-6880845510570811688,58,58,Rafał Janusz Gerymski,https://orcid.org/0000-0003-4847-1429,empty,"Do intimacy, passion and commitment shape the sexual satisfaction of seniors? Results of the exploratory study,Czy intymność, namiętność i zobowiązanie kształtują satysfakcję seksualną seniorów? Wyniki badania eksploracyjnego",2018,Seksuologia Polska,Rafał_Janusz_Gerymski_15,False,9.0,False,D:\data\ranking\pdfs\v1-1\-6880845510570811688.pdf
2579,-6927721003501164195,94,94,HANNA PRZYBYŁA-BASISTA,https://orcid.org/0000-0001-6839-7305,empty,Dobrostan psychologiczny i jego pomiar za pomocą Oksfordzkiego Kwestionariusza Szczęścia,2018,Czasopismo Psychologiczne-Psychological Journal,HANNA_PRZYBYŁA-BASISTA_9,False,12.0,True,D:\data\ranking\pdfs\v1-1\-6927721003501164195.pdf
2581,-6970684492382075026,428,428,Andrzej Piotrowski,https://orcid.org/0000-0003-1192-2695,empty,Stress and coping during the COVID-19 pandemic among martial arts athletes - a cross-cultural study,2020,Archives of Budo,Andrzej_Piotrowski_12,False,11.0,False,D:\data\ranking\pdfs\v1-1\-6970684492382075026.pdf
2586,-706209972415357457,149,149,Hanna Wanda Brycz,https://orcid.org/0000-0001-7003-9793,empty,Do Good Old Values Work Today? Polish Students’ Value Priorities in 2006 and 2017 – A Comparative Study,2019,Miscellanea Anthropologica et Sociologica,Hanna_Wanda_Brycz_4,False,12.0,False,D:\data\ranking\pdfs\v1-1\-706209972415357457.pdf
2587,-7062508219398103773,208,208,Kamila Madeja-Bień,https://orcid.org/0000-0003-1118-0871,empty,Mobbing w szkole – przegląd dotychczasowych wyników badań i odniesienia do programów interwencyjnych,2019-12-31,Forum Oświatowe,Kamila_Madeja-Bień_2,False,17.0,True,D:\data\ranking\pdfs\v1-1\-7062508219398103773.pdf
2588,-71253364286370115,70,70,Karolina Kossakowska,https://orcid.org/0000-0003-3618-1918,empty,Charakterystyka i ocena właściwości psychometrycznych polskiej adaptacji Skali Poczucia Kompetencji Rodzicielskich (Parenting Sense of Competence Scale; PSOC-PL) w wersji dla matek. ,2017,"Acta Universitatis Lodziensis, Folia Psychologica",Karolina_Kossakowska_23,False,18.0,True,D:\data\ranking\pdfs\v1-1\-71253364286370115.pdf
