Original Title,Closest 1,Closest 2,Closest 3,doi,Article_ID
american journal of human biology,AMERICAN JOURNAL OF HUMAN BIOLOGY,AMERICAN JOURNAL OF HEMATOLOGY,AMERICAN JOURNAL OF CARDIOLOGY,https://doi.org/10.1002/ajhb.23335,10-1002_ajhb-23335
american journal of orthopsychiatry,AMERICAN JOURNAL OF ORTHOPSYCHIATRY,AMERICAN JOURNAL OF PSYCHIATRY,AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,https://doi.org/10.1037/ort0000302,10-1037_ort0000302
american psychologist,AMERICAN PSYCHOLOGIST,Clinical Psychologist,AMERICAN ETHNOLOGIST,https://doi.org/10.1037/amp0000666,10-1037_amp0000666
american journal of community psychology,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,JOURNAL OF COMMUNITY PSYCHOLOGY,AMERICAN JOURNAL OF PSYCHOLOGY,https://doi.org/10.1002/ajcp.12470,10-1002_ajcp-12470
american journal of physical anthropology,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,American Journal of Biological Anthropology,AMERICAN JOURNAL OF CLINICAL PATHOLOGY,https://doi.org/10.1002/ajpa.24295,10-1002_ajpa-24295
amfiteatru economic,Amfiteatru Economic,TRIMESTRE ECONOMICO,Mineral Economics,https://doi.org/10.24818/ea/2020/s14/1265,10-24818_ea_2020_s14_1265
anales de psicologia,Anales de Psicologia,Anuario de Psicologia,ANNALES DE PATHOLOGIE,https://doi.org/10.6018/analesps.34.1.266201,10-6018_analesps-34-1-266201
anatomical science international,ANATOMICAL SCIENCE INTERNATIONAL,Oral Science International,FORENSIC SCIENCE INTERNATIONAL,https://doi.org/10.1007/s12565-018-0445-y,10-1007_s12565-018-0445-y
animal science papers and reports,ANIMAL SCIENCE PAPERS AND REPORTS,Stem Cell Reviews and Reports,ANIMAL SCIENCE JOURNAL,empty,-3.03E+17
animals,Animals,Animal,Trials,https://doi.org/10.3390/ani11041068,10-3390_ani11041068
annales academiae medicae silesiensis,Annales Academiae Medicae Silesiensis,ANNALS ACADEMY OF MEDICINE SINGAPORE,Acta Facultatis Medicae Naissensis,https://doi.org/10.18794/aams/137951,10-18794_aams_137951
annales etyka w życiu gospodarczym,Annales. Etyka w Życiu Gospodarczym,ANNALES HENRI POINCARE,ANNALES BOTANICI FENNICI,https://doi.org/10.18778/1899-2226.21.5.11,10-18778_1899-2226-21-5-11
annals of behavioral medicine,ANNALS OF BEHAVIORAL MEDICINE,JOURNAL OF BEHAVIORAL MEDICINE,Annals of African Medicine,https://doi.org/10.1093/abm/kaab004,10-1093_abm_kaab004
annals of dyslexia,ANNALS OF DYSLEXIA,ANNALS OF SCIENCE,ANNALS OF PHYSICS,https://doi.org/10.1007/s11881-019-00181-x,10-1007_s11881-019-00181-x
annals of general psychiatry,Annals of General Psychiatry,Annals of Clinical Psychiatry,Annals of Indian Psychiatry,https://doi.org/10.1186/s12991-021-00328-4,10-1186_s12991-021-00328-4
annals of human genetics,ANNALS OF HUMAN GENETICS,JOURNAL OF HUMAN GENETICS,ANNALS OF MATHEMATICS,https://doi.org/10.1111/ahg.12209,10-1111_ahg-12209
annals of noninvasive electrocardiology,ANNALS OF NONINVASIVE ELECTROCARDIOLOGY,JOURNAL OF INVASIVE CARDIOLOGY,Annals of Pediatric Cardiology,https://doi.org/10.1111/anec.12564,10-1111_anec-12564
annals of the new york academy of sciences,Annals of the New York Academy of Sciences,HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,Proceedings of the Estonian Academy of Sciences,empty,-4.22E+18
anthropological review,ANTHROPOLOGICAL SCIENCE,Anthropological Theory,Anthropological Forum,https://doi.org/10.2478/anre-2021-0011,10-2478_anre-2021-0011
anthropologischer anzeiger,ANTHROPOLOGISCHER ANZEIGER,ZOOLOGISCHER ANZEIGER,ANTHROPOLOGICAL SCIENCE,https://doi.org/10.1127/anthranz/2018/0865,10-1127_anthranz_2018_0865
anthropos,ANTHROPOS,ANTHROZOOS,Anthropocene,empty,4.05E+18
anxiety stress  coping an international journal,Benchmarking-An International Journal,ANTIQVORVM PHILOSOPHIA-An International journal,GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL,https://doi.org/10.1080/10615806.2019.1633578,10-1080_10615806-2019-1633578
appetite,APPETITE,APPITA,Appeal,https://doi.org/10.1016/j.appet.2021.105217,10-1016_j-appet-2021-105217
applied acoustics,APPLIED ACOUSTICS,APPLIED ECONOMICS,APPLIED OPTICS,https://doi.org/10.1016/j.apacoust.2017.08.003,10-1016_j-apacoust-2017-08-003
applied cognitive psychology,APPLIED COGNITIVE PSYCHOLOGY,COGNITIVE PSYCHOLOGY,Journal of Cognitive Psychology,https://doi.org/10.1002/acp.3687,10-1002_acp-3687
applied linguistics papers,Applied Linguistics Papers,Applied Linguistics Review,APPLIED LINGUISTICS,https://doi.org/10.32612/uw.25449354.2019.1.pp,10-32612_uw-25449354-2019-1-pp
applied psycholinguistics,APPLIED PSYCHOLINGUISTICS,APPLIED LINGUISTICS,Psycholinguistics,empty,-3.01E+18
applied psychology,Applied Radiology,Applied Ontology,APPLIED RHEOLOGY,https://doi.org/10.1111/apps.12288,10-1111_apps-12288
applied psychology health and wellbeing,Applied Psychology-Health and Well Being,APPLIED PSYCHOLOGICAL MEASUREMENT,Psychology Health & Medicine,https://doi.org/10.1111/aphw.12234,10-1111_aphw-12234
applied psychophysiology and biofeedback,APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,PLANT PHYSIOLOGY AND BIOCHEMISTRY,https://doi.org/10.1007/s10484-018-9426-0,10-1007_s10484-018-9426-0
applied research in quality of life,Applied Research in Quality of Life,Applied Research & Agrotechnology,BASIC RESEARCH IN CARDIOLOGY,https://doi.org/10.1007/s11482-017-9508-9,10-1007_s11482-017-9508-9
applied sciences,SN Applied Sciences,POLICY SCIENCES,LIFE SCIENCES,https://doi.org/10.3390/app9245340,10-3390_app9245340
archive for the psychology of religion,Journal for the Study of Religion,Teaching Theology and Religion,International Journal for the Psychology of Religion,https://doi.org/10.1177/0084672421994199,10-1177_0084672421994199
archives animal breeding,Archives Animal Breeding,ARCHIVES OF ANIMAL NUTRITION,Large Animal Review,https://doi.org/10.5194/aab-61-245-2018,10-5194_aab-61-245-2018
archives of budo,Archives of Budo,ARCHIVES OF VIROLOGY,Archives of Acoustics,empty,4.15E+18
archives of clinical neuropsychology,ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,Archives of Clinical Psychiatry,JOURNAL OF CLINICAL NEUROPHYSIOLOGY,https://doi.org/10.1093/arclin/acab045,10-1093_arclin_acab045
archives of gerontology and geriatrics,ARCHIVES OF GERONTOLOGY AND GERIATRICS,Journal of Gerontology and Geriatrics,ARCHIVES OF GYNECOLOGY AND OBSTETRICS,https://doi.org/10.1016/j.archger.2019.103967,10-1016_j-archger-2019-103967
archives of gynecology and obstetrics,ARCHIVES OF GYNECOLOGY AND OBSTETRICS,ARCHIVES OF GERONTOLOGY AND GERIATRICS,ARCHIVES OF METALLURGY AND MATERIALS,https://doi.org/10.1007/s00404-020-05748-3,10-1007_s00404-020-05748-3
archives of medical  science,Archives of Medical Science,ARCHIVES OF MEDICAL RESEARCH,Archives of Orofacial Science,https://doi.org/10.5114/aoms.2020.99592,10-5114_aoms-2020-99592
archives of medical science,Archives of Medical Science,ARCHIVES OF MEDICAL RESEARCH,Archives of Orofacial Science,https://doi.org/10.5114/aoms/128102,10-5114_aoms_128102
archives of physical medicine and rehabilitation,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,Turkish Journal of Physical Medicine and Rehabilitation,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,https://doi.org/10.1016/j.apmr.2017.02.025,10-1016_j-apmr-2017-02-025
archives of psychiatric nursing,ARCHIVES OF PSYCHIATRIC NURSING,Journal of Psychiatric Nursing,ARCHIVES OF MECHANICS,https://doi.org/10.1016/j.apnu.2016.11.002,10-1016_j-apnu-2016-11-002
archives of psychiatry and psychotheraphy   doi app,Archives of Psychiatry and Psychotherapy,ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY,empty,-6.41E+18
archives of psychiatry and psychotherapy,Archives of Psychiatry and Psychotherapy,CLINICAL PSYCHOLOGY & PSYCHOTHERAPY,Archives of Clinical Psychiatry,https://doi.org/10.12740/app/142826,10-12740_app_142826
archives of public health,Archives of Public Health,Advances in Public Health,JOURNAL OF PUBLIC HEALTH,https://doi.org/10.1186/s13690-021-00524-4,10-1186_s13690-021-00524-4
archives of sexual behavior,ARCHIVES OF SEXUAL BEHAVIOR,Analysis of Verbal Behavior,Archives of Rehabilitation,https://doi.org/10.1007/s10508-018-1167-x,10-1007_s10508-018-1167-x
archives of disease in childhood fetal and neonatal edition,Archives of Disease in Childhood-Fetal and Neonatal Edition,Archives of Disease in Childhood-Education and Practice Edition,ARCHIVES OF DISEASE IN CHILDHOOD,https://doi.org/10.1136/archdischild-2019-318231,10-1136_archdischild-2019-318231
archiwum kryminologii,Archiwum Kryminologii,Archiwum Emigracji,ARCHIVES OF VIROLOGY,https://doi.org/10.7420/ak2018a,10-7420_ak2018a
argument biannual philosophical journal vol  nr  s ,ARGUMENT: Biannual Philosophical Journal,Kronos. Philosophical Journal,INTERNATIONAL PHILOSOPHICAL QUARTERLY,empty,8.96E+18
argumenta oeconomica,Argumenta Oeconomica,ACTA OECONOMICA,Fragmenta Agronomica,https://doi.org/10.15611/aoe.2020.1.10,10-15611_aoe-2020-1-10
ars educandi,Ars Educandi,Artseduca,Nurse Educator,https://doi.org/10.26881/ae.2020.17.01,10-26881_ae-2020-17-01
asia pacific journal of developmental differences,Asia Pacific Journal of Environmental Law,Asia-Pacific Journal of Regional Science,Asia Pacific Journal of Health Management,https://doi.org/10.3850/s2345734121000117,10-3850_s2345734121000117
asian journal of social psychology,ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,JOURNAL OF SOCIAL PSYCHOLOGY,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,https://doi.org/10.1111/ajsp.12364,10-1111_ajsp-12364
assessment,ASSESSMENT,Semen,DISSENT,https://doi.org/10.1177/1073191119831770,10-1177_1073191119831770
astrobiology,ASTROBIOLOGY,MICROBIOLOGY,PATHOBIOLOGY,https://doi.org/10.1089/ast.2019.2151,10-1089_ast-2019-2151
autism  developmental language impairments,Applied Developmental Science,DEVELOPMENTAL NEUROSCIENCE,DEVELOPMENTAL DYNAMICS,empty,5.20E+18
avant,Avant,GIANT,Levant,https://doi.org/10.26913/avant.2019.03.05,10-26913_avant-2019-03-05
azjapacyfik,ANALYSIS,Aspasia,Bioanalysis,https://doi.org/10.15804/ap202103,10-15804_ap202103
bioprotocol,Bio-protocol,BIOTROPICA,BIOCONTROL,https://doi.org/10.21769/bioprotoc.3485,10-21769_bioprotoc-3485
biuletyn polskiego towarzystwa kryminologicznego,Biuletyn Polskiego Towarzystwa Językoznawczego,Zeszyty Kaliskiego Towarzystwa Przyjaciół Nauk,ROCZNIKI NAUKOWE POLSKIEGO TOWARZYSTWA ZOOTECHNICZNEGO,empty,-3.56E+18
bmc pregnancy and childbirth,BMC Pregnancy and Childbirth,BMC Ecology and Evolution,BMC Emergency Medicine,https://doi.org/10.1186/s12884-021-03810-9,10-1186_s12884-021-03810-9
bmc psychology,BMC Psychiatry,BMC ECOLOGY,BMC BIOLOGY,https://doi.org/10.1186/s40359-021-00524-7,10-1186_s40359-021-00524-7
bmc research notes,ROMANCE NOTES,3D Research,RESEARCH POLICY,https://doi.org/10.1186/s13104-020-05432-4,10-1186_s13104-020-05432-4
bmc womens health,BMC Womens Health,Womens Health,BMC Oral Health,https://doi.org/10.1186/s12905-021-01174-y,10-1186_s12905-021-01174-y
bmc geriatrics,BMC Geriatrics,BMC Pediatrics,Geriatrics,https://doi.org/10.1186/s12877-020-01952-7,10-1186_s12877-020-01952-7
bmj,PM&R,Ból,EMU,https://doi.org/10.1136/bmj.n2202,10-1136_bmj-n2202
bmj online,BMJ Open,Bottom Line,BIOFOULING,https://doi.org/10.1136/bmj.l236,10-1136_bmj-l236
bmj open,BMJ Open,BJS Open,RMD Open,https://doi.org/10.1136/bmjopen-2019-029501,10-1136_bmjopen-2019-029501
bmj open,BMJ Open,BJS Open,RMD Open,https://doi.org/10.1136/bmjopen-2019-029501,10-1136_bmjopen-2019-029501
british journal of psychology,BRITISH JOURNAL OF PSYCHOLOGY,BRITISH JOURNAL OF SOCIOLOGY,BRITISH JOURNAL OF PSYCHIATRY,https://doi.org/10.1111/bjop.12250,10-1111_bjop-12250
balt j manag,ELT Journal,ART JOURNAL,Art-Sanat,https://doi.org/10.1108/bjm-01-2017-0023,10-1108_bjm-01-2017-0023
baltic journal  of health and physical activity   pp ,Baltic Journal of Health and Physical Activity,JOURNAL OF AGING AND PHYSICAL ACTIVITY,Mental Health and Physical Activity,empty,7.33E+18
baltic journal of management,Baltic Journal of Management,BRITISH JOURNAL OF MANAGEMENT,Irish Journal of Management,https://doi.org/10.1108/bjm-01-2017-0023,10-1108_bjm-01-2017-0023
behavior research methods,Behavior Research Methods,Survey Research Methods,OPERATIONS RESEARCH LETTERS,https://doi.org/10.3758/s13428-016-0773-6,10-3758_s13428-016-0773-6
behavioral neuroscience,BEHAVIORAL NEUROSCIENCE,Behavioral Sciences,VISUAL NEUROSCIENCE,https://doi.org/10.1037/bne0000378,10-1037_bne0000378
behavioral science,Behavioral Sciences,BEHAVIORAL NEUROSCIENCE,BEHAVIORAL MEDICINE,https://doi.org/10.3390/bs10040074,10-3390_bs10040074
behavioral sciences,Behavioral Sciences,Mechanical Sciences,Botanical Sciences,https://doi.org/10.3390/bs10040074,10-3390_bs10040074
behavioral sleep medicine,Behavioral Sleep Medicine,BEHAVIORAL MEDICINE,SLEEP MEDICINE,https://doi.org/10.1080/15402002.2017.1357121,10-1080_15402002-2017-1357121
behaviour  information technology,BEHAVIOUR & INFORMATION TECHNOLOGY,Ethics and Information Technology,JOURNAL OF INFORMATION TECHNOLOGY,https://doi.org/10.1080/0144929x.2017.1364422,10-1080_0144929x-2017-1364422
behaviour research and therapy,BEHAVIOUR RESEARCH AND THERAPY,AIDS Research and Therapy,Biomedical Research and Therapy,https://doi.org/10.1016/j.brat.2020.103693,10-1016_j-brat-2020-103693
behavioural brain research,BEHAVIOURAL BRAIN RESEARCH,EXPERIMENTAL BRAIN RESEARCH,Brazilian Oral Research,https://doi.org/10.1016/j.bbr.2018.02.007,10-1016_j-bbr-2018-02-007
behavioural processes,BEHAVIOURAL PROCESSES,Behavioral Sciences,Ecological Processes,https://doi.org/10.1016/j.beproc.2020.104221,10-1016_j-beproc-2020-104221
behavioural and cognitive psychotherapy,BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,Journal of Cognitive Psychotherapy,Journal of Cognitive Psychology,empty,5.12E+17
bezpieczeństwo i technika pożarnicza,Bezpieczeństwo. Teoria i Praktyka,Bezpieczeństwo Pracy. Nauka i Praktyka,"Gaz, Woda i Technika Sanitarna",https://doi.org/10.12845/bitp.49.1.2018.1,10-12845_bitp-49-1-2018-1
biblioteka współczesnej myśli pedagogicznej   t  s ,Problemy Współczesnej Kryminalistyki,Polska Myśl Pedagogiczna,Biografistyka Pedagogiczna,empty,-5.43E+17
bilingualism,Journalism,Lingua Legis,Biolinguistics,https://doi.org/10.1017/s1366728918000329,10-1017_s1366728918000329
bioalgorithms and medsystems,Bio-Algorithms and Med-Systems,Animal Cells and Systems,CYBERNETICS AND SYSTEMS,https://doi.org/10.1515/bams-2020-0064,10-1515_bams-2020-0064
biomed research international,Biomed Research International,FOOD RESEARCH INTERNATIONAL,STEEL RESEARCH INTERNATIONAL,https://doi.org/10.1155/2019/2069716,10-1155_2019_2069716
biogerontology,BIOGERONTOLOGY,GERONTOLOGY,GERODONTOLOGY,https://doi.org/10.1007/s10522-017-9693-9,10-1007_s10522-017-9693-9
biografistyka pedagogiczna,Biografistyka Pedagogiczna,Konteksty Pedagogiczne.,Polska Myśl Pedagogiczna,https://doi.org/10.36578/bp.2020.05.05,10-36578_bp-2020-05-05
biological psychology,BIOLOGICAL PSYCHOLOGY,ECOLOGICAL PSYCHOLOGY,BIOLOGICAL PSYCHIATRY,https://doi.org/10.1016/j.biopsycho.2019.04.005,10-1016_j-biopsycho-2019-04-005
biological reviews of the cambridge philosophical society,MATHEMATICAL PROCEEDINGS OF THE CAMBRIDGE PHILOSOPHICAL SOCIETY,PROCEEDINGS OF THE AMERICAN PHILOSOPHICAL SOCIETY,TRANSACTIONS OF THE AMERICAN PHILOSOPHICAL SOCIETY,https://doi.org/10.1111/brv.12494,10-1111_brv-12494
biomedical human kinetics,Biomedical Human Kinetics,Medical Humanities,Journal of Human Kinetics,https://doi.org/10.1515/bhk-2018-0004,10-1515_bhk-2018-0004
biomedicines,Biomedicines,EBioMedicine,Biomedica,https://doi.org/10.3390/biomedicines8110509,10-3390_biomedicines8110509
biosemiotics,Biosemiotics,BIOSTATISTICS,BioSocieties,https://doi.org/10.1007/s12304-021-09470-8,10-1007_s12304-021-09470-8
body image,Body Image,WORD & IMAGE,Moving Image,https://doi.org/10.1016/j.bodyim.2017.07.004,10-1016_j-bodyim-2017-07-004
bone marrow transplantation,BONE MARROW TRANSPLANTATION,Journal of Transplantation,PEDIATRIC TRANSPLANTATION,empty,1.02E+18
borderline personality disorder and emotion dysregulation,Borderline Personality Disorder and Emotion Dysregulation,BIODIVERSITY: RESEARCH AND CONSERVATION,International Journal of Emotional Education,https://doi.org/10.1186/s40479-021-00166-6,10-1186_s40479-021-00166-6
brain,BRAIN,PAIN,STRAIN,https://doi.org/10.1093/brain/awx170,10-1093_brain_awx170
brain imaging and behavior,Brain Imaging and Behavior,Brain and Behavior,GENES BRAIN AND BEHAVIOR,https://doi.org/10.1007/s11682-020-00346-y,10-1007_s11682-020-00346-y
brain injury,BRAIN INJURY,ASN Neuro,Gran Tour,https://doi.org/10.1080/02699052.2021.1927186,10-1080_02699052-2021-1927186
brain stimulation,Brain Stimulation,Brain Circulation,Building Simulation,https://doi.org/10.1016/j.brs.2020.09.027,10-1016_j-brs-2020-09-027
brain structure and function,Brain Structure & Function,CELL STRUCTURE AND FUNCTION,TREES-STRUCTURE AND FUNCTION,https://doi.org/10.1007/s00429-017-1527-7,10-1007_s00429-017-1527-7
brain and cognition,BRAIN AND COGNITION,Language and Cognition,SOCIAL COGNITION,https://doi.org/10.1016/j.bandc.2017.02.002,10-1016_j-bandc-2017-02-002
brain and language,BRAIN AND LANGUAGE,Gender and Language,MIND & LANGUAGE,https://doi.org/10.1016/j.bandl.2021.105040,10-1016_j-bandl-2021-105040
brain behavior and immunity,BRAIN BEHAVIOR AND IMMUNITY,BRAIN BEHAVIOR AND EVOLUTION,INFECTION AND IMMUNITY,https://doi.org/10.1016/j.bbi.2020.04.013,10-1016_j-bbi-2020-04-013
braincomputer interfaces,Brain-Computer Interfaces,COMPOSITE INTERFACES,HUMAN-COMPUTER INTERACTION,https://doi.org/10.1080/2326263x.2021.2002004,10-1080_2326263x-2021-2002004
