Original Title,Closest 1,Closest 2,Closest 3
advances in dermatology and allergology,Advances in Pharmacology and Pharmacy,ADVANCES IN ANATOMIC PATHOLOGY,PEDIATRIC HEMATOLOGY AND ONCOLOGY
advances in interventional cardiology,SEMINARS IN INTERVENTIONAL RADIOLOGY,JOURNAL OF INTERVENTIONAL CARDIOLOGY,REC-Interventional Cardiology
advances in life course research,Advances in Life Course Research,Advances in Climate Change Research,Advances in Energy Research
advances in mental health and intellectual disabilities,Advances in Mental Health and Intellectual Disabilities,Journal of Mental Health Research in Intellectual Disabilities,JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES
advances in psychiatry and neurology,Seminars in Pediatric Neurology,Advances in Human Biology,ADVANCES IN POLYMER TECHNOLOGY
advances in clinical and experimental medicine  official organ wroclaw medical university,Advances in Clinical and Experimental Medicine,Clinical and Experimental Emergency Medicine,JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY
ageing and society,AGEING & SOCIETY,Policy and Society,THEORY AND SOCIETY
aggression and violent behavior,AGGRESSION AND VIOLENT BEHAVIOR,AGGRESSIVE BEHAVIOR,EVOLUTION AND HUMAN BEHAVIOR
aggressive behavior,AGGRESSIVE BEHAVIOR,ADAPTIVE BEHAVIOR,ADDICTIVE BEHAVIORS
aging,Aging-US,Imaging,SPIN
aging  mental health,AGING & MENTAL HEALTH,JMIR Mental Health,Global Mental Health
aging neuropsychology and cognition,AGING NEUROPSYCHOLOGY AND COGNITION,Applied Neuropsychology-Adult,Language and Cognition
agricultural and food science,AGRICULTURAL AND FOOD SCIENCE,JOURNAL OF FOOD SCIENCE,Nutrition & Food Science
alcohol and alcoholism,ALCOHOL AND ALCOHOLISM,Nations and Nationalism,Algebra and Logic
alcoholism and drug addiction,ALCOHOL AND ALCOHOLISM,JOURNAL OF DRUG EDUCATION,Ethics and Education
alkoholizm i narkomania,ARCHAEOLOGY IN OCEANIA,Akademia Zarządzania,ARS COMBINATORIA
alkoholizm i narkomaniaalchoholism and drug addition,Alkoholizm i Narkomania-Alchoholism and Drug Addition,Rehabilitation Research Policy and Education,TROPICAL ANIMAL HEALTH AND PRODUCTION
allergy,ALLERGY,ENERGY,Ayer
american journal of clinical nutrition,AMERICAN JOURNAL OF CLINICAL NUTRITION,EUROPEAN JOURNAL OF CLINICAL NUTRITION,South African Journal of Clinical Nutrition
american journal of community psychology,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,JOURNAL OF COMMUNITY PSYCHOLOGY,AMERICAN JOURNAL OF PSYCHOLOGY
american journal of health behavior,AMERICAN JOURNAL OF HEALTH BEHAVIOR,American Journal of Health Education,AMERICAN JOURNAL OF HEALTH PROMOTION
american journal of human biology,AMERICAN JOURNAL OF HUMAN BIOLOGY,AMERICAN JOURNAL OF HEMATOLOGY,AMERICAN JOURNAL OF CARDIOLOGY
american journal of orthopsychiatry,AMERICAN JOURNAL OF ORTHOPSYCHIATRY,AMERICAN JOURNAL OF PSYCHIATRY,AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY
american psychologist,AMERICAN PSYCHOLOGIST,Clinical Psychologist,AMERICAN ETHNOLOGIST
american journal of community psychology,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,JOURNAL OF COMMUNITY PSYCHOLOGY,AMERICAN JOURNAL OF PSYCHOLOGY
american journal of physical anthropology,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,American Journal of Biological Anthropology,AMERICAN JOURNAL OF CLINICAL PATHOLOGY
amfiteatru economic,Amfiteatru Economic,TRIMESTRE ECONOMICO,Mineral Economics
anales de psicologia,Anales de Psicologia,Anuario de Psicologia,ANNALES DE PATHOLOGIE
anatomical science international,ANATOMICAL SCIENCE INTERNATIONAL,Oral Science International,FORENSIC SCIENCE INTERNATIONAL
animal science papers and reports,ANIMAL SCIENCE PAPERS AND REPORTS,Stem Cell Reviews and Reports,ANIMAL SCIENCE JOURNAL
animals,Animals,Animal,Trials
annales academiae medicae silesiensis,Annales Academiae Medicae Silesiensis,ANNALS ACADEMY OF MEDICINE SINGAPORE,Acta Facultatis Medicae Naissensis
annales etyka w życiu gospodarczym,Annales. Etyka w Życiu Gospodarczym,ANNALES HENRI POINCARE,ANNALES BOTANICI FENNICI
annals of behavioral medicine,ANNALS OF BEHAVIORAL MEDICINE,JOURNAL OF BEHAVIORAL MEDICINE,Annals of African Medicine
annals of dyslexia,ANNALS OF DYSLEXIA,ANNALS OF SCIENCE,ANNALS OF PHYSICS
annals of general psychiatry,Annals of General Psychiatry,Annals of Clinical Psychiatry,Annals of Indian Psychiatry
annals of human genetics,ANNALS OF HUMAN GENETICS,JOURNAL OF HUMAN GENETICS,ANNALS OF MATHEMATICS
annals of noninvasive electrocardiology,ANNALS OF NONINVASIVE ELECTROCARDIOLOGY,JOURNAL OF INVASIVE CARDIOLOGY,Annals of Pediatric Cardiology
annals of the new york academy of sciences,Annals of the New York Academy of Sciences,HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,Proceedings of the Estonian Academy of Sciences
anthropological review,ANTHROPOLOGICAL SCIENCE,Anthropological Theory,Anthropological Forum
anthropologischer anzeiger,ANTHROPOLOGISCHER ANZEIGER,ZOOLOGISCHER ANZEIGER,ANTHROPOLOGICAL SCIENCE
anthropos,ANTHROPOS,ANTHROZOOS,Anthropocene
anxiety stress  coping an international journal,Benchmarking-An International Journal,ANTIQVORVM PHILOSOPHIA-An International journal,GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL
appetite,APPETITE,APPITA,Appeal
applied acoustics,APPLIED ACOUSTICS,APPLIED ECONOMICS,APPLIED OPTICS
applied cognitive psychology,APPLIED COGNITIVE PSYCHOLOGY,COGNITIVE PSYCHOLOGY,Journal of Cognitive Psychology
applied linguistics papers,Applied Linguistics Papers,Applied Linguistics Review,APPLIED LINGUISTICS
applied psycholinguistics,APPLIED PSYCHOLINGUISTICS,APPLIED LINGUISTICS,Psycholinguistics
applied psychology,Applied Radiology,Applied Ontology,APPLIED RHEOLOGY
applied psychology health and wellbeing,Applied Psychology-Health and Well Being,APPLIED PSYCHOLOGICAL MEASUREMENT,Psychology Health & Medicine
applied psychophysiology and biofeedback,APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,PLANT PHYSIOLOGY AND BIOCHEMISTRY
applied research in quality of life,Applied Research in Quality of Life,Applied Research & Agrotechnology,BASIC RESEARCH IN CARDIOLOGY
applied sciences,SN Applied Sciences,POLICY SCIENCES,LIFE SCIENCES
archive for the psychology of religion,Journal for the Study of Religion,Teaching Theology and Religion,International Journal for the Psychology of Religion
archives animal breeding,Archives Animal Breeding,ARCHIVES OF ANIMAL NUTRITION,Large Animal Review
archives of budo,Archives of Budo,ARCHIVES OF VIROLOGY,Archives of Acoustics
archives of clinical neuropsychology,ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,Archives of Clinical Psychiatry,JOURNAL OF CLINICAL NEUROPHYSIOLOGY
archives of gerontology and geriatrics,ARCHIVES OF GERONTOLOGY AND GERIATRICS,Journal of Gerontology and Geriatrics,ARCHIVES OF GYNECOLOGY AND OBSTETRICS
archives of gynecology and obstetrics,ARCHIVES OF GYNECOLOGY AND OBSTETRICS,ARCHIVES OF GERONTOLOGY AND GERIATRICS,ARCHIVES OF METALLURGY AND MATERIALS
archives of medical  science,Archives of Medical Science,ARCHIVES OF MEDICAL RESEARCH,Archives of Orofacial Science
archives of medical science,Archives of Medical Science,ARCHIVES OF MEDICAL RESEARCH,Archives of Orofacial Science
archives of physical medicine and rehabilitation,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,Turkish Journal of Physical Medicine and Rehabilitation,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION
archives of psychiatric nursing,ARCHIVES OF PSYCHIATRIC NURSING,Journal of Psychiatric Nursing,ARCHIVES OF MECHANICS
archives of psychiatry and psychotheraphy   doi app,Archives of Psychiatry and Psychotherapy,ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY
archives of psychiatry and psychotherapy,Archives of Psychiatry and Psychotherapy,CLINICAL PSYCHOLOGY & PSYCHOTHERAPY,Archives of Clinical Psychiatry
archives of public health,Archives of Public Health,Advances in Public Health,JOURNAL OF PUBLIC HEALTH
archives of sexual behavior,ARCHIVES OF SEXUAL BEHAVIOR,Analysis of Verbal Behavior,Archives of Rehabilitation
archives of disease in childhood fetal and neonatal edition,Archives of Disease in Childhood-Fetal and Neonatal Edition,Archives of Disease in Childhood-Education and Practice Edition,ARCHIVES OF DISEASE IN CHILDHOOD
archiwum kryminologii,Archiwum Kryminologii,Archiwum Emigracji,ARCHIVES OF VIROLOGY
argument biannual philosophical journal vol  nr  s ,ARGUMENT: Biannual Philosophical Journal,Kronos. Philosophical Journal,INTERNATIONAL PHILOSOPHICAL QUARTERLY
argumenta oeconomica,Argumenta Oeconomica,ACTA OECONOMICA,Fragmenta Agronomica
ars educandi,Ars Educandi,Artseduca,Nurse Educator
asia pacific journal of developmental differences,Asia Pacific Journal of Environmental Law,Asia-Pacific Journal of Regional Science,Asia Pacific Journal of Health Management
asian journal of social psychology,ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,JOURNAL OF SOCIAL PSYCHOLOGY,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY
assessment,ASSESSMENT,Semen,DISSENT
astrobiology,ASTROBIOLOGY,MICROBIOLOGY,PATHOBIOLOGY
autism  developmental language impairments,Applied Developmental Science,DEVELOPMENTAL NEUROSCIENCE,DEVELOPMENTAL DYNAMICS
avant,Avant,GIANT,Levant
azjapacyfik,ANALYSIS,Aspasia,Bioanalysis
bioprotocol,Bio-protocol,BIOTROPICA,BIOCONTROL
biuletyn polskiego towarzystwa kryminologicznego,Biuletyn Polskiego Towarzystwa Językoznawczego,Zeszyty Kaliskiego Towarzystwa Przyjaciół Nauk,ROCZNIKI NAUKOWE POLSKIEGO TOWARZYSTWA ZOOTECHNICZNEGO
bmc pregnancy and childbirth,BMC Pregnancy and Childbirth,BMC Ecology and Evolution,BMC Emergency Medicine
bmc psychology,BMC Psychiatry,BMC ECOLOGY,BMC BIOLOGY
bmc research notes,ROMANCE NOTES,3D Research,RESEARCH POLICY
bmc womens health,BMC Womens Health,Womens Health,BMC Oral Health
bmc geriatrics,BMC Geriatrics,BMC Pediatrics,Geriatrics
bmj,PM&R,Ból,EMU
bmj online,BMJ Open,Bottom Line,BIOFOULING
bmj open,BMJ Open,BJS Open,RMD Open
bmj open,BMJ Open,BJS Open,RMD Open
british journal of psychology,BRITISH JOURNAL OF PSYCHOLOGY,BRITISH JOURNAL OF SOCIOLOGY,BRITISH JOURNAL OF PSYCHIATRY
balt j manag,ELT Journal,ART JOURNAL,Art-Sanat
baltic journal  of health and physical activity   pp ,Baltic Journal of Health and Physical Activity,JOURNAL OF AGING AND PHYSICAL ACTIVITY,Mental Health and Physical Activity
baltic journal of management,Baltic Journal of Management,BRITISH JOURNAL OF MANAGEMENT,Irish Journal of Management
behavior research methods,Behavior Research Methods,Survey Research Methods,OPERATIONS RESEARCH LETTERS
behavioral neuroscience,BEHAVIORAL NEUROSCIENCE,Behavioral Sciences,VISUAL NEUROSCIENCE
behavioral science,Behavioral Sciences,BEHAVIORAL NEUROSCIENCE,BEHAVIORAL MEDICINE
behavioral sciences,Behavioral Sciences,Mechanical Sciences,Botanical Sciences
behavioral sleep medicine,Behavioral Sleep Medicine,BEHAVIORAL MEDICINE,SLEEP MEDICINE
behaviour  information technology,BEHAVIOUR & INFORMATION TECHNOLOGY,Ethics and Information Technology,JOURNAL OF INFORMATION TECHNOLOGY
behaviour research and therapy,BEHAVIOUR RESEARCH AND THERAPY,AIDS Research and Therapy,Biomedical Research and Therapy
behavioural brain research,BEHAVIOURAL BRAIN RESEARCH,EXPERIMENTAL BRAIN RESEARCH,Brazilian Oral Research
behavioural processes,BEHAVIOURAL PROCESSES,Behavioral Sciences,Ecological Processes
behavioural and cognitive psychotherapy,BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,Journal of Cognitive Psychotherapy,Journal of Cognitive Psychology
bezpieczeństwo i technika pożarnicza,Bezpieczeństwo. Teoria i Praktyka,Bezpieczeństwo Pracy. Nauka i Praktyka,"Gaz, Woda i Technika Sanitarna"
biblioteka współczesnej myśli pedagogicznej   t  s ,Problemy Współczesnej Kryminalistyki,Polska Myśl Pedagogiczna,Biografistyka Pedagogiczna
bilingualism,Journalism,Lingua Legis,Biolinguistics
bioalgorithms and medsystems,Bio-Algorithms and Med-Systems,Animal Cells and Systems,CYBERNETICS AND SYSTEMS
biomed research international,Biomed Research International,FOOD RESEARCH INTERNATIONAL,STEEL RESEARCH INTERNATIONAL
biogerontology,BIOGERONTOLOGY,GERONTOLOGY,GERODONTOLOGY
biografistyka pedagogiczna,Biografistyka Pedagogiczna,Konteksty Pedagogiczne.,Polska Myśl Pedagogiczna
biological psychology,BIOLOGICAL PSYCHOLOGY,ECOLOGICAL PSYCHOLOGY,BIOLOGICAL PSYCHIATRY
biological reviews of the cambridge philosophical society,MATHEMATICAL PROCEEDINGS OF THE CAMBRIDGE PHILOSOPHICAL SOCIETY,PROCEEDINGS OF THE AMERICAN PHILOSOPHICAL SOCIETY,TRANSACTIONS OF THE AMERICAN PHILOSOPHICAL SOCIETY
biomedical human kinetics,Biomedical Human Kinetics,Medical Humanities,Journal of Human Kinetics
biomedicines,Biomedicines,EBioMedicine,Biomedica
biosemiotics,Biosemiotics,BIOSTATISTICS,BioSocieties
body image,Body Image,WORD & IMAGE,Moving Image
bone marrow transplantation,BONE MARROW TRANSPLANTATION,Journal of Transplantation,PEDIATRIC TRANSPLANTATION
borderline personality disorder and emotion dysregulation,Borderline Personality Disorder and Emotion Dysregulation,BIODIVERSITY: RESEARCH AND CONSERVATION,International Journal of Emotional Education
brain,BRAIN,PAIN,STRAIN
brain imaging and behavior,Brain Imaging and Behavior,Brain and Behavior,GENES BRAIN AND BEHAVIOR
brain injury,BRAIN INJURY,ASN Neuro,Gran Tour
brain stimulation,Brain Stimulation,Brain Circulation,Building Simulation
brain structure and function,Brain Structure & Function,CELL STRUCTURE AND FUNCTION,TREES-STRUCTURE AND FUNCTION
brain and cognition,BRAIN AND COGNITION,Language and Cognition,SOCIAL COGNITION
brain and language,BRAIN AND LANGUAGE,Gender and Language,MIND & LANGUAGE
brain behavior and immunity,BRAIN BEHAVIOR AND IMMUNITY,BRAIN BEHAVIOR AND EVOLUTION,INFECTION AND IMMUNITY
braincomputer interfaces,Brain-Computer Interfaces,COMPOSITE INTERFACES,HUMAN-COMPUTER INTERACTION
breast cancer,Breast Cancer,Breast Care,npj Breast Cancer
british food journal,British Food Journal,BRITISH DENTAL JOURNAL,Ukrainian Food Journal
british journal of clinical psychology,BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,BRITISH JOURNAL OF CLINICAL PHARMACOLOGY
british journal of guidance and counselling,BRITISH JOURNAL OF GUIDANCE & COUNSELLING,British Journal of Canadian Studies,British Journal of Music Education
british journal of health psychology,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,BRITISH JOURNAL OF PSYCHOLOGY
british journal of pharmacology,BRITISH JOURNAL OF PHARMACOLOGY,BRITISH JOURNAL OF HAEMATOLOGY,BRITISH JOURNAL OF DERMATOLOGY
british journal of psychology,BRITISH JOURNAL OF PSYCHOLOGY,BRITISH JOURNAL OF SOCIOLOGY,BRITISH JOURNAL OF PSYCHIATRY
british journal of religious education,British Journal of Religious Education,Journal of Religious Education,British Journal of Music Education
british journal of social psychology,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,BRITISH JOURNAL OF HEALTH PSYCHOLOGY
building barriers and bridges,BUILDING AND ENVIRONMENT,Fluids and Barriers of the CNS,BUILDING ACOUSTICS
bulletin of nizhnevartovsk state university,Bulletin of Russian State Medical University,BULLETIN OF THE ATOMIC SCIENTISTS,Bulletin of Mathematical Sciences
bundesgesundheitsblatt gesundheitsforschung gesundheitsschutz,Bundesgesundheitsblatt-Gesundheitsforschung-Gesundheitsschutz,Bewegungstherapie und Gesundheitssport,Pravention und Gesundheitsforderung
business and management studies,Chinese Management Studies,Tourism & Management Studies,JOURNAL OF MANAGEMENT STUDIES
child psychiatry  human development,CHILD PSYCHIATRY & HUMAN DEVELOPMENT,CHILD CARE HEALTH AND DEVELOPMENT,ATTACHMENT & HUMAN DEVELOPMENT
cadernos de tradução,Cadernos de Traducao,Cuadernos de Turismo,Cadernos de Historia
cahiers de recherche sociologique,Cahiers de l Annee Gerontologique,Cahiers de Narratologie,Cahiers de praxématique
canadian journal of career development,Canadian Journal of Career Development,Australian Journal of Career Development,JOURNAL OF CAREER DEVELOPMENT
cancers,Cancers,CANCER,Avances
cardiology journal,Cardiology Journal,Urology Journal,Virology Journal
central european economic journal,Central European Economic Journal,Central European Forestry Journal,Central European Management Journal
central european journal of nursing and midwifery,African Journal of Nursing and Midwifery,Central European Journal of Sport Sciences and Medicine,Central European Journal of Urology
chaos an interdisciplinary journal of nonlinear science,Shofar-An Interdisciplinary Journal of Jewish Studies,Transfers-Interdisciplinary Journal of Mobility Studies,INQUIRY-AN INTERDISCIPLINARY JOURNAL OF PHILOSOPHY
chemical senses,CHEMICAL SENSES,Chemical Science,CHEMICAL REVIEWS
chemosensory perception,Chemosensory Perception,MUSIC PERCEPTION,Art & Perception
chest,CHEST,TEST,QUEST
child abuse  neglect,CHILD ABUSE & NEGLECT,Child Abuse Review,CHILD DEVELOPMENT
child development,CHILD DEVELOPMENT,WORLD DEVELOPMENT,Cells & Development
child development perspectives,Child Development Perspectives,CHILD DEVELOPMENT,China Perspectives
child language teaching and therapy,Child Language Teaching & Therapy,Language Teaching Research,Journal of Language Teaching and Learning
child neuropsychology,CHILD NEUROPSYCHOLOGY,NEUROPSYCHOLOGY,COGNITIVE NEUROPSYCHOLOGY
child psychiatry and human development,CHILD PSYCHIATRY & HUMAN DEVELOPMENT,CHILD CARE HEALTH AND DEVELOPMENT,Research in Human Development
children,Chiron,Builder,CHIRURG
chirurgia po dyplomie  s,Chirurgia-Italy,CULTURAL DYNAMICS,Cirugia y Cirujanos
chowanna,Chowanna,TAIWANIA,Romania
chronobiology international  the journal of biological and medical rhythm research,Anatolia-International Journal of Tourism and Hospitality Research,International Journal of Applied and Basic Medical Research,INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH
citizenship teaching and learning,Journal of Teaching and Learning,Mathematical Thinking and Learning,Currents in Pharmacy Teaching and Learning
clinical child psychology and psychiatry,Clinical Child Psychology and Psychiatry,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,CLINICAL PSYCHOLOGY & PSYCHOTHERAPY
clinical interventions in aging,Clinical Interventions in Aging,Clinical Simulation in Nursing,CLINICAL INFECTIOUS DISEASES
clinical neurophysiology,CLINICAL NEUROPHYSIOLOGY,Clinical Neuroradiology,CLINICAL NEUROPATHOLOGY
clinical psychology  psychotherapy,CLINICAL PSYCHOLOGY & PSYCHOTHERAPY,CLINICAL PSYCHOLOGY REVIEW,Journal of Child Psychotherapy
clinical and experimental hepatology,Clinical and Experimental Hepatology,CLINICAL AND EXPERIMENTAL DERMATOLOGY,CLINICAL AND EXPERIMENTAL RHEUMATOLOGY
clinical and experimental obstetrics and gynecology,Clinical and Experimental Obstetrics & Gynecology,Clinical and Experimental Otorhinolaryngology,Clinical and Experimental Gastroenterology
clinical psychology review,CLINICAL PSYCHOLOGY REVIEW,SCHOOL PSYCHOLOGY REVIEW,Clinical Psychologist
coaching review,ACCOUNTING REVIEW,PACIFIC REVIEW,Tourism Review
cochrane database of systematic reviews,Cochrane Database of Systematic Reviews,The Prison Systems Review,Systematic Reviews
cogent psychology,Cogent Psychology,CURRENT PSYCHOLOGY,Cogent Biology
cognition,COGNITION,Criticon,CORROSION
cognitive computation,Cognitive Computation,COGNITIVE LINGUISTICS,NEURAL COMPUTATION
cognitive development,COGNITIVE DEVELOPMENT,Community Development,SOCIAL DEVELOPMENT
cognitive neuropsychiatry,Cognitive Neuropsychiatry,COGNITIVE NEUROPSYCHOLOGY,Clinical Neuropsychiatry
cognitive processing,Cognitive Processing,SIGNAL PROCESSING,IET Image Processing
cognitive and behavioral neurology,Cognitive and Behavioral Neurology,COGNITIVE AND BEHAVIORAL PRACTICE,COGNITIVE BEHAVIOUR THERAPY
collabra psychology,Social Psychology,CULTURE & PSYCHOLOGY,POLITICAL PSYCHOLOGY
committee for psychological science pas,Clinical Psychological Science,Evolutionary Psychological Science,Perspectives on Psychological Science
communications biology,Communications Biology,Communication Today,COMMUNICATION THEORY
community mental health journal,COMMUNITY MENTAL HEALTH JOURNAL,INFANT MENTAL HEALTH JOURNAL,COMMUNITY DENTAL HEALTH
complementary therapies in clinical practice,Complementary Therapies in Clinical Practice,COMPLEMENTARY THERAPIES IN MEDICINE,Hereditary Cancer in Clinical Practice
comprehensive psychiatry,COMPREHENSIVE PSYCHIATRY,Comprehensive Physiology,Australasian Psychiatry
comprehensive results in social psychology,Current Research in Social Psychology,European Review of Social Psychology,JOURNAL OF SOCIAL PSYCHOLOGY
computational intelligence and neuroscience,Computational Intelligence and Neuroscience,COMPUTATIONAL INTELLIGENCE,Computational Management Science
computer in human behaviors,COMPUTERS IN HUMAN BEHAVIOR,EVOLUTION AND HUMAN BEHAVIOR,LAW AND HUMAN BEHAVIOR
computers  education,COMPUTERS & EDUCATION,COMPUTERS & SECURITY,COMPUTERS & FLUIDS
computers  security,COMPUTERS & SECURITY,COMPUTERS & FLUIDS,COMPUTERS & EDUCATION
consciousness and cognition,CONSCIOUSNESS AND COGNITION,Language and Cognition,BRAIN AND COGNITION
contemporary educational psychology,CONTEMPORARY EDUCATIONAL PSYCHOLOGY,JOURNAL OF EDUCATIONAL PSYCHOLOGY,Educational Psychology
contemporary family therapy,CONTEMPORARY FAMILY THERAPY,JOURNAL OF FAMILY THERAPY,Contemporary Mathematics
coping with lack of control in a social world,JOURNAL OF GERONTOLOGICAL SOCIAL WORK,Journal of Teaching in Social Work,AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK
cornell hospitality quarterly,Cornell Hospitality Quarterly,Conflict Studies Quarterly,LEARNING DISABILITY QUARTERLY
cortex,CORTEX,CORNEA,Cerne
cortex a journal devoted to the study of the nervous system and behavior,CounterText-A Journal for the Study of the Post-Literary,Journal for the Study of the New Testament,International Journal for the Study of the Christian Church
counselling and psychotherapy research,Counselling & Psychotherapy Research,PSYCHOTHERAPY RESEARCH,Counselling Psychology Quarterly
couple and family psychology research and practice,Couple and Family Psychology-Research and Practice,PROFESSIONAL PSYCHOLOGY-RESEARCH AND PRACTICE,GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE
creativity,POSITIVITY,Subjectivity,ANTIQUITY
creativity research journal,CREATIVITY RESEARCH JOURNAL,Getty Research Journal,TEXTILE RESEARCH JOURNAL
crime  delinquency,CRIME & DELINQUENCY,Core Evidence,CRITICAL INQUIRY
critical artssouthnorth cultural and media studies,Critical Arts-South-North Cultural and Media Studies,Journal of Italian Cinema and Media Studies,AM Journal of Art and Media Studies
critical discourse studies,Critical Discourse Studies,Critical Historical Studies,Critical Policy Studies
crosscultural research,CROSS-CULTURAL RESEARCH,AGRICULTURAL RESEARCH,AQUACULTURE RESEARCH
culture  psychology,CULTURE & PSYCHOLOGY,CURRENT PSYCHOLOGY,Cultural Sociology
current directions in psychological science,CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,Perspectives on Psychological Science,Evolutionary Psychological Science
current opinion in behavioral sciences,Current Opinion in Behavioral Sciences,Current Opinion in Food Science,Current Opinion in Insect Science
current opinion in food science,Current Opinion in Food Science,Current Opinion in Insect Science,Current Nutrition & Food Science
current problems of psychiatry,CURRENT PROBLEMS IN SURGERY,CURRENT PROBLEMS IN CANCER,CURRENT OPINION IN PSYCHIATRY
current science,CURRENT SCIENCE,Current Nanoscience,Urban Science
current biology  cb,CURRENT BIOLOGY,Current Zoology,Current Oncology
current psychology new brunswick nj,CURRENT PSYCHOLOGY,Current Oncology Reports,Current Psychiatry Reports
cyberpsychology behavior and social networking,Cyberpsychology Behavior and Social Networking,Health Behavior and Policy Review,Travel Behaviour and Society
cyberpsychology journal of psychosocial research on cyberspace,Cyberpsychology-Journal of Psychosocial Research on Cyberspace,International Journal of Psychological Research,International Journal of Social Research Methodology
