name,orcid,link,title,date,journal,id
MAGDALENA TERESA KERESTEY,https://orcid.org/0000-0002-7395-7730,https://doi.org/10.3390/brainsci11111420,Assessment of Motor Planning and Inhibition Performance in Non-Clinical Sample—Reliability and Factor Structure of the Tower of London and Go/No Go Computerized Tasks,2021-10-27,Brain Sciences,MAGDALENA_TERESA_KERESTEY_1
MAGDALENA TERESA KERESTEY,https://orcid.org/0000-0002-7395-7730,https://doi.org/10.3390/jcm10143158,"Relationship of Corpus Callosum Integrity with Working Memory, Planning, and Speed of Processing in Patients with First-Episode and Chronic Schizophrenia",2021-07-17,Journal of Clinical Medicine,MAGDALENA_TERESA_KERESTEY_2
MAGDALENA TERESA KERESTEY,https://orcid.org/0000-0002-7395-7730,https://doi.org/10.3390/jcm10132782,"Executive Dysfunctions in Schizophrenia: A Critical Review of Traditional, Ecological, and Virtual Reality Assessments",2021-06-24,Journal of Clinical Medicine,MAGDALENA_TERESA_KERESTEY_3
MAGDALENA TERESA KERESTEY,https://orcid.org/0000-0002-7395-7730,https://doi.org/10.1016/j.pnpbp.2020.109955,The relationship between cingulum bundle integrity and different aspects of executive functions in chronic schizophrenia,2020-08,Progress in Neuro-Psychopharmacology and Biological Psychiatry,MAGDALENA_TERESA_KERESTEY_4
MAGDALENA TERESA KERESTEY,https://orcid.org/0000-0002-7395-7730,https://doi.org/10.18290/rpsych.2018.21.3-5,Validation of the Polish version of the Short Form of the Five Facet Mindfulness Questionnaire,2018,Roczniki Psychologiczne,MAGDALENA_TERESA_KERESTEY_5
KRYSTIAN MICHAŁ KONIECZNY,https://orcid.org/0000-0002-9779-0947,https://doi.org/10.12740/app/143999,Online psychotherapy during COVID-19 pandemic - experiences of psychotherapists. Research review.,2021-11-21,Archives of Psychiatry and Psychotherapy,KRYSTIAN_MICHAŁ_KONIECZNY_1
KRYSTIAN MICHAŁ KONIECZNY,https://orcid.org/0000-0002-9779-0947,https://doi.org/10.12740/pp/100373,Dimensions of Neurotic Personality and Its Selected Predictors in Individuals With Arterial Hypertension,2019-08-31,Psychiatria Polska,KRYSTIAN_MICHAŁ_KONIECZNY_2
ZDZISŁAW STANISŁAW KROPLEWSKI,https://orcid.org/0000-0003-4842-661X,https://doi.org/10.3390/rel12121049,Validation of the Polish Version of the Brief Measure of Perceived Divine Engagement and Disengagement in Response to Prayer (PDED),2021-11,Religions,ZDZISŁAW_STANISŁAW_KROPLEWSKI_1
MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.12740/pp/82028,Intermediary role of mood in the way music affects emotional reception of visual stimuli in adolescents,2019,Psychiatria Polska,MARIA_ANTONINA_LIGOCKA_1
MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.37096/shdisj-19-1.1-0003,HOPE AND TIME PERSPECTIVE,2019-12-15,Socialization & Human Development: International Scientific Journal,MARIA_ANTONINA_LIGOCKA_2
MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.1016/j.paid.2017.12.008,The association between COMT rs4680 and OPRM1 rs1799971 polymorphisms and temperamental traits in combat athletes,2018,Personality and Individual Differences,MARIA_ANTONINA_LIGOCKA_3
MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.21164/pomjlifesci.493,Wpływ muzyki popularnej na odbiór emocjonalny materiału obrazowego u młodzieży gimnazjalnej,2018-12-20,Pomeranian Journal of Life Sciences,MARIA_ANTONINA_LIGOCKA_4
MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.1016/j.physbeh.2017.08.018,Temperament as a modulating factor of pain sensitivity in combat sport athletes,2017,Physiology and Behavior,MARIA_ANTONINA_LIGOCKA_5
MARIA ANTONINA LIGOCKA,https://orcid.org/0000-0003-3955-0774,https://doi.org/10.29359/bjhpa.09.4.14,Sensitivity to pain and strategies of coping with stress in combat athletes,2017-12-31,Baltic journal of Health and Physical Activity,MARIA_ANTONINA_LIGOCKA_6
SYLWIA NATALIA MICHAŁOWSKA,https://orcid.org/0000-0003-4504-910X,https://doi.org/10.3390/jcm10112225,White Matter Integrity of the Corpus Callosum and Psychopathological Dimensions in Deficit and Non-Deficit Schizophrenia Patients,2021-05,Journal of Clinical Medicine,SYLWIA_NATALIA_MICHAŁOWSKA_1
SYLWIA NATALIA MICHAŁOWSKA,https://orcid.org/0000-0003-4504-910X,https://doi.org/10.12740/app/112143,How to support patients with BRCA genetic mutation? Research review.,2019-12-18,Archives of Psychiatry and Psychotherapy,SYLWIA_NATALIA_MICHAŁOWSKA_3
MARZENA PIŁAT,https://orcid.org/0000-0002-8410-5752,https://doi.org/10.12740/app/144883,Fear of death among voluntary migrants - qualitative pilot study,2021-12-30,Archives of Psychiatry and Psychotherapy,MARZENA_PIŁAT_1
WOJCIECH ROBERT RODZEŃ,https://orcid.org/0000-0002-6194-3286,https://doi.org/10.2147/prbm.s322788,Influence of Life Satisfaction on Self-Esteem Among Young Adults: The Mediating Role of Self-Presentation,2021-09,Psychology Research and Behavior Management,WOJCIECH_ROBERT_RODZEŃ_1
WOJCIECH ROBERT RODZEŃ,https://orcid.org/0000-0002-6194-3286,https://doi.org/10.3390/rel12040284,The Loss of Self-Dignity and Anger among Polish Young Adults: The Moderating Role of Religiosity,2021-04-20,Religions,WOJCIECH_ROBERT_RODZEŃ_2
WOJCIECH ROBERT RODZEŃ,https://orcid.org/0000-0002-6194-3286,https://doi.org/10.2147/prbm.s275902,<p>The Role of Self-Esteem in the Relationship Between Loneliness and Life Satisfaction in Late Adulthood: Evidence from Poland</p>,2020-12,Psychology Research and Behavior Management,WOJCIECH_ROBERT_RODZEŃ_3
WOJCIECH ROBERT RODZEŃ,https://orcid.org/0000-0002-6194-3286,https://doi.org/10.2147/prbm.s268643,<p>Big Five Personality Traits and Gratitude: The Role of Emotional Intelligence</p>,2020-11,Psychology Research and Behavior Management,WOJCIECH_ROBERT_RODZEŃ_4
WOJCIECH ROBERT RODZEŃ,https://orcid.org/0000-0002-6194-3286,https://doi.org/10.1007/s12144-020-00942-7,Positive downstream indirect reciprocity scale (PoDIRS–6): Construction and psychometric characteristics,2020-07-24,Current Psychology,WOJCIECH_ROBERT_RODZEŃ_5
DAWID SUBOCZ,https://orcid.org/0000-0003-1604-1547,https://doi.org/10.12740/app/143916,The role of attachment relationships in the pathogenesis of dissociative symptoms – literature review,2021-11-13,Archives of Psychiatry and Psychotherapy,DAWID_SUBOCZ_1
DARIA JOANNA SUCHECKA,https://orcid.org/0000-0001-7051-577X,https://doi.org/10.1177/0033294118811620,"What Regulates Gratitude Response of Women and Men? The Role of the Received Good, Psychosocial Factors, and Repayment",2020-04,Psychological Reports,DARIA_JOANNA_SUCHECKA_1
DARIA JOANNA SUCHECKA,https://orcid.org/0000-0001-7051-577X,https://doi.org/10.21164/pomjlifesci.382,Poczucie humoru oraz pozytywna orientacja na siebie i świat w kontekście osobowościowych różnic indywidualnych,2018-03-30,Pomeranian Journal of Life Sciences,DARIA_JOANNA_SUCHECKA_2
DARIA JOANNA SUCHECKA,https://orcid.org/0000-0001-7051-577X,https://doi.org/10.13075/mp.5893.00245,Analysis of the phenomenon of over-the-counter drug abuse and not controlled herbs trade by polish adolescents: Part I,2017-03-28,Medycyna Pracy,DARIA_JOANNA_SUCHECKA_3
ROMAN RYSZARD SZAŁACHOWSKI,https://orcid.org/0000-0002-4864-8717,https://doi.org/10.3390/rel12100824,"<i>“Yes, in Crisis We Pray</i>”. The Role of Prayer in Coping with Pandemic Fears",2021-10,Religions,ROMAN_RYSZARD_SZAŁACHOWSKI_1
ROMAN RYSZARD SZAŁACHOWSKI,https://orcid.org/0000-0002-4864-8717,https://doi.org/10.3390/rel12040267,“Dies Irae?” The Role of Religiosity in Dealing with Psychological Problems Caused by The COVID-19 Pandemic—Studies on a Polish Sample,2021-04-12,Religions,ROMAN_RYSZARD_SZAŁACHOWSKI_2
ROMAN RYSZARD SZAŁACHOWSKI,https://orcid.org/0000-0002-4864-8717,https://doi.org/10.32346/2657-6007.kp.2020-1.5,Emocje pozytywne i negatywne wychowanków placówek resocjalizacyjnych oraz uczniów szkół publicznych – analiza porównawcza,2020-05-25,Kwartalnik Pedagogiczny,ROMAN_RYSZARD_SZAŁACHOWSKI_3
MAŁGORZATA SZCZEŚNIAK,https://orcid.org/0000-0002-6637-2304,https://doi.org/10.3390/ijerph19010230,Impact of Shyness on Self-Esteem: The Mediating Effect of Self-Presentation,2021-12-26,International Journal of Environmental Research and Public Health,MAŁGORZATA_SZCZEŚNIAK_1
MAŁGORZATA SZCZEŚNIAK,https://orcid.org/0000-0002-6637-2304,https://doi.org/10.3390/rel12121049,Validation of the Polish Version of the Brief Measure of Perceived Divine Engagement and Disengagement in Response to Prayer (PDED),2021-11,Religions,MAŁGORZATA_SZCZEŚNIAK_2
MAŁGORZATA SZCZEŚNIAK,https://orcid.org/0000-0002-6637-2304,https://doi.org/10.3390/rel12100846,God’s Perceived Engagement/Disengagement in Response to Prayer and Interpersonal Forgiveness: The Mediating Role of Positive Orientation,2021-10-09,Religions,MAŁGORZATA_SZCZEŚNIAK_3
MAŁGORZATA SZCZEŚNIAK,https://orcid.org/0000-0002-6637-2304,https://doi.org/10.2147/prbm.s322788,Influence of Life Satisfaction on Self-Esteem Among Young Adults: The Mediating Role of Self-Presentation,2021-09,Psychology Research and Behavior Management,MAŁGORZATA_SZCZEŚNIAK_4
MAŁGORZATA SZCZEŚNIAK,https://orcid.org/0000-0002-6637-2304,https://doi.org/10.2147/prbm.s319379,Trait Anxiety and Social Media Fatigue: Fear of Missing Out as a Mediator,2021-09,Psychology Research and Behavior Management,MAŁGORZATA_SZCZEŚNIAK_5
MAŁGORZATA SZCZEŚNIAK,https://orcid.org/0000-0002-6637-2304,https://doi.org/10.2147/prbm.s312897,A Preliminary Validation of the Polish Version of the Social Media Fatigue Scale,2021-06,Psychology Research and Behavior Management,MAŁGORZATA_SZCZEŚNIAK_6
MAŁGORZATA SZCZEŚNIAK,https://orcid.org/0000-0002-6637-2304,https://doi.org/10.3390/rel12040284,The Loss of Self-Dignity and Anger among Polish Young Adults: The Moderating Role of Religiosity,2021-04-20,Religions,MAŁGORZATA_SZCZEŚNIAK_7
MAŁGORZATA SZCZEŚNIAK,https://orcid.org/0000-0002-6637-2304,https://doi.org/10.2147/prbm.s275902,<p>The Role of Self-Esteem in the Relationship Between Loneliness and Life Satisfaction in Late Adulthood: Evidence from Poland</p>,2020-12,Psychology Research and Behavior Management,MAŁGORZATA_SZCZEŚNIAK_8
MAŁGORZATA SZCZEŚNIAK,https://orcid.org/0000-0002-6637-2304,https://doi.org/10.1007/s10943-020-01082-9,Religious Struggle and Life Satisfaction Among Adult Christians: Self-esteem as a Mediator,2020-12-10,Journal of Religion and Health,MAŁGORZATA_SZCZEŚNIAK_9
MAŁGORZATA SZCZEŚNIAK,https://orcid.org/0000-0002-6637-2304,https://doi.org/10.2147/prbm.s268643,<p>Big Five Personality Traits and Gratitude: The Role of Emotional Intelligence</p>,2020-11,Psychology Research and Behavior Management,MAŁGORZATA_SZCZEŚNIAK_10
MAŁGORZATA SZCZEŚNIAK,https://orcid.org/0000-0002-6637-2304,https://doi.org/10.3390/rel11040195,The Mediating Effect of Coping Strategies on Religious/Spiritual Struggles and Life Satisfaction,2020-04-16,Religions,MAŁGORZATA_SZCZEŚNIAK_11
MAŁGORZATA SZCZEŚNIAK,https://orcid.org/0000-0002-6637-2304,https://doi.org/10.2147/prbm.s240898,<p>Family Functioning and Life Satisfaction: The Mediatory Role of Emotional Intelligence</p>,2020-03,Psychology Research and Behavior Management,MAŁGORZATA_SZCZEŚNIAK_12
MAŁGORZATA SZCZEŚNIAK,https://orcid.org/0000-0002-6637-2304,https://doi.org/10.3390/ijerph17010219,Temperament and Sense of Coherence: Emotional Intelligence as a Mediator,2019-12-27,International Journal of Environmental Research and Public Health,MAŁGORZATA_SZCZEŚNIAK_13
MAŁGORZATA SZCZEŚNIAK,https://orcid.org/0000-0002-6637-2304,https://doi.org/10.3390/rel10070437,Big Five Personality Traits and Life Satisfaction: The Mediating Role of Religiosity,2019-07-17,Religions,MAŁGORZATA_SZCZEŚNIAK_14
MAŁGORZATA SZCZEŚNIAK,https://orcid.org/0000-0002-6637-2304,https://doi.org/10.3390/rel10060395,Religious/Spiritual Struggles and Life Satisfaction among Young Roman Catholics: The Mediating Role of Gratitude,2019-06,Religions,MAŁGORZATA_SZCZEŚNIAK_15
KAMILA IRENA SZPUNAR,https://orcid.org/0000-0003-1817-9902,https://doi.org/10.14746/cis.2020.50.8,Język agresji u dzieci z rodzin dysfunkcyjnych,2020-12-15,Człowiek i Społeczeństwo,KAMILA_IRENA_SZPUNAR_1
KAMILA IRENA SZPUNAR,https://orcid.org/0000-0003-1817-9902,https://doi.org/10.14746/cis.2020.50.7,Przemoc i agresja u dzieci i młodzieży. O języku agresji,2020-12-15,Człowiek i Społeczeństwo,KAMILA_IRENA_SZPUNAR_2
AGATA HIACYNTA ŚWIĄTEK,https://orcid.org/0000-0003-4255-6704,https://doi.org/10.3390/ijerph19010230,Impact of Shyness on Self-Esteem: The Mediating Effect of Self-Presentation,2021-12-26,International Journal od Environmental Research and Public Health,AGATA_HIACYNTA_ŚWIĄTEK_1
AGATA HIACYNTA ŚWIĄTEK,https://orcid.org/0000-0003-4255-6704,https://doi.org/10.3390/rel12121049,Validation of the Polish Version of the Brief Measure of Perceived Divine Engagement and Disengagement in Response to Prayer (PDED),2021-11-25,Religions,AGATA_HIACYNTA_ŚWIĄTEK_2
AGATA HIACYNTA ŚWIĄTEK,https://orcid.org/0000-0003-4255-6704,https://doi.org/10.2147/prbm.s319379,Trait Anxiety and Social Media Fatigue: Fear of  Missing Out as a Mediator,2021-09-28,Psychology Research and Behavior Management,AGATA_HIACYNTA_ŚWIĄTEK_3
AGATA HIACYNTA ŚWIĄTEK,https://orcid.org/0000-0003-4255-6704,https://doi.org/10.2147/prbm.s312897,A Preliminary Validation of the Polish Version of the Social Media Fatigue Scale,2021-06-09,Psychology Research and Behavior Management,AGATA_HIACYNTA_ŚWIĄTEK_4
AGATA HIACYNTA ŚWIĄTEK,https://orcid.org/0000-0003-4255-6704,https://doi.org/10.3389/fpsyg.2020.525560,Disease Acceptance and Eudemonic Well-Being Among Adults With Physical Disabilities: The Mediator Effect of Meaning in Life,2020-10-22,Frontiers in Psychology,AGATA_HIACYNTA_ŚWIĄTEK_6
AGATA HIACYNTA ŚWIĄTEK,https://orcid.org/0000-0003-4255-6704,https://doi.org/10.1007/s12144-020-00942-7,Positive downstream indirect reciprocity scale (PoDIRS–6): Construction and psychometric characteristics,2020-07-24,Current Psychology,AGATA_HIACYNTA_ŚWIĄTEK_7
AGATA HIACYNTA ŚWIĄTEK,https://orcid.org/0000-0003-4255-6704,https://doi.org/10.5604/01.3001.0012.4758,Wise functioning and coping strategies in adolescents: Age as an intervening variable,2018-06-30,Educational Psychology,AGATA_HIACYNTA_ŚWIĄTEK_8
