name,orcid,link,title,date,journal,id
Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,https://doi.org/10.1007/s10936-019-09654-x,Children’s Comprehension of Irony: Studies on Polish-Speaking Preschoolers,2019,Journal of Psycholinguistic Research,Barbara_Janina_Bokus_1
Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,https://doi.org/10.5604/01.3001.0013.2960,Jak dzieci w wieku przedszkolnym uzasadniają użycie języka figuratywnego.  Dane z  badań z zastosowaniem Zadania Rozumienia Ironii (ZRI)  ,2019,Psychologia Wychowawcza,Barbara_Janina_Bokus_2
Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,https://doi.org/10.1515/plc-2017-0018,Editorial remarks: beyond literal meaning. Metaphors,2017,Psychology of Language and Communication,Barbara_Janina_Bokus_4
Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,https://doi.org/10.1515/plc-2017-0005,The Dialogical Self's Round Table: Who sits at it and where?,2017,Psychology of Language and Communication,Barbara_Janina_Bokus_5
Barbara Janina Bokus,https://orcid.org/0000-0002-3048-0055,https://doi.org/10.3389/fpsyg.2017.02215,"When sugar-coated words taste dry: The relationship between gender, anxiety, and response to irony",2017,Frontiers in Psychology,Barbara_Janina_Bokus_6
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.3390/su131911119,“These Are the Very Small Things That Lead Us to That Goal”: Youth Climate Strike Organizers Talk about Activism Empowering and Taxing Experiences,2021-10-08,Sustainability,Magdalena_Daria_Budziszewska_1
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.1177/0022167821993243,From Climate Anxiety to Climate Action: An Existential Perspective on Climate Change Concerns Within Psychotherapy,2021-02-10,Journal of Humanistic Psychology,Magdalena_Daria_Budziszewska_2
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.1007/s10508-020-01800-0,"An Experiencer, An Animal or An Object? Erection Salience Decreases Men’s Perceived Agency",2020,Archives of Sexual Behavior,Magdalena_Daria_Budziszewska_3
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.3389/fpsyg.2020.570928,Love and Romantic Relationships in the Voices of Patients Who Experience Psychosis: An Interpretive Phenomenological Analysis,2020,Frontiers in Psychology,Magdalena_Daria_Budziszewska_4
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.1177/0743558419845870,“Anger Detracts From Beauty”: Gender Differences in Adolescents’ Narratives About Anger,2020-09-29,Journal of Adolescent Research,Magdalena_Daria_Budziszewska_5
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.1177/0143034319867745,Differentiated content of verbal aggression: Effect of gender on insults in secondary schools in Poland,2019,SCHOOL PSYCHOLOGY INTERNATIONAL,Magdalena_Daria_Budziszewska_6
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.5114/fn.2018.76612,The Erlangen Score Algorithm in the diagnosis and prediction of the progression from subjective cognitive decline and mild cognitive impairment to Alzheimer-type dementia,2018,Folia Neuropathologica,Magdalena_Daria_Budziszewska_7
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.2478/plc-2018-0013,Why shouldn’t she spit on his grave? Critical discourse analysis of the revenge narratives in american popular film from the developmental point of view,2018-08,Psychology of Language and Communication,Magdalena_Daria_Budziszewska_8
Magdalena Daria Budziszewska,https://orcid.org/0000-0002-1837-2086,https://doi.org/10.21909/sp.2017.04.744,Be careful what you wish for! Desired and actual behaviour inconsistency in frustrating and provoking situations as predictors of depression,2017,Studia Psychologica,Magdalena_Daria_Budziszewska_9
Izabela Maria Chojnicka,https://orcid.org/0000-0001-8723-6873,https://doi.org/10.1007/s12559-021-09834-9,Single and Cross-Disorder Detection for Autism and Schizophrenia,2021,Cognitive Computation,Izabela_Maria_Chojnicka_1
Izabela Maria Chojnicka,https://orcid.org/0000-0001-8723-6873,https://doi.org/10.1371/journal.pone.0229985,Social language in autism spectrum disorder: A computational analysis of sentiment and linguistic abstraction.,2020-03,PloS one,Izabela_Maria_Chojnicka_2
Izabela Maria Chojnicka,https://orcid.org/0000-0001-8723-6873,https://doi.org/10.1097/md.0000000000017689,Adaptation and psychometric properties of the Polish version of the Short Sensory Profile 2.,2019-11,Medicine,Izabela_Maria_Chojnicka_3
Izabela Maria Chojnicka,https://orcid.org/0000-0001-8723-6873,https://doi.org/10.1007/s10578-018-00865-2,"Cross-Cultural Validation of the Polish Version of the ADI-R, Including New Algorithms for Toddlers and Young Preschoolers.",2019-08,Child psychiatry and human development,Izabela_Maria_Chojnicka_4
Izabela Maria Chojnicka,https://orcid.org/0000-0001-8723-6873,https://doi.org/10.3389/fpsyg.2017.01916,"Adaptation and Validation of the ADOS-2, Polish Version.",2017,Frontiers in psychology,Izabela_Maria_Chojnicka_5
Anna Cierpka,https://orcid.org/0000-0003-2846-3413,https://doi.org/10.4467/20843879pr.21.012.15135,Pandemia COVID-19 w doświadczeniu osób w okresie późnej dorosłości,2021-09,Psychologia Rozwojowa,Anna_Cierpka_1
Anna Cierpka,https://orcid.org/0000-0003-2846-3413,https://doi.org/10.4467/20843879pr.21.015.15138,"Sprawozdanie z XXIX Ogólnopolskiej Konferencji Psychologii Rozwojowej, Uniwersytet Warszawski, 20–22 maja 2021",2021-09,Psychologia Rozwojowa,Anna_Cierpka_2
Anna Cierpka,https://orcid.org/0000-0003-2846-3413,https://doi.org/10.1075/ni.180049.tok,Letter to a grandchild as narrative tool of older adults biographical experience exploration,2019,NARRATIVE INQUIRY,Anna_Cierpka_3
Joanna Matylda Czarnota-Bojarska,https://orcid.org/0000-0001-7432-4612,https://doi.org/10.5964/spb.v13i2.27578,Strategies for Maintaining Work–Life Balance and Their Consequences for Quality of Life and Job Satisfaction,2018,Social Psychological Bulletin,Joanna_Matylda_Czarnota-Bojarska_1
Małgorzata Janina Dragan,https://orcid.org/0000-0001-8221-2012,https://doi.org/10.1016/j.addbeh.2020.106653,Psychometric properties of the Polish version of the desire thinking questionnaire in a sample of Internet game players,2021-01,Addictive Behaviors,Małgorzata_Janina_Dragan_1
Małgorzata Janina Dragan,https://orcid.org/0000-0001-8221-2012,https://doi.org/10.1080/20008198.2020.1860356,"Adjustment disorder, traumatic stress, depression and anxiety in Poland during an early phase of the COVID-19 pandemic",2021-01-01,European Journal of Psychotraumatology,Małgorzata_Janina_Dragan_2
Małgorzata Janina Dragan,https://orcid.org/0000-0001-8221-2012,https://doi.org/10.1080/20008198.2021.1964197,"Risk and protective factors, stressors, and symptoms of adjustment disorder during the COVID-19 pandemic – First results of the ESTSS COVID-19 pan-European ADJUST study",2021-01-01,European Journal of Psychotraumatology,Małgorzata_Janina_Dragan_3
Małgorzata Janina Dragan,https://orcid.org/0000-0001-8221-2012,https://doi.org/10.1080/20008198.2020.1780832,"Stressors, coping and symptoms of adjustment disorder in the course of the COVID-19 pandemic – study protocol of the European Society for Traumatic Stress Studies (ESTSS) pan-European study",2020-12-31,European Journal of Psychotraumatology,Małgorzata_Janina_Dragan_4
Małgorzata Janina Dragan,https://orcid.org/0000-0001-8221-2012,https://doi.org/10.1016/j.brat.2020.103693,"Effects of attention training technique on brain function in high- and low-cognitive-attentional syndrome individuals: Regional dynamics before, during, and after a single session of ATT",2020-09,Behaviour Research and Therapy,Małgorzata_Janina_Dragan_5
Małgorzata Janina Dragan,https://orcid.org/0000-0001-8221-2012,https://doi.org/10.1016/j.abrep.2020.100269,"Adverse childhood experiences, dissociation, and anxious attachment style as risk factors of gaming disorder",2020-06,Addictive Behaviors Reports,Małgorzata_Janina_Dragan_6
Małgorzata Janina Dragan,https://orcid.org/0000-0001-8221-2012,https://doi.org/10.1016/j.comppsych.2019.02.007,Cognitive-attentional syndrome – The psychometric properties of the CAS-1 and multi-measure CAS-based clinical diagnosis,2019,Comprehensive Psychiatry,Małgorzata_Janina_Dragan_7
Małgorzata Janina Dragan,https://orcid.org/0000-0001-8221-2012,https://doi.org/10.3389/fpsyg.2019.00648,Neural correlates of cognitive-attentional syndrome: An fMRI study on repetitive negative thinking induction and resting state functional connectivity,2019,Frontiers in Psychology,Małgorzata_Janina_Dragan_9
Małgorzata Janina Dragan,https://orcid.org/0000-0001-8221-2012,https://doi.org/10.1016/j.ejtd.2019.05.005,Childhood adversities and psychopathology in participants with high and low severity of cognitive-attentional syndrome symptoms,2019-05,European Journal of Trauma & Dissociation,Małgorzata_Janina_Dragan_10
Małgorzata Janina Dragan,https://orcid.org/0000-0001-8221-2012,https://doi.org/10.1016/j.ejtd.2018.12.001,"Adverse experiences, emotional regulation difficulties and psychopathology in a sample of young women: Model of associations and results of cluster and discriminant function analysis",2018-12,European Journal of Trauma & Dissociation,Małgorzata_Janina_Dragan_12
Małgorzata Janina Dragan,https://orcid.org/0000-0001-8221-2012,https://doi.org/10.2147/ndt.s169514,Positive metacognitions about alcohol mediate the relationship between <em>FKBP5</em> variability and problematic drinking in a sample of young women,2018-10,Neuropsychiatric Disease and Treatment,Małgorzata_Janina_Dragan_13
Małgorzata Janina Dragan,https://orcid.org/0000-0001-8221-2012,https://doi.org/10.1080/20008198.2018.1556553,Trauma and trauma care in Europe,2018-01,European Journal of Psychotraumatology,Małgorzata_Janina_Dragan_14
Małgorzata Janina Dragan,https://orcid.org/0000-0001-8221-2012,https://doi.org/10.2147/ndt.s137331,PAC1 receptor (ADCYAP1R1) genotype and problematic alcohol use in a sample of young women,2017,Neuropsychiatric Disease and Treatment,Małgorzata_Janina_Dragan_16
Agnieszka Dynak,https://orcid.org/0000-0001-9064-2215,https://doi.org/10.1037/abn0000668,Separating the influences of late talking and dyslexia on brain structure.,2021-04,Journal of Abnormal Psychology,Agnieszka_Dynak_1
Agnieszka Dynak,https://orcid.org/0000-0001-9064-2215,https://doi.org/10.1007/s00429-021-02255-2,Neural patterns of word processing differ in children with dyslexia and isolated spelling deficit,2021-03,Brain Structure and Function,Agnieszka_Dynak_2
Agnieszka Dynak,https://orcid.org/0000-0001-9064-2215,https://doi.org/10.1016/j.dcn.2019.100683,Reading and spelling skills are differentially related to phonological processing: Behavioral and fMRI study,2019-10,Developmental Cognitive Neuroscience,Agnieszka_Dynak_3
Agnieszka Dynak,https://orcid.org/0000-0001-9064-2215,https://doi.org/10.1038/s41598-019-41473-x,Dyslexia and age related effects in the neurometabolites concentration in the visual and temporo-parietal cortex,2019-03,Scientific Reports,Agnieszka_Dynak_4
Agnieszka Dynak,https://orcid.org/0000-0001-9064-2215,https://doi.org/10.1038/s41598-017-18878-7,Neither action nor phonological video games make dyslexic children read better,2018-01-11,Scientific Reports,Agnieszka_Dynak_5
Agnieszka Dynak,https://orcid.org/0000-0001-9064-2215,https://doi.org/10.3389/fpsyg.2017.01444,How Does L1 and L2 Exposure Impact L1 Performance in Bilingual Children? Evidence from Polish-English Migrants to the United Kingdom,2017-09-04,Frontiers in Psychology,Agnieszka_Dynak_6
Agnieszka Dynak,https://orcid.org/0000-0001-9064-2215,https://doi.org/10.3389/fpsyg.2017.01358,Home Language Will Not Take Care of Itself: Vocabulary Knowledge in Trilingual Children in the United Kingdom,2017-08-10,Frontiers in Psychology,Agnieszka_Dynak_7
Małgorzata Joanna Gambin,https://orcid.org/0000-0001-7880-1447,https://doi.org/10.1017/s0033291721005420,Pandemic trajectories of depressive and anxiety symptoms and their predictors: five-wave study during the COVID-19 pandemic in Poland,2021-12-20,Psychological Medicine,Małgorzata_Joanna_Gambin_1
Małgorzata Joanna Gambin,https://orcid.org/0000-0001-7880-1447,https://doi.org/10.1080/17405629.2018.1511419,Executive functions and attachment to mother and father in inpatient female and male adolescents,2020,European Journal of Developmental Psychology,Małgorzata_Joanna_Gambin_2
Małgorzata Joanna Gambin,https://orcid.org/0000-0001-7880-1447,https://doi.org/10.1016/j.jad.2020.07.056,"The relations between childhood maltreatment, shame, guilt, depression and suicidal ideation in inpatient adolescents",2020,JOURNAL OF AFFECTIVE DISORDERS,Małgorzata_Joanna_Gambin_3
Małgorzata Joanna Gambin,https://orcid.org/0000-0001-7880-1447,https://doi.org/10.1016/j.adolescence.2019.08.002,Childhood maltreatment and identity diffusion among inpatient adolescents: The role of reflective function,2019,JOURNAL OF ADOLESCENCE,Małgorzata_Joanna_Gambin_4
Małgorzata Joanna Gambin,https://orcid.org/0000-0001-7880-1447,https://doi.org/10.1080/10615806.2018.1475865,Relations between empathy and anxiety dimensions in inpatient adolescents,2018,ANXIETY STRESS AND COPING,Małgorzata_Joanna_Gambin_6
Małgorzata Joanna Gambin,https://orcid.org/0000-0001-7880-1447,https://doi.org/10.1016/j.jad.2018.08.068,"The relations between empathy, guilt, shame and depression in inpatient adolescents",2018,JOURNAL OF AFFECTIVE DISORDERS,Małgorzata_Joanna_Gambin_7
Paulina Górska,https://orcid.org/0000-0002-0398-6544,https://doi.org/10.3390/nu13103570,"Changes in Life Situations during the SARS-CoV-2 Virus Pandemic and Their Impact on Eating Behaviors for Residents of Europe, Australia as Well as North and South America",2021-10,Nutrients,Paulina_Górska_1
Paulina Górska,https://orcid.org/0000-0002-0398-6544,https://doi.org/10.3390/foods10071624,Changes in Eating Behaviour during SARS-CoV-2 Pandemic among the Inhabitants of Five European Countries,2021-07,Foods,Paulina_Górska_2
Maciej Władysław Haman,https://orcid.org/0000-0002-3621-1630,https://doi.org/10.1093/deafed/enab015,False Belief Understanding in Deaf Children with Cochlear Implants,2021,Journal of Deaf Studies and Deaf Education,Maciej_Władysław_Haman_1
Maciej Władysław Haman,https://orcid.org/0000-0002-3621-1630,https://doi.org/10.3389/fpsyg.2021.653423,"Perceived Motion and Operational Momentum: How Speed, Distance, and Time Influence Two-Digit Arithmetic",2021,Frontiers in Psychology,Maciej_Władysław_Haman_2
Maciej Władysław Haman,https://orcid.org/0000-0002-3621-1630,https://doi.org/10.1111/desc.13007,Moving attention along the mental number line in preschool age: Study of the operational momentum in 3‐ to 5‐year‐old children's non‐symbolic arithmetic,2021-01,Developmental Science,Maciej_Władysław_Haman_3
Maciej Władysław Haman,https://orcid.org/0000-0002-3621-1630,https://doi.org/10.3389/fnhum.2020.00119,Processing False Beliefs in Preschool Children and Adults: Developing a Set of Custom Tasks to Test the Theory of Mind in Neuroimaging and Behavioral Research,2020-04,Frontiers in Human Neuroscience,Maciej_Władysław_Haman_4
Maciej Władysław Haman,https://orcid.org/0000-0002-3621-1630,https://doi.org/10.1016/j.dcn.2020.100763,Working together to orient faster: The combined effects of alerting and orienting networks on pupillary responses at 8 months of age,2020-04,Developmental Cognitive Neuroscience,Maciej_Władysław_Haman_5
Maciej Władysław Haman,https://orcid.org/0000-0002-3621-1630,https://doi.org/10.3389/fpsyg.2020.00596,The Development of Understanding Opacity in Preschoolers: A Transition From a Coarse- to Fine-Grained Understanding of Beliefs,2020-04-07,Frontiers in Psychology,Maciej_Władysław_Haman_6
Maciej Władysław Haman,https://orcid.org/0000-0002-3621-1630,https://doi.org/10.3389/fpsyg.2020.00182,"Editorial: On the Development of Space-Number Relations: Linguistic and Cognitive Determinants, Influences, and Associations",2020-02,Frontiers in Psychology,Maciej_Władysław_Haman_7
Maciej Władysław Haman,https://orcid.org/0000-0002-3621-1630,https://doi.org/10.3389/fpsyg.2019.01860,Corrigendum: A Mental Odd-Even Continuum Account: Some Numbers May Be “More Odd” Than Others and Some Numbers May Be “More Even” Than Others,2019-08,Frontiers in Psychology,Maciej_Władysław_Haman_8
Maciej Władysław Haman,https://orcid.org/0000-0002-3621-1630,https://doi.org/10.2478/plc-2019-0006,Developing Theory of Mind Twenty-Five Years After the Publication of “Z Badań Nad Kompetencją Komunikacyjną Dziecka” (Edited by B. Bokus and M.Haman),2019-01-01,Psychology of Language and Communication,Maciej_Władysław_Haman_9
Maciej Władysław Haman,https://orcid.org/0000-0002-3621-1630,https://doi.org/10.3389/fpsyg.2018.01081,A Mental Odd-Even Continuum Account: Some Numbers May Be “More Odd” Than Others and Some Numbers May Be “More Even” Than Others,2018-06,Frontiers in Psychology,Maciej_Władysław_Haman_10
Maciej Władysław Haman,https://orcid.org/0000-0002-3621-1630,https://doi.org/10.1515/plc-2017-0016,"Playing Reading, Using Hands: Which Activities are Linked to Number-Space Processing in Preschool Children?",2017,Psychology of Language and Communication,Maciej_Władysław_Haman_11
Maciej Władysław Haman,https://orcid.org/0000-0002-3621-1630,https://doi.org/10.1080/0144929x.2017.1364422,Altered video task: a non-verbal measure of what-who-where recall in young children,2017-08,Behaviour & Information Technology,Maciej_Władysław_Haman_12
Ewa Maria Haman,https://orcid.org/0000-0003-1615-711X,https://doi.org/10.1007/s10639-021-10559-3,Remote learning among students with and without reading difficulties during the initial stages of the COVID-19 pandemic,2021-11-24,Education and Information Technologies,Ewa_Maria_Haman_1
Ewa Maria Haman,https://orcid.org/0000-0003-1615-711X,https://doi.org/10.1037/abn0000668,Separating the influences of late talking and dyslexia on brain structure.,2021-04,Journal of Abnormal Psychology,Ewa_Maria_Haman_2
Ewa Maria Haman,https://orcid.org/0000-0003-1615-711X,https://doi.org/10.1080/13670050.2018.1434124,Retelling a model story improves the narratives of Polish-English bilingual children,2020-10-20,International Journal of Bilingual Education and Bilingualism,Ewa_Maria_Haman_3
Ewa Maria Haman,https://orcid.org/0000-0003-1615-711X,https://doi.org/10.21248/zaspil.64.2020.571,Polish MAIN: how was it developed and how has it been used so far?,2020-08-31,ZAS Papers in Linguistics,Ewa_Maria_Haman_4
