file,pattern,snippet
10-1002_ejsp-2548.pdf,Union,"All rights reserved. “Strongly disagree” to 5 = “Strongly agree”)3. The higher the average score, the more right-wing the 
beliefs in the domains of culture or the economy. Both subscales were moderately positively 
correlated ( r = .33, p =.0 02). Next, participants indicated their attitudes toward 15 social groups selected on the basis of 
previous research on the ideological conflict hypothesis (Chambers et al., 2013) and studies relevant 
to the Polish political context (Bukowski & Winiewski, 2011). The groups taken into consideration in 
this study were as follows: pro-choice groups, feminists, homosexuals, proponents of civil 
partnerships, atheists, pro-life groups, traditionalists (supporters of traditional gender roles in the 
family), opponents of civil partnerships, Catholics, clergy, trade union members, the unemployed, 
the poor, businessmen, and the wealthy . Participants in Study 1 rated how likeable (“Do you like 
members of this group?”), as well as how value violating (“Do members of this group violate your 
important values?”) members of the 15 target gr oups are. Both liking and perceived value violation 
were rated on a 6- point scale (from 1 = “Definitely not” to 6 = “Definitely yes”). To prevent the effect 
of order on participants' ratings the target groups were presented at random. Participants first 
responded to the PBQ, they then rated their attitudes toward the 15 social groups in question. Subjects answered demographic questions in a separate survey."
10-1002_ejsp-2548.pdf,Union,"Our final dataset consisted of 215 Poles (51 
men, 164 women), between the ages of 18 and 70 ( M = 24.47, SD = 7.88). All the participants, but 
three people, reported that they completed at least high school education. Subjects participated in 
the study in exchange for inclusion in a raffle of four 50 PLN (13 USD) prizes. Materials . The design of the Study 2.2 mimics Study 2.1, except for the fact that instead of 
presenting opinions on religion classes, participants read one short vignette (circa 170 words) in 
which a target person (trade unions member vs. businessman) expressed their opinions on the 
welfare state (extreme vs. moderate). Vignettes presented opinions of: an extreme trade unions 
member, a moderate trade union members, an extreme businessman, or moderate businessman. While trade unions members represent a group perceived as being economically left-wing, 
businessmen represent a group perceived as being economically right-wing. In the first condition, we 
presented participants with the opinions of an extreme, active member of trade unions who strongly 
advocated for a welfare state and for economic equality. In the second  condition,  the trade union 
member's opinion was more moderate; he was skeptical toward welfare aid and unions. In third 
condition, we presented participants with a target businessman who expressed extreme right-wing, 
neoliberal opinions (namely, a preference for economic reform that “liberalize the economy, by 
eliminating price controls, deregulating capital markets, and lowering trade barriers” ; Boas & Gans-
Morse, 2009, p . 143), including very negative opinions regarding the welfare state. In the fourth Accepted Article
This article is protected by copyright."
10-1002_ejsp-2548.pdf,Union,"Materials . The design of the Study 2.2 mimics Study 2.1, except for the fact that instead of 
presenting opinions on religion classes, participants read one short vignette (circa 170 words) in 
which a target person (trade unions member vs. businessman) expressed their opinions on the 
welfare state (extreme vs. moderate). Vignettes presented opinions of: an extreme trade unions 
member, a moderate trade union members, an extreme businessman, or moderate businessman. While trade unions members represent a group perceived as being economically left-wing, 
businessmen represent a group perceived as being economically right-wing. In the first condition, we 
presented participants with the opinions of an extreme, active member of trade unions who strongly 
advocated for a welfare state and for economic equality. In the second  condition,  the trade union 
member's opinion was more moderate; he was skeptical toward welfare aid and unions. In third 
condition, we presented participants with a target businessman who expressed extreme right-wing, 
neoliberal opinions (namely, a preference for economic reform that “liberalize the economy, by 
eliminating price controls, deregulating capital markets, and lowering trade barriers” ; Boas & Gans-
Morse, 2009, p . 143), including very negative opinions regarding the welfare state. In the fourth Accepted Article
This article is protected by copyright. All rights reserved. condition, the businessman was more moderate in his opinions, with a more positive attitude 
toward welfare and welfare recipients. Thus, both the extreme trade union member and the 
extreme businessman were supposed to elicit the perception of value violation from left- and right-
wing participants respectively, in comparison to more moderate, non-extreme targets."
10-1002_ejsp-2548.pdf,Union,"In the second  condition,  the trade union 
member's opinion was more moderate; he was skeptical toward welfare aid and unions. In third 
condition, we presented participants with a target businessman who expressed extreme right-wing, 
neoliberal opinions (namely, a preference for economic reform that “liberalize the economy, by 
eliminating price controls, deregulating capital markets, and lowering trade barriers” ; Boas & Gans-
Morse, 2009, p . 143), including very negative opinions regarding the welfare state. In the fourth Accepted Article
This article is protected by copyright. All rights reserved. condition, the businessman was more moderate in his opinions, with a more positive attitude 
toward welfare and welfare recipients. Thus, both the extreme trade union member and the 
extreme businessman were supposed to elicit the perception of value violation from left- and right-
wing participants respectively, in comparison to more moderate, non-extreme targets. All vignettes 
are available in the Supplemental materials in section regarding Study 2.2. The extremity of targets' opinions was tested in a sample of competent judges as in Study 
2.1. The results support the use of these manipulations. The ratings for the extreme trade union 
member ( M = 3.73, SD = 0.91) were significantly higher than for the moderate one ( M = 1.45, SD = 
0.69), F(1, 10) = 46.64, p < .001, partial η2  = .82. For the businessmen, the ratings followed a similar 
pattern, with extremity ratings for the zealous businessmen ( M = 3.09, SD = 1.04) being higher than 
for more moderate one ( M = 2.18, SD = 0.60)."
10-1002_ejsp-2548.pdf,Union,"condition, the businessman was more moderate in his opinions, with a more positive attitude 
toward welfare and welfare recipients. Thus, both the extreme trade union member and the 
extreme businessman were supposed to elicit the perception of value violation from left- and right-
wing participants respectively, in comparison to more moderate, non-extreme targets. All vignettes 
are available in the Supplemental materials in section regarding Study 2.2. The extremity of targets' opinions was tested in a sample of competent judges as in Study 
2.1. The results support the use of these manipulations. The ratings for the extreme trade union 
member ( M = 3.73, SD = 0.91) were significantly higher than for the moderate one ( M = 1.45, SD = 
0.69), F(1, 10) = 46.64, p < .001, partial η2  = .82. For the businessmen, the ratings followed a similar 
pattern, with extremity ratings for the zealous businessmen ( M = 3.09, SD = 1.04) being higher than 
for more moderate one ( M = 2.18, SD = 0.60). This difference was marginally significant F(1, 10) = 
4.35, p = .064, partial η2  = .30. The effect sizes for both extremity comparisons, the trade unions 
members and the businessmen, seems to be large. Our dependent variable were attitude ratings on a feeling thermometer toward the targets. For this measure and for value violation we used the same questions as in Study 2.1."
10-1002_ejsp-2548.pdf,Union,"We tested the study hypotheses in a similar fashion as in Study 2.1. Likewise, we expected 
an interaction between the economic dimension of political beliefs, targ ets’ group membership  and 
their extremity. In particular, we expected relationship between economic beliefs and attitudes 
toward targets only for the extreme targets, positive for right-wing target and negative for left-wing 
target, but not for moderate targets. The results are presented in the Table 4. We found an expected 
3-way interaction between participants’ economic beliefs, targets’ group membership  and their 
extremity. Simple slope analysis demonstrated that for moderate targets, the relationship between 
economic beliefs and attitudes toward the trade union member was insignificant, b = 1.83, SE = 4.37 , 
p = .675, but for the businessman, unexpectedly, it was negative, b = -14.66, SE = 3.58 , p < .001. For 
the extreme targets, the relationship between economic beliefs and attitudes was negative for the 
trade union member, b = -15.08 SE = 3.22, p < .001, and positive for the businessman, b = 21.79, SE = 
4.93, p < .001. The interactions are presented in Figure 3 . Interestingly, the interaction between 
participants’ cultural beliefs, targets’ group membership , and their extremity was significant. We 
present simple slopes analysis for this interaction in the Supplemental materials (Figure S3). Additional analysis comparing interaction coefficients is present ed in the Supplemental materials as 
well."
10-1002_ejsp-2548.pdf,Union,"Likewise, we expected 
an interaction between the economic dimension of political beliefs, targ ets’ group membership  and 
their extremity. In particular, we expected relationship between economic beliefs and attitudes 
toward targets only for the extreme targets, positive for right-wing target and negative for left-wing 
target, but not for moderate targets. The results are presented in the Table 4. We found an expected 
3-way interaction between participants’ economic beliefs, targets’ group membership  and their 
extremity. Simple slope analysis demonstrated that for moderate targets, the relationship between 
economic beliefs and attitudes toward the trade union member was insignificant, b = 1.83, SE = 4.37 , 
p = .675, but for the businessman, unexpectedly, it was negative, b = -14.66, SE = 3.58 , p < .001. For 
the extreme targets, the relationship between economic beliefs and attitudes was negative for the 
trade union member, b = -15.08 SE = 3.22, p < .001, and positive for the businessman, b = 21.79, SE = 
4.93, p < .001. The interactions are presented in Figure 3 . Interestingly, the interaction between 
participants’ cultural beliefs, targets’ group membership , and their extremity was significant. We 
present simple slopes analysis for this interaction in the Supplemental materials (Figure S3). Additional analysis comparing interaction coefficients is present ed in the Supplemental materials as 
well. Value violation."
10-1002_ejsp-2548.pdf,Union,"Value violation. We tested an analogous model, with the same model specification as described for 
attitudes but with value violation as a dependent variable instead of attitudes. Similarly, w e 
expected an interaction between the economic dimension of political beliefs, targets’ group 
membership and their extremity. The results are presented in Table 4. We found an expected 3-way 
interaction between participants’ economic beliefs, targets’ group membership  and their extremity. In particular, we found that for moderate targets, there was no relationship between economic 
beliefs and attitudes toward the trade union member, b = -0.03, SE = 0. 26, p = .914, but, 
unexpectedly, positive for the businessman, b = 0.42, SE = 0.21, p = .046. In contrast, for the extreme 
targets, the relationship between economic beliefs and attitudes was positive for the trade union 
member , b = 0.72, SE = 0.19, p < .001, and negative for the businessman,  b = -0.87 , SE = 0.29, p < 
.001. Figure demonstrating this interaction is presented in Supplemental materials (Figure S4) . Additional analysis comparing the interaction coefficients is also presented in the Supplemental 
materials. Accepted Article
This article is protected by copyright."
10-1002_ejsp-2548.pdf,Union,"Similarly, w e 
expected an interaction between the economic dimension of political beliefs, targets’ group 
membership and their extremity. The results are presented in Table 4. We found an expected 3-way 
interaction between participants’ economic beliefs, targets’ group membership  and their extremity. In particular, we found that for moderate targets, there was no relationship between economic 
beliefs and attitudes toward the trade union member, b = -0.03, SE = 0. 26, p = .914, but, 
unexpectedly, positive for the businessman, b = 0.42, SE = 0.21, p = .046. In contrast, for the extreme 
targets, the relationship between economic beliefs and attitudes was positive for the trade union 
member , b = 0.72, SE = 0.19, p < .001, and negative for the businessman,  b = -0.87 , SE = 0.29, p < 
.001. Figure demonstrating this interaction is presented in Supplemental materials (Figure S4) . Additional analysis comparing the interaction coefficients is also presented in the Supplemental 
materials. Accepted Article
This article is protected by copyright. All rights reserved. Mediation through value violation."
10-1002_ejsp-2548.pdf,Union,"To test our hypothesis regar ding the mediating role of value 
violation between political beliefs we used the PROCESS macro for SPSS (Hayes, 2018). We tested 
the moderated mediation model where the influence of economic beliefs on attitudes toward the 
targets was mediated by the perce ption of value violation,  and this relationship was further 
moderated by the targets’ group membership (left - vs. right -wing) and the extremity of targets’ 
opinion (moderate vs. extreme). Gender, age, and cultural  beliefs were included as covariates. In li ne 
with our hypotheses, we found that the relationship between economic  beliefs and attitudes toward 
target group through value violation was moderated by targets’ group membership  and extremity, 
W = 10.89, SE = 5.00 , 95% CI [2. 72, 21.94 ]. The confidence i ntervals for the overall index of 
moderated mediation did not contained 0 which suggest that the indirect effect systematically 
varied as a function of our manipulation s. For the moderate trade union member , the indirect effect 
was insignificant , IE = 0.27 , SE = 1.6 1, 95% CI [ -2.59, 3.87], but for the moderate businessman , the 
indirect effect was  negative and marginally significant, IE = -2.44 , SE = 2.07 , 95% CI [ -7.24, 0.92]. For 
the extreme trade union member , the indirect effect was negative, IE = -4.24 , SE = 1.93 , 95% CI [ -
8.48, -1.02], and for the extreme  businessman , the indirect effect was positive, IE = 3.94 , SE = 2.07 , 
95% CI [0.6 3, 8.67]. The indirect effects were stronger for the extreme targets in comparison to 
moderate ones, both for trade union  member s, W = -4.51 , SE = 2.55  , 95% CI [- 10.28 , -0.47] , as well 
as for businessmen, W = 6.39, SE = 3.34  , 95% CI [1.14, 14.06]. Discussion  
 As Crawford and colleagues (2017), in Study 2.2 we found that ideological conflict hypothesis 
predictions are valid for the economic dimension of political beliefs: political beliefs in the economic 
domain and the extremity of the target's opinion influenced the attitudes and perception of the 
value violation posed by a given target. For the trade union members as targets, there was a 
negative relationship between economic beliefs and attitudes only for the extreme target, not the 
moderate one. The analogous relationship was observed for the perception on value violation."
