file,pattern,snippet
10-1080_09540121-2019-1699641.pdf,Organiz,"Our
main goal was to compare the HRQoL of perinatally
infected patients with two groups: HIV-exposed but
uninfected and unexposed controls. Additionally,relationships with socio-demographic and clinical vari-
ables were estimated. Methods
Participants
The PHIV+ group in our study included 56 patients
of the Department of the Children ’s Infectious Dis-
eases Medical University of Warsaw aged 6 –18
© 2019 Informa UK Limited, trading as Taylor & Francis GroupCONTACT Anna Zielinska-Wieniawska ania.b.zielinska@gmail.com Department of Child and Adolescent Psychiatry, Medical University of Warsaw, Zwirki i
Wigury 63a, Warsaw 02-091, PolandAIDS CARE
https://doi.org/10.1080/09540121.2019.1699641years (all detailed in Table 1 ). The exclusion criteria
were: non-perinatal HIV infection, presence of other
chronic somatic illness, problems limitingcooperation, special education, lack of caregiver ’s
consent, or inability to communicate in Polish and
led to the exclusion of four (out of recruited 60)
patients. Two control groups were formed. The ﬁrst, perina-
tally HIV-exposed but uninfected (PHEU), consistedof 24 healthy children and adolescents with HIV-infected mothers recruited from ex-patients of the
department and clients of non-governmental organiz-
ations. No siblings of PHIV+ subjects were tested.The second included 43 subjects with uninfected
parents and with no HIV-infected family members
(HIV-unexposed uninfected; HUU). Despite oureﬀorts, the demographic similarity of all groups
could not be attained. The recruitment of PHEU
group turned out to be particularly challenging, prob-
ably due to the HIV-related stigma. The analysisrevealed that PHIV+ children were signi ﬁcantly
older, more often raised by foster or adoption families,and their parents had shorter education when com-pared with both control groups ( Tables 1 and 2).Measures
Both caregivers and children ﬁlled out (separately) The
Polish adaptation of the Pediatric Quality of Life Inven-
tory 4.0 (PedsQL) (Varni, Burwinkle, Seid, & Skarr, 2003 ;
Varni, Limbers, & Burwinkle, 2007 ; Varni, Seid, & Rode,
1999 ). In children, di ﬀerent versions of PedsQL were
used depending on the age of participants (5 –7, 8–12,
or 13 –18 years)."
10-1080_10803548-2018-1463670.pdf,Organiz,"In 557 
the light of the theory,  people look for work environments t hat are compatible with their 558 
preferred values, goals and personality traits. The factors that draw  employees with high 559 
levels of the DT traits to an organi zation are high salaries, prestige, the possibility of being in 560 
control , and access to resources [9]. A high level of job control  facilitates disruptive behavio r 561 
for people with high DT at least in two ways. First and foremost, high autonomy and freedom 562 
of action mean that they rarely have to consult with their supervisors reg arding any of their 563 
decisions. As such, actions are not ordinarily monitored by supervisors, which makes them 564 
more difficult to sanction. Moreover, high decision -making authorisation means more 565 
opportunities for people with high DT to present such devian t behavio r. Studies show that the 566 
career development of employees with high levels of DT traits depend s on organiz ational 567 
factors – e.g. the type of organi zation , as well as organiz ational culture, structure and 568 
leadership [4, 9]. For instance,  the DT traits  are most visible in cultures based on 569 
individualistic values, in organi zations with weak structures where the levels of job autonomy 570 
and freedom of operation are high , while control systems and the potential consequences of 571 
unethical behav iors are less significant [9, 30 ]. 572 
The obtained results partly correspond to previous studies on the moderating role of 573 
job control in the context of deviant behavior. Previous studies showed that in some 574 
situations (e.g. under stress) job control can have negative effects for the organisation [48, 575 
49, 50]."
10-1080_10803548-2018-1463670.pdf,Organiz,"The factors that draw  employees with high 559 
levels of the DT traits to an organi zation are high salaries, prestige, the possibility of being in 560 
control , and access to resources [9]. A high level of job control  facilitates disruptive behavio r 561 
for people with high DT at least in two ways. First and foremost, high autonomy and freedom 562 
of action mean that they rarely have to consult with their supervisors reg arding any of their 563 
decisions. As such, actions are not ordinarily monitored by supervisors, which makes them 564 
more difficult to sanction. Moreover, high decision -making authorisation means more 565 
opportunities for people with high DT to present such devian t behavio r. Studies show that the 566 
career development of employees with high levels of DT traits depend s on organiz ational 567 
factors – e.g. the type of organi zation , as well as organiz ational culture, structure and 568 
leadership [4, 9]. For instance,  the DT traits  are most visible in cultures based on 569 
individualistic values, in organi zations with weak structures where the levels of job autonomy 570 
and freedom of operation are high , while control systems and the potential consequences of 571 
unethical behav iors are less significant [9, 30 ]. 572 
The obtained results partly correspond to previous studies on the moderating role of 573 
job control in the context of deviant behavior. Previous studies showed that in some 574 
situations (e.g. under stress) job control can have negative effects for the organisation [48, 575 
49, 50]. For instance, employees experiencing strong interpersonal conflicts more often 576 
resort to deviant acts when they enjoy a high level of job control [48]."
10-1080_10803548-2018-1463670.pdf,Organiz,"How toxic employees get 687 
their way. Personality and Indi vidual Differences. 2012;52(4):449 -453. 688 
6. Spain SM, Harms, PD, Lebreton JM, The dark side of personality at work. J Organiz Beh. 689 
2013;1:1 -20. 690 
7. Scherer KT, Baysinger M, Zolynsky D, LeBreton JM, Predicting counterproductive work 691 
behaviors with sub -clinical psy chopathy. Beyond the five factor model of personality. 692 
Personality and Individual Differences."
10-1080_13803395-2017-1301392.pdf,NGO,"Neurotoxicology ,17(3), 793 –802. Bowler, R. M., Kornblith, E., Gocheva, V., Colledge, M.,
Bollweg, G., Kim, Y., . . . Lobdell, D. T. ( 2015 ). Environmental exposure to manganese in air:
Associations with cognitive functions. Neurotoxicology ,
49(139 –148), 139 –148. doi: 10.1016/j.neuro.2015.06.004
Bowler, R. M., Ngo, L., Hartney, C., Lloyd, K., Tager, I.,
Midtling, J., & Huel, G. ( 1997 ). Epidemiological health
study of a town exposed to chemicals. Environmental
Research ,72(2), 93 –108. doi: 10.1006/enrs.1996.3721
Chang, Y., Song, H. J., Lee, J. J., Seo, J. H., Kim, J. H., Lee, H.
J., . . . Jung, D. K. ( 2010 ). Neuroplastic changes within the
brains of manganese-exposed welders: Recruiting addi-
tional neural resources for successful motor performance."
10-1080_13803395-2018-1441379.pdf,Organiz,"Patients were encouraged
to share their memory problems and coping methods
as well as to express their preferences and positive or
negative attitudes toward different strategies. Their
individual needs were emphasized. The IT cognitive training sessions, which were each
run by a single psychologist (M.L., S.I., or J.S-H),
taught patients the same internal memory strategies
as those that were taught to the GT group. However,
the memory exercises were mostly provided by
employing professional computer software for cogni-
tive rehabilitation (Rehacom, Hasomed GmbH,
Magdeburg, Germany and Cogniplus, Schuhfried
GmbH, Moedling, Austria). Participants were encour-
aged to use memory strategies in exercises with diffi-
culty levels adjusted by the therapist according to each
participant ’s capability. The order and pace in which
different strategies were introduced and practiced were
determined by the therapist, but the general rule was to
start with basic and simple strategies, such as organiz-
ing information, followed by more advanced techni-
ques. All memory exercises were actively supervised by
the therapist. In addition, memory exercises were inter-
spersed with computerized attention training. This for-
mat is frequently used in individual cognitive
rehabilitation. Table 2 shows the content of the ITTable 1. Demographic and clinical characteristics of the patients who underwent group, individual, and no therapy and their
cognitive measures results at admission."
10-1080_20445911-2018-1499658.pdf,Fundusz,"The procedure was
implemented in R statistical package (R Core
Team, 2017 ). 2.6. EEG materials
2.6.1. Apparatus
The stimuli were displayed on a standard personal
computer monitor (LCD display; 15-inch diagonal).The stimuli and EEG data were synchronised usingTable 3. Words used in each condition. Arousal
Low Medium High
Subjective signi ﬁcance Low prasowanie
ironingnamiot
tentloteria
lotterypoganin
heathengalop
gallopsmok
dragon
seria
seriespauza
pauseimam
Imamsabat
Sabbathhazard
gambleharem
harem
orbitowanie
orbitwersja
versionmarsza łek
marshalolbrzym
giantstrza ł
shotszale ństwo
craze
aspekt
aspectklan
clangromada
troopbufor
buﬀerzombie
zombieparada
parade
zero
zeropasmo
bandsługa
servantszlachta
nobilitykoszary
barrackkrymina ł
thriller/jail
sﬁnksa
sphinxsmuga
strandakcent
accenthrabia
countwolt
voltsalwa
volley
echo
echomila
milewyłom
breachodcie ń
tintwampir
vampirecar
tsar
tenortenorplemi ę
tribekarykatura
pamphlet/caricature
Medium pó łnoc
northgamma
gammachrzest
baptisminteres
businesswojsko
armymłodzie ż
youth
mgie łka
hazegleba
soilulewa
downpourswada
zestdziewica
virginmutacja
mutation
kolor
colormilczenie
silencezaułek
alleyposag
dowrylabirynt
mazesprint
sprint
laik
laymanmieszkaniec
inhabitantjazda
ridezadatki
smackduch
spiritwyścig
race
arka
arksaga
sagapowie ść
novelwaga
weightmrok
gloomlesbijka
lesbian
połysk
shinetrasa
routegrupa
grouppróba
attemptbieganie
runningdoping
doping
fundusz
fundrzemios ło
craftpokaz
showmrugni ęcie
winkturbo
turboorgia
orgy
kawa łek
chunkposiadacz
possessorpromieniowanie
radiation
High poezja
poetryjednostka
unitwygl ąd
appearanceszczegó ł
detailgeniusz
geniusogie ń
ﬁre
wykonywanie
implementingemerytura
pensionpraca
labourdystans
distancepoprawka
amendmentbuntownik
rebel
krok
steplekcja
lessonprofesor
professorgłębia
profunditymajątek
fortuneekstrawertyk
extrovert
singiel
singlezasada
rulebud żet
budgetobserwowanie
observationzwyci ęzca
winnerburza
storm
osoba
persondokument
documentBiblia
Biblewpływ
inﬂuencemaniak
maniacwysi łek
eﬀort
istota
beingwoń
odoruwaga
notewymiana
exchangepłomie ń
ﬂamewynik
result
godzina
hourczyn
deednawyk
habitlekarstwo
medicinealarm
alert/alarmwładza
authority
zdanie
sentence/opinionﬁrma
businesssesja
sessionJOURNAL OF COGNITIVE PSYCHOLOGY 595a custom-made hardware trigger.1EEG activity was
recorded from 19 electrode sites, Fz, Cz, Pz, Fp1/2,
F7/8, F3/4, T7/8, C3/4, P7/P8, P3/4, O1/2, which
were referenced to linked earlobes, grounded onthe AFz and with impedances of 5 k Ωor less. The
signal was acquired using a Porti7 (TMSI) ampli ﬁer
with a sampling frequency of 1,024 Hz. 2.6.2. O ﬄine EEG signal processing
The oﬄine processing of the signal was performed
in Matlab® with the EEGLAB toolbox (Delorme &
Makeig, 2004 ). The signal was zero-phase ﬁltered
with a Butterworth second-order low-pass ﬁlter (cor-
responding to 12 dB/octave roll-o ﬀ) with half ampli-
tude cut-o ﬀfrequency = 30 Hz and a ﬁrst-order
high-pass ﬁlter (corresponding to 6 dB/octave roll-
oﬀ) with half amplitude cut-o ﬀfrequency = 0.01 Hz. Epochs from 200 ms before stimulus onset to
850 ms post-stimulus onset were extracted and
baseline-corrected (baseline data taken from −200
to 0 ms)."
10-1080_23279095-2019-1576691.pdf,Organiz,"Approximately 60 to 70% of patients
experience various degrees of these problems (Nash
et al., 2014 ; Colantonio & Comper, 2012 ; Hux,
Schneider, & Bennett, 2009 ) even several years postin-
jury (Jourdan et al., 2016 ). Disorders in these cogni-
tive domains typically include difficulties in focusing,
sustaining, and shifting attention, as well as acquisi-
tion, consolidation, and retrieval of information
(Backhaus, 2011 ). The most commonly used form of
treatment is cognitive training, which aims to either
restore function or to compensate for attentional and
memory deficiencies (Tate, 1997 ). Systematic reviews by Cappa et al. ( 2005 ), Cicerone
et al. ( 2011 ), the INCOG team (Velikonja et al., 2014 ),
and O ʼNeil-Pirozzi, Kennedy, and Sohlberg ( 2016 ) areconsistent in describing the most effective types of
intervention for mild memory disorders post TBI;
these include internal strategies training and the use
of external memory aids (such as notebooks, organiz-
ers, or prompting devices) by those with more severe
disorders. There is disagreement regarding the effect-
iveness of computer-based training for attention disor-
ders, with minimal support for decontextualized tasks. In contrast, metacognitive strategy training, focused
on functional everyday activities, is considered suffi-
ciently effective (Ponsford et al., 2014 ; Cicerone
et al., 2011 ). Considering the available scientific evidence, the
aforementioned interventions are highly recom-
mended for the rehabilitation of patients with post-
traumatic disorders of memory and attention. However, it should be remembered that their effects
are often small or moderate, especially if only
randomized controlled studies are considered (Elliott
& Parente, 2014 ; Rohling, Faust, Beverly, & Demakis,
2009 ). Observing the TBI population specifically, the
effect sizes obtained from single group studies can be
as high as 0.7 for memory treatment programs
CONTACT Marcin M. Le /C19sniak marcin.lesniak@uwr.edu.pl Institute of Psychology, University of Wroc ław, 1 Dawida Str., 50-527 Wroc ław, Poland."
10-1080_23279095-2019-1576691.pdf,Organiz,"Group therapy
The content of the group therapy program was struc-
tured and covered various aspects of recovery afterbrain injury. The groups consisted of three to six par-ticipants (including patients not enrolled on the study,
because they either did not have TBI or otherwise
meet inclusion criteria). Each group was led by aneuropsychologist facilitator. An assistant facilitator(usually a trainee psychologist) was engaged whererequired. Sessions typically included a review of the
previous therapy session, short questionnaires and
quizzes, interactive multimedia presentations, discus-sions, and brain storming. Patients were trained howAPPLIED NEUROPSYCHOLOGY: ADULT 3to use internal memory strategies (rehearsal, organiz-
ing material, making associations, using visualimagery, PQRST method, mental retracing, locimethod, errorless learning, and reducing distraction)as well as external aids (notebooks or prompting devi-
ces). Patients were encouraged to share their memory
problems and coping methods as well as express theirpreferences and positive or negative attitudes towarddifferent strategies. A detailed description of a grouptherapy program was included in a recent paper byLe/C19sniak, Mazurkiewicz, Iwa /C19nski, Szutkowska-Hoser,
and Seni /C19ow (2018 ). Individual therapy
The individual therapy program consisted of cognitive
training conducted with professional computer soft-
ware (RehaCom, Hasomed GmbH, Magdeburg,Germany and CogniPlus, Schuhfried GmbH, M €odling,
Austria). Participants were encouraged by a supervis-ing psychologist to use learned memory strategies inexercises with difficulty levels adjusted to each partici-pant’s capability. In these sessions, memory strategies
were tailored to individual patients."
10-1089_cyber-2018-0014.pdf,Fundusz,"Furthermore, the study relates to a Polish
population. As a consequence, further multicultural research
is needed to ﬁnd out whether similar relationships can beidentiﬁed in other countries. In the future, research shouldalso include the phenomenon of problematic social net-
working site use
38as one of the dimensions of the model, to
examine more comprehensively the relationship betweenPIU and the use of social networking sites. Note
a. We are grateful to an anonymous reviewer for raising
this important issue. Acknowledgment
This work was a part of the research projects co-funded
by Gambling Problem Solving Fund (Polish: Fundusz Roz-
wiaxzywania Problemo ´w Hazardowych), at the disposal of the
Minister of Health (No. 4/HM/2016 and 91/HM/2015). Author Disclosure Statement
No competing ﬁnancial interests exist. References
1. Tyler, TR. Is the Internet changing social life?"
10-1089_cyber-2019-0252.pdf,Fundusz,": interpretation of data for
the work. A.C., M.T., T.M., and M.D.G. : drafting the work. A.C., M.T., T.M., and M.D.G. : revising the work criticallyfor important intellectual content. Funding Information
This study was partly based on research project funded by
the Gambling Problem Solving Fund (Polish: Fundusz Roz-
wia˛zywania Problemo ´w Hazardowych), administered by the
Minister of Health (Nos. 190/HM/2017 and 164/HBK/2018). References
1. Pew Research Center. (2018) Social Media Update 2018.
https://www.pewinternet.org/2018/03/01/social-media-use-
in-2018/ (accessed Feb. 1, 2019). 2."
