name,orcid,link,title,date,journal
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1007/s12144-017-9629-1,The Sport Mental Training Questionnaire: Development and Validation,2019-04,
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1007/s12144-019-00264-3,Splitting the affective atom: Divergence of valence and approach-avoidance motivation during a dynamic emotional experience,2019-04-23,
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1080/17439760.2017.1326519,Smile intensity in social networking profile photographs is related to greater scientific achievements,2018-09-03,
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1016/j.ijpsycho.2018.04.007,Successful performance and cardiovascular markers of challenge and threat: A meta-analysis,2018-08,
Maciej Behnke,https://orcid.org/0000-0002-2455-4556,https://doi.org/10.1016/j.chb.2017.05.031,The Pikachu effect: Social and health gaming motivations lead to greater benefits of Pokémon GO use,2017-10,
Teresa Chirkowska-Smolak,https://orcid.org/0000-0003-3942-5594,https://doi.org/10.13075/mp.5893.01181,Job insecurity and emotional disturbance of Polish employees during pandemic COVID-19,2021-12-22,Medycyna Pracy
Teresa Chirkowska-Smolak,https://orcid.org/0000-0003-3942-5594,https://doi.org/10.14746/cis.2021.51.8,Ryzyko braku relacji zawodowych. Konstrukcja Skali Niepewności Zatrudnienia w Sytuacji Pandemii,2021-03-15,Człowiek i Społeczeństwo
Teresa Chirkowska-Smolak,https://orcid.org/0000-0003-3942-5594,empty,Dorastanie do lojalności. Lojalność wobec organizacji pracowników pokolenia Y,2018,Człowiek i Społeczeństwo
Teresa Chirkowska-Smolak,https://orcid.org/0000-0003-3942-5594,empty,Lojalność pracowników wobec organizacji – operacjonalizacja pojęcia oraz weryfikacja psychometryczna Skali Lojalności Wobec Organizacji – badania pilotażowe,2018,Organizacja i Kierowanie
Teresa Chirkowska-Smolak,https://orcid.org/0000-0003-3942-5594,https://doi.org/10.18559/soep.2018.3.2,Polska adaptacja kwestionariusza do pomiaru wypalenia zawodowego OLBI (The Oldenburg Burnout Inventory,2018,Studia Oeconomica Posnaniensia
Teresa Chirkowska-Smolak,https://orcid.org/0000-0003-3942-5594,https://doi.org/10.14746/rpeis.2017.79.2.4,Oceny moralne w rozumowaniu sędziowskim,2017,"Ruch Prawniczy, Ekonomiczny i Socjologiczny"
Dariusz Drążkowski,https://orcid.org/0000-0001-5697-892X,https://doi.org/10.1371/journal.pone.0256483,"I am afraid, so I buy it! The effects of anxiety on consumer assimilation and differentiation needs amongst individuals primed with independent and interdependent self-construal",2021-09-01,PLOS ONE
Dariusz Drążkowski,https://orcid.org/0000-0001-5697-892X,https://doi.org/10.1016/j.paid.2017.01.043,"Gratitude pays: A weekly gratitude intervention influences monetary decisions, physiological responses, and emotional experiences during a trust-related social interaction",2017,Personality and Individual Differences
Dariusz Drążkowski,https://orcid.org/0000-0001-5697-892X,https://doi.org/10.1002/ijop.12238,Women are not less field independent than men—the role of stereotype threat,2017,International Journal of Psychology
Dariusz Drążkowski,https://orcid.org/0000-0001-5697-892X,https://doi.org/10.24131/3724.170105,Przegląd badań nad związkami zdolności przestrzennych z kompetencjami z nauk ścisłych uczniów i studentów,2017-04-01,Edukacja
Dominika Joanna Górska,https://orcid.org/0000-0001-5804-8128,https://doi.org/10.1016/j.paid.2021.111020,The role of the level of personality organization in emotional processing in Generalized Anxiety Disorder,2021,Personality and Individual Differences
Dominika Joanna Górska,https://orcid.org/0000-0001-5804-8128,https://doi.org/10.5114/cipp.2018.80195,Beyond descriptions: Selected aspects of science and practice in clinical psychology and personality psychopathology,2018,Current Issues in Personality Psychology
Dominika Joanna Górska,https://orcid.org/0000-0001-5804-8128,https://doi.org/10.5114/cipp.2018.80197,Fluctuations of mentalization in the context of relational stimuli and representational contents,2018,Current Issues in Personality Psychology
Dominika Joanna Górska,https://orcid.org/0000-0001-5804-8128,https://doi.org/10.1037/pap0000117,Between verbalization and reflection: Referential activity and narrative processes in borderline personality organization,2017,Psychoanalytic Psychology
Dominika Joanna Górska,https://orcid.org/0000-0001-5804-8128,https://doi.org/10.5114/cipp.2017.70141,Evidence-based assessment in a transtheoretical and paradigmatic approach,2017,Current Issues in Personality Psychology
Jarosław Grobelny,https://orcid.org/0000-0003-4296-402X,https://doi.org/10.1504/ijwoe.2021.115620,Emotional intelligence and job performance: A meta-analysis,2021,International Journal of Work Organisation and Emotion
Jarosław Grobelny,https://orcid.org/0000-0003-4296-402X,https://doi.org/10.1504/ijwoe.2021.10037977,Emotional Intelligence and Job Performance: A Meta-analysis,2021,International Journal of Work Organisation and Emotion
Jarosław Grobelny,https://orcid.org/0000-0003-4296-402X,empty,A conceptual model of the influence of resume components on personnel decisions: A policy-capturing study on resume screening,2020,Journal of Management Information and Decision Sciences
Jarosław Grobelny,https://orcid.org/0000-0003-4296-402X,empty,A conceptual model of the influence of résumé components on personnel decisions: a policy-capturing study on résumé screening,2020,Journal of Management Information and Decision Sciences
Jarosław Grobelny,https://orcid.org/0000-0003-4296-402X,https://doi.org/10.11114/bms.v4i3.3297,Predictive Validity toward Job Performance of General and Specific Mental Abilities. A Validity Study across Different Occupational Groups,2018-09,Business and Management Studies
Jarosław Grobelny,https://orcid.org/0000-0003-4296-402X,https://doi.org/10.6007/ijarbss/v8-i3/3940,Narrative Gamification as a Method of Increasing Sales Performance: A Field Experimental Study,2018-04,International Journal of Academic Research in Business and Social Sciences
Maciej Roman Hanczakowski,https://orcid.org/0000-0001-8980-4918,https://doi.org/10.1016/j.jml.2020.104189,The dissociations of confidence from accuracy in forced-choice recognition judgments,2021,Journal of Memory and Language
Maciej Roman Hanczakowski,https://orcid.org/0000-0001-8980-4918,https://doi.org/10.1037/xlm0001013,On the memory benefits of repeated study with variable tasks,2021-02-15,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
Maciej Roman Hanczakowski,https://orcid.org/0000-0001-8980-4918,https://doi.org/10.1002/acp.3718,How to answer an unanswerable question? Factors affecting correct “don't know” responding in memory tasks,2020,Applied Cognitive Psychology
Maciej Roman Hanczakowski,https://orcid.org/0000-0001-8980-4918,https://doi.org/10.1037/xge0000695,Translating (Lack of) Memories Into Reports: Conversion Processes in Responding to Unanswerable Questions,2019,Journal of Experimental Psychology: General
Maciej Roman Hanczakowski,https://orcid.org/0000-0001-8980-4918,https://doi.org/10.3758/s13421-018-0854-0,Visual attentional load affects the frequency of involuntary autobiographical memories and their level of meta-awareness,2019,Memory and Cognition
Maciej Roman Hanczakowski,https://orcid.org/0000-0001-8980-4918,https://doi.org/10.1037/xge0000449,Learning through clamor: The allocation and perception of study time in noise,2018,Journal of Experimental Psychology: General
Maciej Roman Hanczakowski,https://orcid.org/0000-0001-8980-4918,https://doi.org/10.1016/j.jml.2018.03.001,Remind me of the context: Memory and metacognition at restudy,2018,Journal of Memory and Language
Maciej Roman Hanczakowski,https://orcid.org/0000-0001-8980-4918,https://doi.org/10.1037/xlm0000676,Two Routes to Memory Benefits of Guessing,2018,Journal of Experimental Psychology: Learning Memory and Cognition
Maciej Roman Hanczakowski,https://orcid.org/0000-0001-8980-4918,https://doi.org/10.1037/xlm0000321,Confidence in forced-choice recognition: What underlies the ratings?,2017,Journal of Experimental Psychology: Learning Memory and Cognition
Maciej Roman Hanczakowski,https://orcid.org/0000-0001-8980-4918,https://doi.org/10.1016/j.jml.2016.06.003,Late consequences of early selection: When memory monitoring backfires,2017,Journal of Memory and Language
Maciej Roman Hanczakowski,https://orcid.org/0000-0001-8980-4918,https://doi.org/10.1037/xlm0000292,Metamemory in a familiar place: The effects of environmental context on feeling of knowing,2017,Journal of Experimental Psychology: Learning Memory and Cognition
Maciej Roman Hanczakowski,https://orcid.org/0000-0001-8980-4918,https://doi.org/10.1016/j.jml.2016.11.005,When distraction benefits memory through semantic similarity,2017,Journal of Memory and Language
Agnieszka Bogumiła Izdebska,https://orcid.org/0000-0001-9050-7742,https://doi.org/10.1177/0886260520903136,Personality Disorders in Adult Female Child Sexual Abuse Survivors: Dimensions of Personality Pathology and Characteristics of Abuse,2020-03-03,Journal of Interpersonal Violence
Agnieszka Bogumiła Izdebska,https://orcid.org/0000-0001-9050-7742,empty, Wykorzystanie seksualne dziecka. Wyniki Ogólnopolskiej diagnozy skali i uwarunkowań krzywdzenia dzieci,2019,"Dziecko krzywdzone. Teoria, badania, praktyka."
Agnieszka Bogumiła Izdebska,https://orcid.org/0000-0001-9050-7742,empty,"Relacja lekarza z małoletnim, który doświadczył wykorzystania seksualnego. Uwarunkowania przebiegu kontaktu i jego znaczenie dla procesu diagnozy",2019,"Dziecko krzywdzone. Teoria, badania, praktyka."
Agnieszka Bogumiła Izdebska,https://orcid.org/0000-0001-9050-7742,https://doi.org/10.1177/0886260518759061,The Level of Personality Organization and Revictimization in Lives of Child Sexual Abuse Survivors,2018-02-28,Journal of Interpersonal Violence
Monika Olga Jańczak,https://orcid.org/0000-0002-5739-1124,https://doi.org/10.12740/pp/125383,Adaptation and validation of the Mentalization Scale (MentS) - a self-report measure of mentalizing,2021-12-31,Psychiatria Polska
Monika Olga Jańczak,https://orcid.org/0000-0002-5739-1124,empty,Mentalization in clinical practice - A psychodynamic perspective,2018,Psychoterapia
Monika Olga Jańczak,https://orcid.org/0000-0002-5739-1124,empty,MENTALIZATION IN CLINICAL PRACTICE - PSYCHODYNAMIC PERSPECTIVE,2018,Psychoterapia
Monika Olga Jańczak,https://orcid.org/0000-0002-5739-1124,empty,Mentalizacja w praktyce klinicznej - perspektywa psychodynamiczna,2018-12-01,Psychoterapia
Monika Olga Jańczak,https://orcid.org/0000-0002-5739-1124,https://doi.org/10.5114/cipp.2018.80196,Mentalization in borderline individuals: an attempt to integrate contradictory research results,2018-12-01,Current Issues in Personality Psychology
Monika Olga Jańczak,https://orcid.org/0000-0002-5739-1124,https://doi.org/10.1007/s12144-017-9573-0,"Emotion Dysregulation, Mentalization and Romantic Attachment in the Nonclinical Adolescent Female Sample.",2017-03,"Current psychology (New Brunswick, N.J.)"
Monika Olga Jańczak,https://orcid.org/0000-0002-5739-1124,empty,Relationship-specific attachment models in individuals with borderline personality organization,unrecovered,Psychologia Rozwojowa
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1038/s41598-021-97670-0,Blunted cardiovascular reactivity may serve as an index of psychological task disengagement in the motivated performance situations,2021,Scientific Reports
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1371/journal.pone.0255491,Changes in values and well-being amidst the COVID-19 pandemic in Poland,2021,PLoS ONE
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1080/17439760.2021.1885054,Give and take: The role of reciprocity in capitalization,2021,Journal of Positive Psychology
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1007/s10902-020-00218-8,Gratitude Texting Touches the Heart: Challenge/Threat Cardiovascular Responses to Gratitude Expression Predict Self-initiation of Gratitude Interventions in Daily Life,2021,Journal of Happiness Studies
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1038/s41598-021-86841-8,Head movement differs for positive and negative emotions in video recordings of sitting individuals,2021,Scientific Reports
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1371/journal.pone.0256430,"How seasons, weather, and part of day influence baseline affective valence in laboratory research participants?",2021,PLoS ONE
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1371/journal.pone.0256483,"I am afraid, so I buy it! The effects of anxiety on consumer assimilation and differentiation needs amongst individuals primed with independent and interdependent self-construal",2021,PLoS ONE
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1007/s12144-019-00264-3,Splitting the affective atom: Divergence of valence and approach-avoidance motivation during a dynamic emotional experience,2021,Current Psychology
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1016/j.entcom.2020.100397,"What makes male gamers angry, sad, amused, and enthusiastic while playing violent video games?",2021,Entertainment Computing
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1007/s12144-019-00315-9,Would you be happier if you moved more? Physical activity focusing illusion,2021,Current Psychology
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1007/s11084-021-09612-5,How the Geomagnetic Field Influences Life on Earth – An Integrated Approach to Geomagnetobiology,2021-09-07,Origins of Life and Evolution of Biospheres
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1016/j.psychsport.2019.101584,Social challenge and threat predict performance and cardiovascular responses during competitive video gaming,2020,Psychology of Sport and Exercise
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1016/j.ijpsycho.2019.01.008,High-approach and low-approach positive affect influence physiological responses to threat and anger,2019,International Journal of Psychophysiology
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1007/s12144-017-9629-1,The Sport Mental Training Questionnaire: Development and Validation,2019,Current Psychology
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1016/j.ijpsycho.2019.08.011,Trait and state approach-motivated positive affects interactively influence stress cardiovascular recovery,2019,International Journal of Psychophysiology
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1111/psyp.13318,Effects of emotions on heart rate asymmetry,2019-04,Psychophysiology
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1080/17439760.2017.1326519,Smile intensity in social networking profile photographs is related to greater scientific achievements,2018,Journal of Positive Psychology
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1016/j.ijpsycho.2018.04.007,Successful performance and cardiovascular markers of challenge and threat: A meta-analysis,2018,International Journal of Psychophysiology
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1016/j.paid.2017.01.043,"Gratitude pays: A weekly gratitude intervention influences monetary decisions, physiological responses, and emotional experiences during a trust-related social interaction",2017,Personality and Individual Differences
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,https://doi.org/10.1016/j.chb.2017.05.031,The Pikachu effect: Social and health gaming motivations lead to greater benefits of Pokémon GO use,2017,Computers in Human Behavior
Łukasz Dominik Kaczmarek,https://orcid.org/0000-0001-5565-8334,empty,Wiedza naukowa a praktyka społeczna na przykładzie psychologii zdrowia: O dyscyplinie naukowej na zakręcie,2017,Nauka
Marta Karbowa-Płowens,https://orcid.org/0000-0003-1692-6564,https://doi.org/10.4467/20843879pr.19.024.11730,Rozwój i charakterystyka więzi przywiązaniowej w relacji romantycznej,2019,Psychologia Rozwojowa
Paweł Kleka,https://orcid.org/0000-0003-0841-0015,https://doi.org/10.1016/j.cortex.2021.03.022,"Manual praxis and language-production networks, and their links to handedness",2021-07,Cortex
Paweł Kleka,https://orcid.org/0000-0003-0841-0015,https://doi.org/10.3390/ijerph18094823,Correlation between Handgrip Strength and Depression in Older Adults—A Systematic Review and a Meta-Analysis,2021-04,International Journal of Environmental Research and Public Health
Paweł Kleka,https://orcid.org/0000-0003-0841-0015,https://doi.org/10.3390/jcm10091900,Goal Orientation and Physical Activity: Psychometric Properties of the Polish Version of the Goal Orientation in Exercise Measure (GOEM),2021-04,Journal of Clinical Medicine
Paweł Kleka,https://orcid.org/0000-0003-0841-0015,https://doi.org/10.14746/cis.2021.51.10,Relacje online. Ekstrawersja i inteligencja emocjonalna w kontekście wybranych aspektów komunikacji internetowej,2021-03-15,Człowiek i Społeczeństwo
Paweł Kleka,https://orcid.org/0000-0003-0841-0015,https://doi.org/10.14746/cis.2021.51.5,Związek  między przejawianym stylem poczucia humoru a prezentowaną postawą rodzicielską,2021-03-15,Człowiek i Społeczeństwo
Paweł Kleka,https://orcid.org/0000-0003-0841-0015,https://doi.org/10.5114/aoms.2020.93046,Assessment of selected nutrient intake by Polish preschool children compared to dietary recommendations: a meta-analysis,2020,Archives of Medical Science
Paweł Kleka,https://orcid.org/0000-0003-0841-0015,https://doi.org/10.1016/j.concog.2020.102936,Metacognition and emotion--How accurate perception of own biases relates to positive feelings and hedonic capacity,2020,Consciousness and Cognition
Paweł Kleka,https://orcid.org/0000-0003-0841-0015,https://doi.org/10.5604/01.3001.0013.9738,Praxis and language organization in left-handers,2020,Acta Neuropsychologica
Paweł Kleka,https://orcid.org/0000-0003-0841-0015,https://doi.org/10.1080/09638288.2020.1822933,Psychometric properties of the Polish version of the Multiple Sclerosis Self-Management Scale -- Revised,2020,Disability and Rehabilitation
Paweł Kleka,https://orcid.org/0000-0003-0841-0015,https://doi.org/10.3390/ijerph17186641,The Measurement of Goal Orientation in Sport: Psychometric Properties of the Polish Version of the Perception of Success Questionnaire (POSQ),2020-09,International Journal of Environmental Research and Public Health
Paweł Kleka,https://orcid.org/0000-0003-0841-0015,https://doi.org/10.3390/ijerph17103593,Psychometric Properties of the Polish Version of Task and Ego Orientation in Sport Questionnaire (TEOSQ),2020-05,International Journal of Environmental Research and Public Health
Paweł Kleka,https://orcid.org/0000-0003-0841-0015,https://doi.org/10.5709/acp-0278-y,Becoming Aware of One's Own Biases in Emerging Adulthood - A Longitudinal Study. Metacognitive Approach,2019,Advances in Cognitive Psychology
Paweł Kleka,https://orcid.org/0000-0003-0841-0015,https://doi.org/10.34768/dma.vi20.22,Czy studenci uczą się przewidywania swoich ocen semestralnych? Rola błędu 'przeszacowanej pewności' w trafności szacowania własnych osiągnięć edukacyjnych,2019,Dyskursy Młodych Andragogów
