name,orcid,link,title,date,journal
Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1016/j.comppsych.2019.152149,Humor perception in schizophrenia appears to be related to disorganization syndrome,2020-01,Comprehensive Psychiatry
Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.5114/ppn.2018.81364,"Associations of insight and treatment adherence with employment status of people with schizophrenia,Wgląd i współpraca w leczeniu a zatrudnienie osób chorujących na schizofrenię",2019,Postepy Psychiatrii i Neurologii
Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1016/j.schres.2019.05.008,Dynamics of impaired humour processing in schizophrenia – An EEG effective connectivity study,2019,Schizophrenia Research
Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1111/eip.12829,"Mediating role of cognitive biases, resilience and depressive symptoms in the relationship between childhood trauma and psychotic-like experiences in young adults",2019,Early Intervention in Psychiatry
Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1016/j.jad.2019.05.008,Resilience and cognitive biases mediate the relationship between early exposure to traumatic life events and depressive symptoms in young adults,2019,Journal of Affective Disorders
Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1016/j.schres.2018.01.004,Diminished activation of the right Inferior Parietal Lobule as a neural substrate of impaired cartoon-jokes comprehension in schizophrenia outpatients,2018,Schizophrenia Research
Artur Daren,https://orcid.org/0000-0003-1851-9911,empty,Forms of aggression in women experiencing violence in their intimate relationships,2018,Psychoterapia
Artur Daren,https://orcid.org/0000-0003-1851-9911,https://doi.org/10.1016/j.nicl.2017.06.005,Neural circuit of verbal humor comprehension in schizophrenia - an fMRI study,2017,NeuroImage: Clinical
Agnieszka Fusińska-Korpik,https://orcid.org/0000-0003-3520-1315,https://doi.org/10.12740/pt/128972,Aspekty terapeutyczne oddziału zamkniętego,2020,Psychoterapia
Agnieszka Fusińska-Korpik,https://orcid.org/0000-0003-3520-1315,https://doi.org/10.1007/s12144-020-00797-y,The revised Edward Zigler-Yale Personality Questionnaire for persons with intellectual disability: A new four-factor structure in confirmatory factor analysis,2020,Current Psychology
Agnieszka Fusińska-Korpik,https://orcid.org/0000-0003-3520-1315,empty,Jak rozwiązać konflikt? Narzędzia skutecznej komunikacji w sytuacjach trudnych,2018,Lekarz Rodzinny
Dorota Jasiecka,https://orcid.org/0000-0002-8017-032X,https://doi.org/10.34938/z92d-kd44,Psychosomatic Risk from Perspective of Attachment Trauma and Body Self Disorders,2019,Sztuka Leczenia
Dorota Jasiecka,https://orcid.org/0000-0002-8017-032X,https://doi.org/10.1469/cppi24.2.405,Kształtowanie się wspólnoty polskiej społeczności - imperatyw moralny czy uświadomiona konieczność dziejowa?,2018,Czasopismo Psychologiczne
Joanna Konarska,https://orcid.org/0000-0003-2034-8875,empty,"Key Components of Inclusive Education,  eds. Viktor Lechta, Nad‘a Bizová",2020,Państwo i Społeczeństwo
Joanna Konarska,https://orcid.org/0000-0003-2034-8875,empty,Rzeczywistość prawna i społeczna w kontekście realizacji paradygmatu normalizacji życia osób z niepełnosprawnością,2020,Państwo i Społeczeństwo
Joanna Konarska,https://orcid.org/0000-0003-2034-8875,empty,Rzeczywistość prawna i społeczna w kontekście realizacji paradygmatu normalizacji życia osób z niepełnosprawnością,2020,Państwo i Społeczeństwo
Joanna Konarska,https://orcid.org/0000-0003-2034-8875,empty,Społeczeństwo i niepełnosprawność. Wprowadzenie,2020,Państwo i Społeczeństwo
Joanna Konarska,https://orcid.org/0000-0003-2034-8875,empty,Potrzeba bliskości i intymności a świadomość niepełnosprawności.,2017,LUBELSKI ROCZNIK PEDAGOGICZNY
Wanda Osikowska,https://orcid.org/0000-0001-7697-4408,https://doi.org/10.14691/cppj.23.2.367,Osobowościowe i demograficzne uwarunkowania relacji pomiędzy pracą i rodziną u pracowników samorządu ,2017,Czasopismo Psychologiczne -Pychological Journal
Tadeusz Marian Ostrowski,https://orcid.org/0000-0001-5961-3758,https://doi.org/10.1177/0033294120978164,"Time in the Mental Health Context: Neurotic Symptomatology, Defense Mechanisms and the Perception of Time Perspective Among Patients Diagnosed With Neurotic and Personality Disorders – A Clinical Study",2020,Psychological Reports
Tadeusz Marian Ostrowski,https://orcid.org/0000-0001-5961-3758,https://doi.org/10.12740/app/80756,"The intensity of anxiety, neurotic symptoms and perceived control among patients with neurotic and personality disorders",2018,Archives of Psychiatry and Psychotherapy
Tadeusz Marian Ostrowski,https://orcid.org/0000-0001-5961-3758,https://doi.org/10.15804/kie.2017.03.10,Dobra praktyka w zarządzaniu szkołą wyższą : system ewaluacji jakości kształcenia na przykładzie uniwersytetów brytyjskich,2017,Kultura i Edukacja
Ewa Wilczek-Rużyczka,https://orcid.org/0000-0003-2261-8939,empty,"Influence of Empathy, Beliefs, Attitudes, and Demographic Variables on Willingness to Donate Organs",unrecovered,Transplantation Proceedings
