Column1,Unnamed: 0,fullname,assigned,orcid,legit,checked,
54,54,Maciej Andrzej Dymkowski,Kacper,https://orcid.org/0000-0002-2101-9451,FALSE,,
55,55,Irena Dzwonkowska,Kacper,https://orcid.org/0000-0002-9177-6044,FALSE,,
56,56,Jolanta Enko,Kacper,https://orcid.org/0000-0002-1982-2798,TRUE,,
57,57,Andrzej Falkowski,Kacper,http://orcid.org/0000-0002-7255-4542,TRUE,,
58,58,Aleksandra Katarzyna Fila-Jankowska,Kacper,,FALSE,,
59,59,MARIA FLAKUS,Kacper,https://orcid.org/0000-0002-6667-8020,FALSE,,
60,60,Magdalena Maria Formanowicz,Kacper,https://orcid.org/0000-0001-5859-7100,TRUE,,
61,61,Natalia Frankowska,Kacper,https://orcid.org/0000-0002-1451-0998,TRUE,,
62,62,Anna Gabińska,Kacper,https://orcid.org/0000-0003-1560-1418,TRUE,,
63,63,Małgorzata Gamian-Wilk,Ignacy,https://orcid.org/0000-0001-5025-076X,TRUE,,
64,64,Dagmara Paulina Gawron,Ignacy,https://orcid.org/0000-0001-6429-2872,FALSE,,
65,65,Magdalena Agnieszka Gąsiorowska,Ignacy,http://orcid.org/0000-0003-1528-6876,FALSE,,
66,66,Agata Dorota Gąsiorowska,Ignacy,https://orcid.org/0000-0001-5083-0385,FALSE,,
67,67,Józef Gierowski,Ignacy,https://orcid.org/0000-0002-7104-134X,FALSE,,
68,68,Joanna Weronika Główczewska,Ignacy,https://orcid.org/0000-0002-0561-6125,FALSE,,
69,69,Małgorzata Anna Godlewska,Ignacy,https://orcid.org/0000-0001-7413-0674,FALSE,,
70,70,Dorota Elżbieta Godlewska-Werner,Ignacy,https://orcid.org/0000-0002-0254-8163,TRUE,,
71,71,Agnieszka Monika Golec,Ignacy,https://orcid.org/0000-0002-7631-9486,TRUE,,
72,72,Anna Maria Grabowska,Ignacy,https://orcid.org/0000-0002-5753-7525,FALSE,,
73,73,Damian Wojciech Grabowski,Ignacy,https://orcid.org/0000-0002-4938-918X,TRUE,,
74,74,Alicja Magdalena Grochowska,Ignacy,https://orcid.org/0000-0002-9015-4665,FALSE,,
75,75,Katarzyna Growiec,Ignacy,https://kups.ub.uni-koeln.de/view/orcid/0000-0003-3568-1072.html,FALSE,,
76,76,Katarzyna Anna Grunt-Mejer,Ignacy,https://orcid.org/0000-0001-5679-5322,TRUE,,
77,77,Ewa Melania Gruszczyńska,Ignacy,https://orcid.org/0000-0002-3168-3460,FALSE,,
78,78,Eufrozyna Gruszecka,Ignacy,,FALSE,,
79,79,Tomasz Adam Grzyb,Ignacy,https://orcid.org/0000-0002-2947-6366,TRUE,,
80,80,Maciej Roman Hanczakowski,Ignacy,https://orcid.org/0000-0001-7788-7509,FALSE,,
81,81,Anna Maria Hebenstreit-Maruszewska,Ignacy,,FALSE,,
82,82,Daniela Maria Hekiert,Ignacy,https://orcid.org/0000-0002-6108-993X,TRUE,,
83,83,Anna Maria Hełka,Ignacy,https://orcid.org/0000-0002-3242-2553,FALSE,,
84,84,Kamil Maksymilian Henne,Ignacy,https://orcid.org/0000-0003-4892-6323,FALSE,,
85,85,Mateusz Hohol,Ignacy,https://orcid.org/0000-0003-0422-5488,TRUE,,
86,86,Katarzyna Idzikowska,Ignacy,http://orcid.org/0000-0002-8247-1476,FALSE,,
87,87,Grzegorz Iniewicz,Ignacy,https://orcid.org/0000-0003-2367-7965,TRUE,,
88,88,Irena Iskra-Golec,Ignacy,https://orcid.org/0000-0002-7236-4394,TRUE,,
89,89,Magdalena Zyta Jabłońska,Ignacy,https://orcid.org/0000-0002-3807-9266,TRUE,,
90,90,Marta Jackowska,Ignacy,https://orcid.org/0000-0002-5991-5868,FALSE,,
91,91,Kamila Anna Jankowiak-Siuda,Ignacy,https://orcid.org/0000-0002-0210-2487,TRUE,,
92,92,Maciej Andrzej Januszek,Ignacy,https://orcid.org/0000-0002-1761-7328,TRUE,,
93,93,Ewa Jarczewska-Gerc,Ignacy,https://orcid.org/0000-0003-0772-0783,TRUE,,
94,94,Michał Paweł Jaśkiewicz,Ignacy,https://orcid.org/0000-0003-4358-1071,TRUE,,
95,95,Dorota Juszczyk,Ignacy,https://orcid.org/0000-0003-2187-8085,TRUE,,
96,96,Joanna Kabzińska,Ignacy,https://orcid.org/0000-0002-2135-8699,TRUE,,
97,97,Radosław Patrycjusz Kaczan,Ignacy,https://orcid.org/0000-0002-2307-3216,TRUE,,
98,98,Romana Stefania Kadzikowska-Wrzosek,Ignacy,https://orcid.org/0000-0003-0658-9656,TRUE,,
99,99,Dorota Eugenia Kalka,Ignacy,https://orcid.org/0000-0002-7422-159X,FALSE,,
100,100,Olga Katarzyna Kamińska,Ignacy,https://orcid.org/0000-0001-8865-7442,FALSE,,
101,101,Anna Maria Kamza,Ignacy,https://orcid.org/0000-0002-0403-8079,TRUE,,
102,102,Bartosz Paweł Karcz,Ignacy,https://orcid.org/0000-0003-4295-3005,FALSE,,
103,103,Aneta Kiwnik-Dahm,Ignacy,,FALSE,,
104,104,Angelika Kleszczewska- Albińska,Ignacy,https://orcid.org/0000-0003-2309-7071,FALSE,,
105,105,Małgorzata Klimka-Kołysko,Ignacy,,FALSE,,
106,106,Aleksandra Anna Kołodziej,Ignacy,https://orcid.org/0000-0003-2241-6309,FALSE,,
107,107,Aleksander Korchut,Ignacy,https://orcid.org/0000-0002-7019-6681,FALSE,,
108,108,Małgorzata Korko,Ignacy,https://orcid.org/0000-0002-6159-0337,FALSE,,
109,109,Monika Kornacka,Ignacy,https://orcid.org/0000-0003-2737-9236,TRUE,,
110,110,Julita Agnieszka Koszur,Ignacy,,FALSE,,
111,111,Maciej Kościelniak,Ignacy,https://orcid.org/0000-0003-3452-864X,TRUE,,
112,112,Natalia Kowalczyk-Grębska,Ignacy,https://orcid.org/0000-0002-1640-0565,TRUE,,
113,113,Joachim Kowalski,Ignacy,https://orcid.org/0000-0001-5211-0736,FALSE,,
114,114,Beata Kozak,Ignacy,https://orcid.org/0000-0003-1512-3655,FALSE,,
115,115,Agata Kozłowska,Ignacy,https://orcid.org/0000-0002-4872-3852,FALSE,,
116,116,Izabela Krejtz,Ignacy,https://orcid.org/0000-0002-9827-8371,TRUE,,
117,117,Krzysztof Krejtz,Ignacy,https://orcid.org/0000-0002-2198-6556,TRUE,,
118,118,Aleksandra Karolina Kroemeke,Ignacy,https://orcid.org/0000-0001-8707-742X,TRUE,,
119,119,Magdalena Ewa Król,Ignacy,https://orcid.org/0000-0003-0392-0921,TRUE,,
120,120,Jakub Kryś,Ignacy,http://orcid.org/0000-0003-1159-728X,TRUE,,
121,121,Anna Kubiak,Ignacy,https://orcid.org/0000-0003-4905-9321,TRUE,,
122,122,Katarzyna Anna Kuć,Ignacy,https://orcid.org/0000-0001-5465-2985,FALSE,,
123,123,Jarosław Tadeusz Kulbat,Ignacy,https://orcid.org/0000-0003-0480-0729,FALSE,,
124,124,Wojciech Marek Kulesza,Ignacy,https://orcid.org/0000-0001-5457-6396,TRUE,,
125,125,Katarzyna Kulwicka,Ignacy,https://orcid.org/0000-0002-4731-1901,TRUE,,
126,126,Jakub Michał Kuś,Paweł,https://orcid.org/0000-0002-9639-3616,FALSE,,
127,127,Joanna Maria Kwaśniewska,Paweł,https://orcid.org/0000-0002-5983-8997,FALSE,,
128,128,Zuzanna Kwissa-Gajewska,Paweł,,FALSE,,
129,129,Łukasz Grzegorz Lach,Paweł,https://orcid.org/0000-0001-8599-1162,TRUE,,
130,130,Bogdan Bronisław Lach,Paweł,https://orcid.org/0000-0002-2312-1513,FALSE,,
131,131,Magdalena Ewa Leśnierowska,Paweł,https://orcid.org/0000-0002-9279-2572,FALSE,,
132,132,Weronika Maja Lewandowska,Paweł,https://orcid.org/0000-0002-7121-3607,FALSE,,
133,133,Maria Lis-Turlejska,Paweł,,FALSE,,
134,134,Natalia Róża Liszewska,Paweł,https://orcid.org/0000-0003-3798-8692,TRUE,,
135,135,Marta Łockiewicz,Paweł,https://orcid.org/0000-0001-7799-2069,TRUE,,
136,136,Karolina Magdalena Łukasik,Paweł,https://orcid.org/0000-0002-0934-5684,FALSE,,
137,137,Aleksandra Łuszczyńska,Paweł,https://orcid.org/0000-0002-4704-9544,FALSE,,
138,138,Robert Jacek Mackiewicz,Paweł,https://orcid.org/0000-0002-2990-2337,TRUE,,
139,139,MIKOŁAJ MAGNUSKI,Paweł,https://orcid.org/0000-0002-1640-0565,FALSE,,
140,140,Konrad Piotr Maj,Paweł,http://orcid.org/0000-0002-9605-4251,TRUE,,
141,141,Tadeusz Marek,Paweł,https://orcid.org/0000-0003-1432-5626,TRUE,,
142,142,Magdalena Maria Marszał-Wiśniewska,Paweł,https://orcid.org/0000-0002-1423-3660,TRUE,,
143,143,Tomasz Franciszek Maruszewski,Paweł,https://orcid.org/0000-0003-2341-3927,TRUE,,
144,144,Karolina Mazurowska,Paweł,https://orcid.org/0000-0003-0914-1144,TRUE,,
145,145,Jarosław Maciej Michałowski,Paweł,https://orcid.org/0000-0003-3891-5209,FALSE,,
146,146,Michał Misiak,Paweł,https://orcid.org/0000-0002-6892-3325,TRUE,,
147,147,Paweł Mordasiewicz,Paweł,,FALSE,,
148,148,Agnieszka Dorota Mościcka-Teske,Paweł,http://orcid.org/0000-0003-3265-8635,TRUE,,
149,149,Błażej Stanisław Mroziński,Paweł,https://orcid.org/0000-0002-5423-2291,TRUE,,
150,150,John Nezlek,Paweł,https://orcid.org/0000-0003-4963-3637,TRUE,,
151,151,Edward Nęcka,Paweł,https://orcid.org/0000-0002-8759-0749,TRUE,,
152,152,Jakub Michał Niewiarowski,Paweł,,FALSE,,
153,153,Czesław Nosal,Paweł,http://orcid.org/0000-0002-1693-2692,FALSE,,
154,154,Andrzej Nowak,Paweł,https://orcid.org/0000-0001-9965-0684,TRUE,,
155,155,Magdalena Nowicka,Paweł,https://orcid.org/0000-0002-4535-4246,TRUE,,
156,156,Piotr Krzysztof Oleś,Paweł,https://orcid.org/0000-0002-7486-2928,FALSE,,
157,157,Michał Ryszard Olszanowski,Paweł,https://orcid.org/0000-0003-1771-2760,TRUE,,
158,158,Justyna Olszewska,Paweł,http://orcid.org/0000-0002-7255-4542,TRUE,,
159,159,Edyta Orłowska,Paweł,https://orcid.org/0000-0002-2278-4091,TRUE,,
160,160,Anna Orylska,Paweł,https://orcid.org/0000-0002-3853-1806,TRUE,,
161,161,Jarosław Orzechowski,Paweł,https://orcid.org/0000-0002-6244-6572,TRUE,,
162,162,Paweł Maria Ostaszewski,Paweł,https://orcid.org/0000-0001-8067-8978,TRUE,,
163,163,Michał Parzuchowski,Paweł,https://orcid.org/0000-0002-8960-0277,TRUE,,
164,164,Paulina Pawlicka,Paweł,https://orcid.org/0000-0002-2342-1583,TRUE,,
165,165,Monika Teresa Pawłowska,Paweł,https://orcid.org/0000-0002-5914-1591,TRUE,,
166,166,Izabela Dorota Pawłowska,Paweł,https://orcid.org/0000-0002-0020-6477,TRUE,,
167,167,Kinga Maria Piber,Paweł,https://orcid.org/0000-0001-8255-1946,TRUE,,
168,168,Igor Jakub Pietkiewicz,Paweł,https://yorkspace.library.yorku.ca/xmlui/discover?filtertype_0=subject&filtertype_1=orcidid&filter_relational_operator_1=equals&filter_relational_operator_0=equals&filter_1=0000-0001-6913-0186&filter_0=South+Asian&filtertype=author&filter_relational_operator=authority&filter=0512532cdc578529edcae7ceaa8f77c5,FALSE,,
169,169,Konrad Marcin Piotrowski,Paweł,https://orcid.org/0000-0003-0742-9160,FALSE,,
170,170,Jarosław Piotrowski,Paweł,https://orcid.org/0000-0002-7175-3240,TRUE,,
171,171,Zbigniew Piskorz,Paweł,https://orcid.org/0000-0002-9777-0268,FALSE,,
172,172,Romuald Polczyk,Paweł,https://orcid.org/0000-0002-0158-7742,TRUE,,
173,173,Agnieszka Ewa Popiel,Paweł,https://orcid.org/0000-0001-9990-4971,TRUE,,
174,174,Katarzyna Anna Popiołek,Paweł,https://orcid.org/0000-0002-6883-9377,FALSE,,
175,175,Agnieszka Popławska,Paweł,https://orcid.org/0000-0001-8689-6757,TRUE,,
176,176,Aleksandra Honorata Porada,Paweł,https://orcid.org/0000-0003-3696-1535,FALSE,,
177,177,Magdalena Poraj-Weder,Paweł,https://orcid.org/0000-0003-0558-9195,TRUE,,
178,178,Marta Porębiak,Paweł,,FALSE,,
179,179,Aleksandra Rabinovitch,Paweł,https://orcid.org/0000-0002-4773-7814,TRUE,,
180,180,Wioletta Maria Radziwiłłowicz,Paweł,http://orcid.org/0000-0002-5890-6118,TRUE,,
181,181,Izabela Rajska-Kulik,Paweł,,FALSE,,
182,182,Sylwiusz Retowski,Paweł,https://orcid.org/0000-0002-6133-0658,TRUE,,
183,183,Marta Anna Roczniewska,Paweł,https://orcid.org/0000-0003-0815-1455,TRUE,,
184,184,Danuta Rode,Paweł,https://orcid.org/0000-0002-4409-6396,TRUE,,
185,185,Magdalena Rode,Paweł,https://orcid.org/0000-0002-4409-6396,TRUE,,
186,186,Anna Maria Rogala,Paweł,https://orcid.org/0000-0003-0580-1838,TRUE,,
187,187,Joanna Maria Roszak,Paweł,https://orcid.org/0000-0002-4203-8010,TRUE,,
188,188,Krystyna Jolanta Rymarczyk,Paweł,https://orcid.org/0000-0002-0210-2487,FALSE,,
189,189,Katarzyna Julia Samson,Hubert,https://orcid.org/0000-0003-0248-8233,TRUE,1,
190,190,Katarzyna Maria Sanna,Hubert,https://swps.pl/katarzyna-sanna,FALSE,0,
191,191,Ralf Schwarzer,Hubert,https://orcid.org/0000-0002-0069-3826,TRUE,1,
192,192,Grzegorz Sędek,Hubert,https://orcid.org/0000-0001-8932-0868,FALSE,0,
193,193,Maria Sidoruk-Grymuza,Hubert,https://orcid.org/0000-0002-1919-3426,FALSE,0,
194,194,Jagoda Sikora,Hubert,https://orcid.org/0000-0002-4787-6961,TRUE,0,
195,195,Anna Halina Siwy-Hudowska,Hubert,https://www.researchgate.net/profile/Anna-Siwy-Hudowska/publications,FALSE,0,
196,196,Krystyna Janina Skarżyńska,Hubert,https://orcid.org/0000-0003-1327-6850,TRUE,1,
197,197,Agnieszka Skorupa,Hubert,https://swps.pl/podyplomowe-wykladowcy/19395-skorupa-agnieszka,TRUE,0,
198,198,Ewelina Alicja Smoktunowicz,Hubert,https://orcid.org/0000-0002-1748-3876,TRUE,1,
199,199,Agata Anna Sobków,Hubert,https://orcid.org/0000-0002-5357-744X,TRUE,1,
200,200,Adam Sobolewski,Hubert,https://swps.pl/adam-sobolewski,FALSE,0,
201,201,Joanna Sokołowska-Pohorille,Hubert,https://orcid.org/0000-0001-5239-1435,FALSE,0,
202,202,Wiesława Barbara Sotwin,Hubert,https://swps.pl/wieslawa-sotwin,FALSE,0,
203,203,Maia Stanisławska-Kubiak,Hubert,https://orcid.org/0000-0003-3233-2109,TRUE,1,
204,204,Dorota Jadwiga Stasik-Rogalińska,Hubert,https://orcid.org/0000-0002-1013-0365,FALSE,0,
205,205,Patrycja Aleksandra Stawiarska,Hubert,https://swps.pl/patrycja-stawiarska,TRUE,0,
206,206,Anna Katarzyna Strużyńska-Kujałowicz,Hubert,https://swps.pl/podyplomowe-wykladowcy/14585-struzynska-kujalowicz-anna,FALSE,0,
207,207,Monika Maria Suchowierska-Stephany,Hubert,https://orcid.org/0000-0003-3961-4184,FALSE,0,
208,208,Joanna Marta Sweklej,Hubert,https://orcid.org/0000-0002-6069-3051,TRUE,0,
209,209,Marta Szastok,Hubert,https://orcid.org/0000-0001-7674-7651,TRUE,0,
210,210,Dorota Daniela Szczygieł,Hubert,https://orcid.org/0000-0001-9746-1505,FALSE,0,
211,211,Joanna Maria Szen - Ziemiańska,Hubert,https://www.researchgate.net/profile/Joanna-Szen-Ziemianska,FALSE,0,
212,212,Malwina Szpitalak,Hubert,,TRUE,0,
213,213,Beata Maria Szramka-Pawlak,Hubert,https://swps.pl/beata-szramka-pawlak,TRUE,0,
214,214,Aleksandra Szymków-Sudziarska,Hubert,https://orcid.org/0000-0002-6550-7369,FALSE,1,
215,215,Magdalena Ewa Ścigała,Hubert,,FALSE,0,
216,216,Izabela Jolanta Śliwińska,Hubert,https://swps.pl/izabela-sliwinska,FALSE,0,
217,217,Magdalena Katarzyna Śniegulska,Hubert,https://swps.pl/magdalena-sniegulska,FALSE,0,
218,218,Łukasz Lech Tanaś,Hubert,https://orcid.org/0000-0001-8038-8225,FALSE,0,
219,219,Kamil Adam Tomaszewski,Hubert,https://swps.pl/kamil-tomaszewski,FALSE,0,
220,220,Jakub Traczyk,Hubert,https://orcid.org/0000-0001-9145-1998,TRUE,0,
221,221,Anna Trejnowska,Hubert,https://swps.pl/anna-trejnowska,FALSE,0,
222,222,Ewa Jadwiga Trzebińska,Hubert,https://orcid.org/0000-0002-3910-0717,TRUE,0,
223,223,Jerzy Stefan Trzebiński,Hubert,https://orcid.org/0000-0003-3948-1676,TRUE,1,
224,224,Elżbieta Turska,Hubert,https://orcid.org/0000-0002-8236-7206,TRUE,1,
225,225,Dominika Agata Ustjan,Hubert,https://swps.pl/podyplomowe-wykladowcy/14338-ustjan-dominika,FALSE,0,
226,226,Anna Olimpia Waligórska,Hubert,https://orcid.org/0000-0003-3736-7984,TRUE,1,
227,227,Małgorzata Wawrzyniak,Hubert,https://swps.pl/malgorzata-wawrzyniak,FALSE,0,
228,228,Piotr Winkielman,Hubert,https://orcid.org/0000-0001-8966-6148,FALSE,1,
229,229,Katarzyna Winkowska-Nowak,Hubert,https://swps.pl/struktura/wydzial-psychologii-warszawa/54-spolecznosc/pracownicy-naukowo-dydaktyczni/28270-winkowska-nowak-katarzyna,TRUE,0,
230,230,Dorota Joanna Wiśniewska-Juszczak,Hubert,https://swps.pl/dorota-wisniewska-juszczak,FALSE,0,
231,231,Magdalena Witkowska,Hubert,https://orcid.org/0000-0001-9342-6112,TRUE,0,
232,232,Bogdan Stefan Wojciszke,Hubert,https://orcid.org/0000-0002-6328-8043,TRUE,1,
233,233,Beata Wolfigiel,Hubert,http://orcid.org/0000-0001-5609-5596,TRUE,1,
234,234,Małgorzata Maria Wójcik,Hubert,https://orcid.org/0000-0002-8950-3119,TRUE,0,
235,235,Grzegorz Wudarzewski,Hubert,,FALSE,0,econ
236,236,Agata Magdalena Wytykowska-Kaczorek,Hubert,https://orcid.org/0000-0003-1541-8699,FALSE,0,
237,237,Agata Aneta Zabłocka,Hubert,https://swps.pl/agata-zablocka,FALSE,0,
238,238,Dominika Maria Zajusz-Gawędzka,Hubert,https://orcid.org/0000-0003-1098-1933,FALSE,0,
239,239,Marzenna Teresa Zakrzewska,Hubert,https://swps.pl/54-spolecznosc/pracownicy-naukowo-dydaktyczni/31355-marzenna-zakrzewska,FALSE,0,
240,240,Jacek Marian Zakrzewski,Hubert,https://swps.pl/nauka-i-badania/pracownicy-naukowi/16592-zakrzewski-jacek,TRUE,0,
241,241,Tomasz Wojciech Zaleśkiewicz,Hubert,https://orcid.org/0000-0002-4232-6151,FALSE,0,
242,242,Anna Maria Zalewska,Hubert,https://orcid.org/0000-0002-7285-4748,TRUE,0,
243,243,Karolina Zalewska-Łunkiewicz,Hubert,https://orcid.org/0000-0002-5130-8510,TRUE,1,
244,244,Karolina Zarychta-Zajączkowska,Hubert,https://orcid.org/0000-0003-2072-0841,FALSE,0,
245,245,Mateusz Piotr Zatorski,Hubert,https://orcid.org/0000-0002-0043-0815,TRUE,0,
246,246,Katarzyna Natalia Zawadzka,Hubert,https://www.researchgate.net/profile/Katarzyna-Zawadzka,TRUE,0,
247,247,Elżbieta Zdankiewicz-Ścigała,Hubert,https://orcid.org/0000-0002-8275-2585,TRUE,1,
248,248,Mariusz Zięba,Hubert,https://orcid.org/0000-0002-3492-2236,TRUE,1,
249,249,Justyna Mirosława Ziółkowska,Hubert,https://orcid.org/0000-0001-8828-6047,FALSE,0,
250,250,Anna Maria Ziółkowska,Hubert,https://orcid.org/0000-0002-1992-1518,TRUE,0,
251,251,Dorota Genowefa Żelechowska,Hubert,https://orcid.org/0000-0001-6691-2350,FALSE,1,
252,252,Magdalena Żemojtel-Piotrowska,Hubert,https://orcid.org/0000-0002-8017-8014,TRUE,1,
253,253,Jolanta Grażyna Życińska,Hubert,https://orcid.org/0000-0002-1761-7328,FALSE,1,
